foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
12.0,2.0,0,0,0,0,1,1
10.0,2.0,13,12,1,15,1,1
8.0,2.0,13,12,1,14,1,1
6.0,2.0,13,12,1,13,1,1
4.0,2.0,13,12,1,12,1,1
2.0,2.0,13,12,1,11,1,1
0.0,2.0,13,12,1,10,1,4
0.0,14.0,1,11,23,10,4,4
0.0,12.0,1,10,23,10,4,4
0.0,10.0,1,9,23,10,4,4
0.0,8.0,1,8,23,10,4,4
0.0,6.0,1,7,23,10,4,4
0.0,4.0,1,6,23,10,4,4
0.0,2.0,1,5,23,10,4,4
-38.0,-2.0,1,4,23,10,4,2
-36.0,-2.0,21,4,22,1,2,2
-34.0,-2.0,21,4,21,1,2,2
-32.0,-2.0,21,4,20,1,2,2
-30.0,-2.0,21,4,19,1,2,2
-28.0,-2.0,21,4,18,1,2,2
-26.0,-2.0,21,4,17,1,2,2
-24.0,-2.0,21,4,16,1,2,2
-22.0,-2.0,21,4,15,1,2,2
-20.0,-2.0,21,4,14,1,2,2
-18.0,-2.0,21,4,13,1,2,2
-16.0,-2.0,21,4,12,1,2,2
-14.0,-2.0,21,4,11,1,2,2
-12.0,-2.0,21,4,10,1,2,2
-10.0,-2.0,21,4,9,1,2,2
-8.0,-2.0,21,4,8,1,2,2
-6.0,-2.0,21,4,7,1,2,2
-4.0,-2.0,21,4,6,1,2,2
-2.0,-2.0,21,4,5,1,2,2
0.0,-2.0,21,4,4,1,2,3
20.0,-8.0,20,1,4,29,3,1
18.0,-8.0,20,1,1,28,1,1
16.0,-8.0,20,1,1,27,1,1
14.0,-8.0,20,5,1,26,1,1
12.0,-8.0,20,5,1,25,1,1
10.0,-8.0,20,5,1,24,1,1
8.0,-8.0,20,5,1,23,1,1
6.0,-8.0,20,5,1,22,1,3
6.0,-6.0,19,1,11,22,3,1
4.0,-6.0,19,6,1,21,1,3
4.0,-4.0,18,1,12,21,3,1
2.0,-4.0,18,7,1,20,1,3
2.0,-2.0,17,1,13,20,3,1
0.0,-2.0,17,8,1,19,1,3
-10.0,-28.0,16,1,14,19,3,3
-10.0,-26.0,15,1,14,19,3,3
-10.0,-24.0,14,1,14,19,3,3
-10.0,-22.0,13,1,14,19,3,3
-10.0,-20.0,12,1,14,19,3,3
-10.0,-18.0,11,1,14,19,3,3
-10.0,-16.0,10,1,14,19,3,3
-10.0,-14.0,9,1,14,19,3,3
-10.0,-12.0,8,1,14,19,3,3
-10.0,-10.0,7,1,14,19,3,2
-8.0,-10.0,7,18,13,1,2,3
-8.0,-8.0,6,1,13,20,3,2
-6.0,-8.0,6,19,12,1,2,3
-6.0,-6.0,5,1,12,21,3,2
-4.0,-6.0,5,20,11,1,2,3
-4.0,-4.0,4,1,11,22,3,2
-2.0,-4.0,4,21,10,1,2,3
-2.0,-2.0,3,1,10,23,3,2
0.0,-2.0,3,22,9,1,2,3
6.0,44.0,2,1,9,24,3,1
4.0,44.0,2,1,1,23,1,1
2.0,44.0,2,2,1,22,1,4
2.0,42.0,1,1,1,22,4,1
0.0,42.0,3,22,1,21,1,4
0.0,40.0,1,21,12,21,4,4
0.0,38.0,1,20,12,21,4,4
0.0,36.0,1,19,12,21,4,4
0.0,34.0,1,18,12,21,4,4
0.0,32.0,1,17,12,21,4,4
0.0,30.0,1,16,12,21,4,4
0.0,28.0,1,15,12,21,4,4
0.0,26.0,1,14,12,21,4,4
0.0,24.0,1,13,12,21,4,4
0.0,22.0,1,12,12,21,4,4
0.0,20.0,1,11,12,21,4,4
0.0,18.0,1,10,12,21,4,4
0.0,16.0,1,9,12,21,4,4
0.0,14.0,1,8,12,21,4,4
0.0,12.0,1,7,12,21,4,4
0.0,10.0,1,6,12,21,4,4
0.0,8.0,1,5,12,21,4,4
0.0,6.0,1,4,12,21,4,4
0.0,4.0,1,3,12,21,4,4
0.0,2.0,1,2,12,21,4,4
-14.0,-24.0,1,1,12,21,4,2
-12.0,-24.0,24,1,11,1,2,3
-12.0,-22.0,23,1,11,1,3,3
-12.0,-20.0,22,1,11,1,3,3
-12.0,-18.0,21,1,11,1,3,3
-12.0,-16.0,20,1,11,22,3,3
-12.0,-14.0,19,1,11,22,3,3
-12.0,-12.0,18,1,11,22,3,2
-10.0,-12.0,18,7,10,1,2,3
-10.0,-10.0,17,1,10,23,3,2
-8.0,-10.0,17,8,9,1,2,3
-8.0,-8.0,16,1,9,24,3,2
-6.0,-8.0,16,9,8,1,2,3
-6.0,-6.0,15,1,8,25,3,2
-4.0,-6.0,15,10,7,1,2,3
-4.0,-4.0,14,1,7,26,3,2
-2.0,-4.0,14,11,6,1,2,3
-2.0,-2.0,13,1,6,27,3,2
0.0,-2.0,13,12,5,1,2,3
-6.0,-20.0,12,1,5,28,3,3
-6.0,-18.0,11,1,5,28,3,3
-6.0,-16.0,10,1,5,28,3,3
-6.0,-14.0,9,1,5,28,3,3
-6.0,-12.0,8,1,5,28,3,3
-6.0,-10.0,7,1,5,28,3,3
-6.0,-8.0,6,1,5,28,3,3
-6.0,-6.0,5,1,5,28,3,2
-4.0,-6.0,5,20,4,1,2,3
-4.0,-4.0,4,1,4,29,3,2
-2.0,-4.0,4,21,3,1,2,3
-2.0,-2.0,3,1,3,30,3,2
0.0,-2.0,3,22,2,1,2,3
30.0,36.0,2,1,2,31,3,1
28.0,36.0,2,1,1,30,1,1
26.0,36.0,2,2,1,29,1,4
26.0,34.0,1,1,1,29,4,1
24.0,34.0,3,2,1,28,1,4
24.0,32.0,1,21,1,28,4,4
24.0,30.0,1,20,5,28,4,4
24.0,28.0,1,19,5,28,4,4
24.0,26.0,1,18,5,28,4,4
24.0,24.0,1,17,5,28,4,1
22.0,24.0,8,17,1,27,1,4
22.0,22.0,1,16,6,27,4,1
20.0,22.0,9,16,1,26,1,4
20.0,20.0,1,15,7,26,4,1
18.0,20.0,10,15,1,25,1,4
18.0,18.0,1,14,8,25,4,1
16.0,18.0,11,14,1,24,1,4
16.0,16.0,1,13,9,24,4,1
14.0,16.0,12,13,1,23,1,4
14.0,14.0,1,12,10,23,4,1
12.0,14.0,13,12,1,22,1,4
12.0,12.0,1,11,11,22,4,1
10.0,12.0,14,11,1,21,1,4
10.0,10.0,1,10,12,21,4,1
8.0,10.0,15,10,1,20,1,4
8.0,8.0,1,9,13,20,4,1
6.0,8.0,16,9,1,19,1,4
6.0,6.0,1,8,14,19,4,1
4.0,6.0,17,8,1,18,1,4
4.0,4.0,1,7,15,18,4,1
2.0,4.0,18,7,1,17,1,4
2.0,2.0,1,6,16,17,4,1
0.0,2.0,19,6,1,16,1,4
20.0,-26.0,1,5,17,16,4,2
22.0,-26.0,1,5,16,1,2,2
24.0,-26.0,2,5,15,1,2,3
24.0,-24.0,1,1,15,1,3,2
26.0,-24.0,2,6,14,1,2,4
26.0,-26.0,1,5,14,1,4,4
26.0,-28.0,1,4,14,19,4,2
28.0,-28.0,21,4,13,1,2,4
28.0,-30.0,1,3,13,20,4,2
30.0,-30.0,22,3,12,1,2,4
30.0,-32.0,1,2,12,21,4,2
32.0,-32.0,23,2,11,1,2,4
32.0,-34.0,1,1,11,22,4,2
34.0,-34.0,24,1,10,1,2,2
36.0,-34.0,24,1,9,1,2,2
38.0,-34.0,24,1,8,1,2,2
40.0,-34.0,24,1,7,1,2,2
42.0,-34.0,24,1,6,1,2,2
44.0,-34.0,24,1,5,1,2,2
46.0,-34.0,24,1,4,1,2,2
48.0,-34.0,24,1,3,1,2,2
50.0,-34.0,24,1,2,1,2,2
52.0,-34.0,24,1,1,1,2,3
52.0,-32.0,23,1,1,32,3,1
50.0,-32.0,23,1,1,31,1,1
48.0,-32.0,23,1,1,30,1,1
46.0,-32.0,23,1,1,29,1,1
44.0,-32.0,23,1,1,28,1,1
42.0,-32.0,23,1,1,27,1,1
40.0,-32.0,23,2,1,26,1,1
38.0,-32.0,23,2,1,25,1,1
36.0,-32.0,23,2,1,24,1,1
34.0,-32.0,23,2,1,23,1,1
32.0,-32.0,23,2,1,22,1,1
30.0,-32.0,23,2,1,21,1,3
30.0,-30.0,22,1,12,21,3,1
28.0,-30.0,22,3,1,20,1,3
28.0,-28.0,21,1,13,20,3,1
26.0,-28.0,21,4,1,19,1,3
26.0,-26.0,20,1,14,19,3,1
24.0,-26.0,20,5,1,18,1,3
24.0,-24.0,19,1,15,18,3,1
22.0,-24.0,19,6,1,17,1,3
22.0,-22.0,18,1,16,17,3,1
20.0,-22.0,18,7,1,16,1,3
20.0,-20.0,17,1,17,16,3,1
18.0,-20.0,17,8,1,15,1,3
