foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
0.0,16.0,0,0,0,0,1,1
-2.0,16.0,13,12,1,15,1,4
-2.0,14.0,1,11,18,15,4,4
-2.0,12.0,1,10,18,15,4,4
-2.0,10.0,1,9,18,15,4,4
-2.0,8.0,1,8,18,15,4,4
-2.0,6.0,1,7,18,15,4,4
-2.0,4.0,1,6,18,15,4,4
-2.0,2.0,1,5,18,15,4,2
0.0,2.0,20,5,17,1,2,4
-26.0,6.0,1,4,17,16,4,2
-24.0,6.0,21,4,16,1,2,2
-22.0,6.0,21,4,15,1,2,2
-20.0,6.0,21,4,14,1,2,2
-18.0,6.0,21,4,13,1,2,2
-16.0,6.0,21,4,12,1,2,2
-14.0,6.0,21,4,11,1,2,2
-12.0,6.0,21,4,10,1,2,2
-10.0,6.0,21,4,9,1,2,2
-8.0,6.0,21,4,8,1,2,2
-6.0,6.0,21,4,7,1,2,2
-4.0,6.0,21,4,6,1,2,4
-4.0,4.0,1,3,6,27,4,2
-2.0,4.0,22,3,5,1,2,4
-2.0,2.0,1,2,5,28,4,2
0.0,2.0,23,2,4,1,2,4
10.0,-32.0,1,1,4,29,4,2
12.0,-32.0,24,1,3,1,2,3
12.0,-30.0,23,1,3,1,3,3
12.0,-28.0,22,1,3,30,3,3
12.0,-26.0,21,1,3,30,3,3
12.0,-24.0,20,1,3,30,3,3
12.0,-22.0,19,1,3,30,3,3
12.0,-20.0,18,1,3,30,3,3
12.0,-18.0,17,1,3,30,3,3
12.0,-16.0,16,1,3,30,3,3
12.0,-14.0,15,1,3,30,3,3
12.0,-12.0,14,1,3,30,3,1
10.0,-12.0,14,11,1,29,1,3
10.0,-10.0,13,1,4,29,3,1
8.0,-10.0,13,12,1,28,1,3
8.0,-8.0,12,1,5,28,3,1
6.0,-8.0,12,13,1,27,1,3
6.0,-6.0,11,1,6,27,3,1
4.0,-6.0,11,14,1,26,1,3
4.0,-4.0,10,1,7,26,3,1
2.0,-4.0,10,15,1,25,1,3
2.0,-2.0,9,1,8,25,3,1
0.0,-2.0,9,16,1,24,1,3
-2.0,-14.0,8,1,9,24,3,3
-2.0,-12.0,7,1,9,24,3,3
-2.0,-10.0,6,1,9,24,3,3
-2.0,-8.0,5,1,9,24,3,3
-2.0,-6.0,4,1,9,24,3,3
-2.0,-4.0,3,1,9,24,3,3
-2.0,-2.0,2,1,9,24,3,2
0.0,-2.0,2,23,8,1,2,3
4.0,42.0,1,1,8,25,3,1
2.0,42.0,1,1,1,24,1,1
0.0,42.0,1,24,1,23,1,4
0.0,40.0,1,23,1,23,4,4
0.0,38.0,1,22,10,23,4,4
0.0,36.0,1,21,10,23,4,4
0.0,34.0,1,20,10,23,4,4
0.0,32.0,1,19,10,23,4,4
0.0,30.0,1,18,10,23,4,4
0.0,28.0,1,17,10,23,4,4
0.0,26.0,1,16,10,23,4,4
0.0,24.0,1,15,10,23,4,4
0.0,22.0,1,14,10,23,4,4
0.0,20.0,1,13,10,23,4,4
0.0,18.0,1,12,10,23,4,4
0.0,16.0,1,11,10,23,4,4
0.0,14.0,1,10,10,23,4,4
0.0,12.0,1,9,10,23,4,4
0.0,10.0,1,8,10,23,4,4
0.0,8.0,1,7,10,23,4,4
0.0,6.0,1,6,10,23,4,4
0.0,4.0,1,5,10,23,4,4
0.0,2.0,1,4,10,23,4,4
20.0,2.0,1,3,10,23,4,1
18.0,2.0,22,3,1,22,1,1
16.0,2.0,22,3,1,21,1,1
14.0,2.0,22,3,1,20,1,1
12.0,2.0,22,3,1,19,1,1
10.0,2.0,22,3,1,18,1,1
8.0,2.0,22,3,1,17,1,1
6.0,2.0,22,3,1,16,1,1
4.0,2.0,22,3,1,15,1,1
2.0,2.0,22,3,1,14,1,1
0.0,2.0,22,3,1,13,1,4
14.0,-18.0,1,2,20,13,4,2
16.0,-18.0,1,2,19,1,2,2
18.0,-18.0,1,2,18,1,2,4
18.0,-20.0,1,1,18,15,4,2
20.0,-20.0,2,1,17,1,2,2
22.0,-20.0,24,1,16,1,2,2
24.0,-20.0,24,1,15,1,2,2
26.0,-20.0,24,1,14,1,2,2
28.0,-20.0,24,1,13,1,2,2
30.0,-20.0,24,1,12,1,2,2
