foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
-10.0,-10.0,0,0,0,1,1
-12.0,-10.0,13,15,12,1,1
-14.0,-10.0,13,14,12,1,1
-16.0,-10.0,13,13,12,1,1
-18.0,-10.0,13,12,12,1,1
-20.0,-10.0,13,11,12,1,1
-22.0,-10.0,13,10,12,1,1
-24.0,-10.0,13,9,12,1,1
-26.0,-10.0,13,8,12,1,1
-28.0,-10.0,13,7,12,1,1
-30.0,-10.0,13,6,12,1,1
-32.0,-10.0,13,5,12,1,1
-34.0,-10.0,13,4,12,1,1
-36.0,-10.0,13,3,12,1,1
-38.0,-10.0,13,2,12,1,1
-40.0,-10.0,13,1,12,1,3
-40.0,-8.0,32,12,1,3,3
-40.0,-6.0,32,11,1,3,3
-40.0,-4.0,32,10,1,3,3
-40.0,-2.0,32,9,1,3,3
-40.0,0.0,32,8,1,3,3
-40.0,2.0,32,7,1,3,2
-38.0,2.0,18,31,7,2,2
-36.0,2.0,18,30,7,2,2
-34.0,2.0,18,29,7,2,2
-32.0,2.0,18,28,7,2,2
-30.0,2.0,18,27,7,2,2
-28.0,2.0,18,26,7,2,2
-26.0,2.0,18,25,7,2,2
-24.0,2.0,18,24,7,2,2
-22.0,2.0,18,23,7,2,2
-20.0,2.0,18,22,7,2,2
-18.0,2.0,18,21,7,2,2
-16.0,2.0,18,20,7,2,2
-14.0,2.0,18,19,7,2,2
-12.0,2.0,18,18,7,2,2
-10.0,2.0,18,17,7,2,2
-8.0,2.0,18,16,7,2,2
-6.0,2.0,18,15,7,2,2
-4.0,2.0,18,14,7,2,2
-2.0,2.0,18,13,7,2,4
-2.0,0.0,20,17,13,4,4
-2.0,-2.0,20,16,13,4,4
-2.0,-4.0,20,15,13,4,4
-2.0,-6.0,20,14,13,4,4
-2.0,-8.0,20,13,13,4,4
-2.0,-10.0,20,12,13,4,4
-2.0,-12.0,20,11,13,4,4
-2.0,-14.0,20,10,13,4,4
-2.0,-16.0,20,9,13,4,2
0.0,-16.0,9,12,16,2,3
0.0,-14.0,12,15,21,3,3
0.0,-12.0,12,14,21,3,3
0.0,-10.0,12,13,21,3,3
0.0,-8.0,12,12,21,3,3
0.0,-6.0,12,11,21,3,3
0.0,-4.0,12,10,21,3,3
0.0,-2.0,12,9,21,3,3
26.0,-4.0,12,8,21,3,3
26.0,-2.0,12,7,21,3,3
26.0,0.0,12,6,21,3,3
26.0,2.0,12,5,21,3,1
24.0,2.0,5,20,20,1,1
22.0,2.0,5,19,20,1,1
20.0,2.0,5,18,20,1,1
18.0,2.0,5,17,20,1,1
16.0,2.0,5,16,20,1,1
14.0,2.0,5,15,20,1,1
12.0,2.0,5,14,20,1,1
10.0,2.0,5,13,20,1,1
8.0,2.0,5,12,20,1,1
6.0,2.0,5,11,20,1,1
4.0,2.0,5,10,20,1,1
2.0,2.0,5,9,20,1,4
2.0,0.0,9,19,24,4,4
2.0,-2.0,9,18,24,4,4
2.0,-4.0,9,17,24,4,4
2.0,-6.0,9,16,24,4,4
2.0,-8.0,9,15,24,4,4
2.0,-10.0,9,14,24,4,4
2.0,-12.0,9,13,24,4,4
2.0,-14.0,9,12,24,4,4
2.0,-16.0,9,11,24,4,1
0.0,-16.0,14,8,11,1,3
0.0,-14.0,1,13,8,3,3
0.0,-12.0,25,12,8,3,3
0.0,-10.0,25,11,8,3,3
0.0,-8.0,25,10,8,3,3
0.0,-6.0,25,9,8,3,3
0.0,-4.0,25,8,8,3,3
0.0,-2.0,25,7,8,3,3
-2.0,24.0,25,6,8,3,3
-2.0,26.0,25,5,8,3,2
0.0,26.0,20,24,5,2,2
2.0,26.0,20,23,5,2,2
4.0,26.0,20,22,5,2,4
4.0,24.0,11,19,22,4,4
4.0,22.0,11,18,22,4,4
4.0,20.0,11,17,22,4,4
4.0,18.0,11,16,22,4,4
4.0,16.0,11,15,22,4,4
4.0,14.0,11,14,22,4,4
4.0,12.0,11,13,22,4,4
4.0,10.0,11,12,22,4,4
4.0,8.0,11,11,22,4,4
4.0,6.0,11,10,22,4,4
4.0,4.0,11,9,22,4,4
4.0,2.0,11,8,22,4,4
4.0,0.0,11,7,22,4,1
2.0,0.0,18,10,7,1,1
-4.0,-8.0,18,9,7,1,1
-6.0,-8.0,18,8,7,1,1
-8.0,-8.0,18,7,7,1,1
-10.0,-8.0,18,6,7,1,3
-10.0,-6.0,27,17,6,3,3
-10.0,-4.0,27,16,6,3,3
-10.0,-2.0,27,15,6,3,3
-10.0,0.0,27,14,6,3,2
-8.0,0.0,11,26,14,2,2
-6.0,0.0,11,25,14,2,2
-4.0,0.0,11,24,14,2,2
-2.0,0.0,11,23,14,2,2
-36.0,-4.0,11,22,14,2,2
-34.0,-4.0,11,21,14,2,2
-32.0,-4.0,11,20,14,2,2
-30.0,-4.0,11,19,14,2,2
-28.0,-4.0,11,18,14,2,2
-26.0,-4.0,11,17,14,2,2
-24.0,-4.0,11,16,14,2,2
-22.0,-4.0,11,15,14,2,2
-20.0,-4.0,11,14,14,2,2
-18.0,-4.0,11,13,14,2,2
-16.0,-4.0,11,12,14,2,2
-14.0,-4.0,11,11,14,2,2
-12.0,-4.0,11,10,14,2,2
-10.0,-4.0,11,9,14,2,2
-8.0,-4.0,11,8,14,2,2
-6.0,-4.0,11,7,14,2,2
-4.0,-4.0,11,6,14,2,2
-2.0,-4.0,11,5,14,2,2
0.0,-4.0,11,4,14,2,3
0.0,-2.0,4,13,29,3,3
36.0,-2.0,4,12,29,3,3
36.0,0.0,4,11,29,3,3
