foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
28.0,18.0,0,0,0,1,1
26.0,18.0,13,15,12,1,1
24.0,18.0,13,14,12,1,1
22.0,18.0,13,13,12,1,1
20.0,18.0,13,12,12,1,1
18.0,18.0,13,11,12,1,1
16.0,18.0,13,10,12,1,1
14.0,18.0,13,9,12,1,1
12.0,18.0,13,8,12,1,1
10.0,18.0,13,7,12,1,1
8.0,18.0,13,6,12,1,1
6.0,18.0,13,5,12,1,1
4.0,18.0,13,4,12,1,1
2.0,18.0,13,3,12,1,1
0.0,18.0,13,2,12,1,4
0.0,16.0,2,11,31,4,4
0.0,14.0,2,10,31,4,4
0.0,12.0,2,9,31,4,4
0.0,10.0,2,8,31,4,4
0.0,8.0,2,7,31,4,4
0.0,6.0,2,6,31,4,4
0.0,4.0,2,5,31,4,4
0.0,2.0,2,4,31,4,4
-6.0,-28.0,2,3,31,4,2
-4.0,-28.0,3,30,22,2,2
-2.0,-28.0,3,29,22,2,3
-2.0,-26.0,29,21,4,3,3
-2.0,-24.0,29,20,4,3,3
-2.0,-22.0,29,19,4,3,3
-2.0,-20.0,29,18,4,3,3
-2.0,-18.0,29,17,4,3,3
-2.0,-16.0,29,16,4,3,3
-2.0,-14.0,29,15,4,3,3
-2.0,-12.0,29,14,4,3,3
-2.0,-10.0,29,13,4,3,3
-2.0,-8.0,29,12,4,3,3
-2.0,-6.0,29,11,4,3,3
-2.0,-4.0,29,10,4,3,3
-2.0,-2.0,29,9,4,3,3
-2.0,0.0,29,8,4,3,2
-26.0,-10.0,17,28,8,2,2
-24.0,-10.0,17,27,8,2,2
-22.0,-10.0,17,26,8,2,2
-20.0,-10.0,17,25,8,2,2
-18.0,-10.0,17,24,8,2,2
-16.0,-10.0,17,23,8,2,2
-14.0,-10.0,17,22,8,2,2
-12.0,-10.0,17,21,8,2,2
-10.0,-10.0,17,20,8,2,2
-8.0,-10.0,17,19,8,2,2
-6.0,-10.0,17,18,8,2,3
-6.0,-8.0,18,7,15,3,3
-6.0,-6.0,18,6,15,3,3
-6.0,-4.0,18,5,15,3,3
-6.0,-2.0,18,4,15,3,2
-4.0,-2.0,21,17,4,2,2
-2.0,-2.0,21,16,4,2,2
0.0,-2.0,21,15,4,2,3
-10.0,40.0,15,3,18,3,1
-12.0,40.0,3,17,1,1,1
-14.0,40.0,3,16,1,1,1
-16.0,40.0,3,15,22,1,4
-16.0,38.0,15,21,3,4,4
-16.0,36.0,15,20,18,4,4
-16.0,34.0,15,19,18,4,4
-16.0,32.0,15,18,18,4,4
-16.0,30.0,15,17,18,4,4
-16.0,28.0,15,16,18,4,4
-16.0,26.0,15,15,18,4,4
-16.0,24.0,15,14,18,4,4
-16.0,22.0,15,13,18,4,4
-16.0,20.0,15,12,18,4,4
-16.0,18.0,15,11,18,4,4
-16.0,16.0,15,10,18,4,4
-16.0,14.0,15,9,18,4,4
-16.0,12.0,15,8,18,4,4
-16.0,10.0,15,7,18,4,4
-16.0,8.0,15,6,18,4,4
-16.0,6.0,15,5,18,4,4
-16.0,4.0,15,4,18,4,4
-16.0,2.0,15,3,18,4,2
-14.0,2.0,3,17,22,2,2
-12.0,2.0,3,16,22,2,2
-10.0,2.0,3,15,22,2,2
-8.0,2.0,3,14,22,2,2
-6.0,2.0,3,13,22,2,2
-4.0,2.0,3,12,22,2,2
-2.0,2.0,3,11,22,2,2
0.0,2.0,3,10,22,2,4
24.0,-14.0,23,2,10,4,2
26.0,-14.0,2,9,23,2,2
28.0,-14.0,2,8,23,2,3
28.0,-12.0,8,22,2,3,3
28.0,-10.0,8,21,25,3,3
28.0,-8.0,8,20,25,3,1
26.0,-8.0,20,24,3,1,1
24.0,-8.0,20,23,5,1,1
22.0,-8.0,20,22,5,1,1
20.0,-8.0,20,21,5,1,1
18.0,-8.0,20,20,5,1,1
