foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
-12.0,-8.0,0,0,0,1,1
-14.0,-8.0,13,15,12,1,1
-16.0,-8.0,13,14,12,1,1
-18.0,-8.0,13,13,12,1,1
-20.0,-8.0,13,12,12,1,1
-22.0,-8.0,13,11,12,1,3
-22.0,-6.0,22,12,11,3,3
-22.0,-4.0,22,11,11,3,3
-22.0,-2.0,22,10,11,3,3
-22.0,0.0,22,9,11,3,2
-20.0,0.0,16,21,9,2,2
-18.0,0.0,16,20,9,2,2
-16.0,0.0,16,19,9,2,2
-14.0,0.0,16,18,9,2,2
-12.0,0.0,16,17,9,2,2
-10.0,0.0,16,16,9,2,2
-8.0,0.0,16,15,9,2,2
-6.0,0.0,16,14,9,2,2
-4.0,0.0,16,13,9,2,2
-2.0,0.0,16,12,9,2,2
4.0,-12.0,16,11,9,2,2
6.0,-12.0,16,10,9,2,2
8.0,-12.0,16,9,9,2,3
8.0,-10.0,9,8,24,3,3
8.0,-8.0,9,7,24,3,3
8.0,-6.0,9,6,24,3,3
8.0,-4.0,9,5,24,3,3
8.0,-2.0,9,4,24,3,3
8.0,0.0,9,3,24,3,1
6.0,0.0,3,23,22,1,1
4.0,0.0,3,22,22,1,1
2.0,0.0,3,21,22,1,1
2.0,0.0,3,20,22,1,1
-20.0,30.0,3,19,22,1,1
-22.0,30.0,3,18,22,1,1
-24.0,30.0,3,17,22,1,1
-26.0,30.0,3,16,22,1,4
-26.0,28.0,16,21,17,4,4
-26.0,26.0,16,20,17,4,4
-26.0,24.0,16,19,17,4,4
-26.0,22.0,16,18,17,4,2
-24.0,22.0,18,16,7,2,2
-22.0,22.0,18,15,7,2,2
-20.0,22.0,18,14,7,2,2
-18.0,22.0,18,13,7,2,2
-16.0,22.0,18,12,7,2,2
-14.0,22.0,18,11,7,2,2
-12.0,22.0,18,10,7,2,2
-10.0,22.0,18,9,7,2,2
-8.0,22.0,18,8,7,2,2
-6.0,22.0,18,7,7,2,2
-4.0,22.0,18,6,7,2,2
-2.0,22.0,18,5,7,2,2
0.0,22.0,18,4,7,2,4
0.0,20.0,29,17,4,4,4
0.0,18.0,29,16,4,4,4
0.0,16.0,29,15,4,4,4
0.0,14.0,29,14,4,4,4
0.0,12.0,29,13,4,4,4
0.0,10.0,29,12,4,4,4
0.0,8.0,29,11,4,4,4
0.0,6.0,29,10,4,4,4
0.0,4.0,29,9,4,4,4
0.0,2.0,29,8,4,4,4
56.0,-14.0,29,7,4,4,4
56.0,-16.0,29,6,4,4,1
54.0,-16.0,19,28,6,1,1
52.0,-16.0,19,27,6,1,1
50.0,-16.0,19,26,6,1,3
50.0,-14.0,3,18,26,3,3
50.0,-12.0,7,17,26,3,3
50.0,-10.0,7,16,26,3,3
50.0,-8.0,7,15,26,3,3
50.0,-6.0,7,14,26,3,3
50.0,-4.0,7,13,26,3,3
50.0,-2.0,7,12,26,3,3
50.0,0.0,7,11,26,3,1
48.0,0.0,11,25,14,1,1
46.0,0.0,11,24,14,1,1
44.0,0.0,11,23,14,1,1
42.0,0.0,11,22,14,1,1
40.0,0.0,11,21,14,1,1
38.0,0.0,11,20,14,1,1
36.0,0.0,11,19,14,1,1
34.0,0.0,11,18,14,1,1
32.0,0.0,11,17,14,1,1
30.0,0.0,11,16,14,1,1
28.0,0.0,11,15,14,1,1
26.0,0.0,11,14,14,1,1
24.0,0.0,11,13,14,1,1
22.0,0.0,11,12,14,1,1
20.0,0.0,11,11,14,1,1
18.0,0.0,11,10,14,1,1
16.0,0.0,11,9,14,1,1
14.0,0.0,11,8,14,1,1
12.0,0.0,11,7,14,1,1
10.0,0.0,11,6,14,1,1
8.0,0.0,11,5,14,1,1
6.0,0.0,11,4,14,1,1
4.0,0.0,11,3,14,1,1
2.0,0.0,11,2,14,1,4
2.0,-2.0,2,13,31,4,4
2.0,-4.0,2,12,31,4,4
2.0,-6.0,2,11,31,4,4
2.0,-8.0,2,10,31,4,4
2.0,-10.0,2,9,31,4,1
0.0,-10.0,16,1,9,1,3
0.0,-8.0,1,15,1,3,3
0.0,-6.0,1,14,1,3,3
0.0,-4.0,32,13,1,3,3
0.0,-2.0,32,12,1,3,3
-6.0,18.0,32,11,1,3,3
-6.0,20.0,32,10,1,3,3
-6.0,22.0,32,9,1,3,2
-4.0,22.0,16,31,9,2,2
-2.0,22.0,16,30,9,2,2
0.0,22.0,16,29,9,2,2
2.0,22.0,16,28,9,2,4
2.0,20.0,4,15,28,4,4
2.0,18.0,5,14,28,4,4
2.0,16.0,5,13,28,4,4
2.0,14.0,5,12,28,4,4
2.0,12.0,5,11,28,4,1
0.0,12.0,5,4,11,1,4
0.0,10.0,4,10,29,4,4
0.0,8.0,4,9,29,4,4
0.0,6.0,4,8,29,4,4
0.0,4.0,4,7,29,4,4
0.0,2.0,4,6,29,4,4
-32.0,-12.0,4,5,29,4,2
-30.0,-12.0,5,28,6,2,2
-28.0,-12.0,5,27,20,2,2
-26.0,-12.0,5,26,20,2,2
-24.0,-12.0,5,25,20,2,2
-22.0,-12.0,5,24,20,2,2
-20.0,-12.0,5,23,20,2,3
-20.0,-10.0,23,19,6,3,3
-20.0,-8.0,23,18,10,3,3
-20.0,-6.0,23,17,10,3,3
-20.0,-4.0,23,16,10,3,3
-20.0,-2.0,23,15,10,3,3
-20.0,0.0,23,14,10,3,2
-18.0,0.0,11,22,14,2,2
-16.0,0.0,11,21,14,2,2
-14.0,0.0,11,20,14,2,2
-12.0,0.0,11,19,14,2,2
-10.0,0.0,11,18,14,2,2
-8.0,0.0,11,17,14,2,2
-6.0,0.0,11,16,14,2,2
-4.0,0.0,11,15,14,2,2
-2.0,0.0,11,14,14,2,2
24.0,-12.0,11,13,14,2,2
26.0,-12.0,11,12,14,2,2
28.0,-12.0,11,11,14,2,3
28.0,-10.0,11,13,22,3,3
28.0,-8.0,11,12,22,3,3
28.0,-6.0,11,11,22,3,3
28.0,-4.0,11,10,22,3,3
28.0,-2.0,11,9,22,3,3
28.0,0.0,11,8,22,3,1
26.0,0.0,8,21,6,1,1
24.0,0.0,8,20,17,1,1
22.0,0.0,8,19,17,1,1
20.0,0.0,8,18,17,1,1
18.0,0.0,8,17,17,1,1
16.0,0.0,8,16,17,1,1
14.0,0.0,8,15,17,1,1
12.0,0.0,8,14,17,1,1
10.0,0.0,8,13,17,1,1
8.0,0.0,8,12,17,1,1
6.0,0.0,8,11,17,1,1
4.0,0.0,8,10,17,1,1
2.0,0.0,8,9,17,1,1
-12.0,8.0,8,8,17,1,1
-14.0,8.0,8,7,17,1,1
-16.0,8.0,8,6,17,1,4
-16.0,6.0,6,16,27,4,4
-16.0,4.0,6,15,27,4,4
-16.0,2.0,6,14,27,4,4
-16.0,0.0,6,13,27,4,2
-14.0,0.0,13,26,4,2,2
-12.0,0.0,13,25,4,2,2
-10.0,0.0,13,24,4,2,2
-8.0,0.0,13,23,12,2,2
-6.0,0.0,13,22,12,2,2
-4.0,0.0,13,21,12,2,2
-2.0,0.0,13,20,12,2,2
-36.0,12.0,13,19,12,2,2
-34.0,12.0,13,18,12,2,2
-32.0,12.0,13,17,12,2,2
-30.0,12.0,13,16,12,2,2
-28.0,12.0,13,15,12,2,2
-26.0,12.0,13,14,12,2,2
-24.0,12.0,13,13,12,2,4
-24.0,10.0,20,12,13,4,4
-24.0,8.0,20,11,13,4,4
-24.0,6.0,20,10,13,4,4
-24.0,4.0,20,9,13,4,4
-24.0,2.0,20,8,13,4,2
-22.0,2.0,8,12,17,2,2
-20.0,2.0,8,11,17,2,2
-18.0,2.0,8,10,17,2,4
-18.0,0.0,23,7,10,4,4
-18.0,-2.0,23,6,10,4,2
-16.0,-2.0,6,9,19,2,2
-14.0,-2.0,6,8,19,2,2
-12.0,-2.0,6,7,19,2,2
-10.0,-2.0,6,6,19,2,2
-8.0,-2.0,6,5,19,2,2
-6.0,-2.0,6,4,19,2,2
-4.0,-2.0,6,3,19,2,2
-2.0,-2.0,6,2,19,2,2
0.0,-2.0,6,1,19,2,3
20.0,-10.0,1,18,9,3,3
20.0,-8.0,1,17,32,3,3
20.0,-6.0,1,16,32,3,3
20.0,-4.0,1,15,32,3,3
20.0,-2.0,1,14,32,3,3
20.0,0.0,1,13,32,3,1
18.0,0.0,13,31,6,1,1
16.0,0.0,13,30,6,1,1
14.0,0.0,13,29,6,1,1
12.0,0.0,13,28,12,1,1
10.0,0.0,13,27,12,1,1
8.0,0.0,13,26,12,1,1
6.0,0.0,13,25,12,1,1
4.0,0.0,13,24,12,1,1
2.0,0.0,13,23,12,1,1
4.0,-22.0,13,22,12,1,1
2.0,-22.0,13,21,12,1,1
0.0,-22.0,13,20,12,1,1
-2.0,-22.0,13,19,12,1,3
-2.0,-20.0,14,12,19,3,3
