foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
30.0,22.0,0,0,0,0,1,1
28.0,22.0,13,12,1,15,1,1
26.0,22.0,13,12,1,14,1,1
24.0,22.0,13,12,1,13,1,1
22.0,22.0,13,12,1,12,1,1
20.0,22.0,13,12,1,11,1,4
20.0,20.0,1,11,22,11,4,1
18.0,20.0,14,11,1,10,1,4
18.0,18.0,1,10,23,10,4,1
16.0,18.0,15,10,1,9,1,4
16.0,16.0,1,9,24,9,4,1
14.0,16.0,16,9,1,8,1,4
14.0,14.0,1,8,25,8,4,1
12.0,14.0,17,8,1,7,1,4
12.0,12.0,1,7,26,7,4,1
10.0,12.0,18,7,1,6,1,4
10.0,10.0,1,6,27,6,4,1
8.0,10.0,19,6,1,5,1,4
8.0,8.0,1,5,28,5,4,1
6.0,8.0,20,5,1,4,1,4
6.0,6.0,1,4,29,4,4,1
4.0,6.0,21,4,1,3,1,4
4.0,4.0,1,3,30,3,4,1
2.0,4.0,22,3,1,2,1,4
2.0,2.0,1,2,31,2,4,1
0.0,2.0,23,2,1,1,1,4
-18.0,-32.0,1,1,32,1,4,2
-16.0,-32.0,1,1,31,1,2,2
-14.0,-32.0,24,1,30,1,2,3
-14.0,-30.0,23,1,30,3,3,3
-14.0,-28.0,22,1,30,3,3,3
-14.0,-26.0,21,1,30,3,3,3
-14.0,-24.0,20,1,30,3,3,3
-14.0,-22.0,19,1,30,3,3,3
-14.0,-20.0,18,1,30,3,3,3
-14.0,-18.0,17,1,30,3,3,3
-14.0,-16.0,16,1,30,3,3,3
-14.0,-14.0,15,1,30,3,3,2
-12.0,-14.0,15,10,29,1,2,3
-12.0,-12.0,14,1,29,4,3,2
-10.0,-12.0,14,11,28,1,2,3
-10.0,-10.0,13,1,28,5,3,2
-8.0,-10.0,13,12,27,1,2,3
-8.0,-8.0,12,1,27,6,3,2
-6.0,-8.0,12,13,26,1,2,3
-6.0,-6.0,11,1,26,7,3,2
-4.0,-6.0,11,14,25,1,2,3
-4.0,-4.0,10,1,25,8,3,2
-2.0,-4.0,10,15,24,1,2,3
-2.0,-2.0,9,1,24,9,3,2
0.0,-2.0,9,16,23,1,2,3
18.0,10.0,8,1,23,10,3,1
16.0,10.0,8,1,1,9,1,1
14.0,10.0,8,17,1,8,1,1
12.0,10.0,8,17,1,7,1,1
10.0,10.0,8,17,1,6,1,1
8.0,10.0,8,17,1,5,1,4
8.0,8.0,1,16,28,5,4,1
6.0,8.0,9,16,1,4,1,4
6.0,6.0,1,15,29,4,4,1
4.0,6.0,10,15,1,3,1,4
4.0,4.0,1,14,30,3,4,1
2.0,4.0,11,14,1,2,1,4
2.0,2.0,1,13,31,2,4,1
0.0,2.0,12,13,1,1,1,4
-44.0,-6.0,1,12,32,1,4,2
-42.0,-6.0,1,12,31,1,2,2
-40.0,-6.0,13,12,30,1,2,2
-38.0,-6.0,13,12,29,1,2,2
-36.0,-6.0,13,12,28,1,2,2
-34.0,-6.0,13,12,27,1,2,2
-32.0,-6.0,13,12,26,1,2,2
-30.0,-6.0,13,12,25,1,2,2
-28.0,-6.0,13,12,24,1,2,2
-26.0,-6.0,13,12,23,1,2,2
-24.0,-6.0,13,12,22,1,2,2
-22.0,-6.0,13,12,21,1,2,2
-20.0,-6.0,13,12,20,1,2,2
-18.0,-6.0,13,12,19,1,2,2
-16.0,-6.0,13,12,18,1,2,2
-14.0,-6.0,13,12,17,1,2,2
-12.0,-6.0,13,12,16,1,2,2
-10.0,-6.0,13,12,15,1,2,2
-8.0,-6.0,13,12,14,1,2,2
-6.0,-6.0,13,12,13,1,2,2
-4.0,-6.0,13,12,12,1,2,3
-4.0,-4.0,12,1,12,21,3,2
-2.0,-4.0,12,13,11,1,2,3
-2.0,-2.0,11,1,11,22,3,2
0.0,-2.0,11,14,10,1,2,3
-14.0,2.0,10,1,10,23,3,2
-12.0,2.0,10,15,9,1,2,2
-10.0,2.0,10,15,8,1,2,2
-8.0,2.0,10,15,7,1,2,2
-6.0,2.0,10,15,6,1,2,2
-4.0,2.0,10,15,5,1,2,2
-2.0,2.0,10,15,4,1,2,2
0.0,2.0,10,15,3,1,2,4
14.0,-18.0,1,14,3,30,4,2
16.0,-18.0,11,14,2,1,2,3
16.0,-16.0,10,1,2,1,3,3
16.0,-14.0,9,1,2,31,3,1
14.0,-14.0,9,1,1,30,1,1
12.0,-14.0,9,1,1,29,1,3
12.0,-12.0,8,1,4,29,3,1
10.0,-12.0,8,17,1,28,1,3
10.0,-10.0,7,1,5,28,3,1
8.0,-10.0,7,18,1,27,1,3
8.0,-8.0,6,1,6,27,3,1
6.0,-8.0,6,19,1,26,1,3
6.0,-6.0,5,1,7,26,3,1
4.0,-6.0,5,20,1,25,1,3
4.0,-4.0,4,1,8,25,3,1
2.0,-4.0,4,21,1,24,1,3
2.0,-2.0,3,1,9,24,3,1
0.0,-2.0,3,22,1,23,1,3
