foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
-24.0,-2.0,0,0,0,0,1,1
-26.0,-2.0,13,12,1,15,1,3
-26.0,0.0,12,1,18,15,3,2
-24.0,0.0,12,13,17,1,2,2
-22.0,0.0,12,13,16,1,2,2
-20.0,0.0,12,13,15,1,2,2
-18.0,0.0,12,13,14,1,2,2
-16.0,0.0,12,13,13,1,2,2
-14.0,0.0,12,13,12,1,2,2
-12.0,0.0,12,13,11,1,2,2
-10.0,0.0,12,13,10,1,2,2
-8.0,0.0,12,13,9,1,2,2
-6.0,0.0,12,13,8,1,2,2
-4.0,0.0,12,13,7,1,2,2
-2.0,0.0,12,13,6,1,2,2
-4.0,10.0,12,13,5,1,2,4
-4.0,8.0,1,12,5,28,4,4
-4.0,6.0,1,11,5,28,4,4
-4.0,4.0,1,10,5,28,4,2
-2.0,4.0,15,10,4,1,2,4
-2.0,2.0,1,9,4,29,4,2
0.0,2.0,16,9,3,1,2,4
44.0,2.0,1,8,3,30,4,1
42.0,2.0,1,8,1,29,1,1
40.0,2.0,17,8,1,28,1,1
38.0,2.0,17,8,1,27,1,1
36.0,2.0,17,8,1,26,1,1
34.0,2.0,17,8,1,25,1,1
32.0,2.0,17,8,1,24,1,1
30.0,2.0,17,8,1,23,1,1
28.0,2.0,17,8,1,22,1,1
26.0,2.0,17,8,1,21,1,1
24.0,2.0,17,8,1,20,1,1
22.0,2.0,17,8,1,19,1,1
20.0,2.0,17,8,1,18,1,1
18.0,2.0,17,8,1,17,1,1
16.0,2.0,17,8,1,16,1,1
14.0,2.0,17,8,1,15,1,1
12.0,2.0,17,8,1,14,1,1
10.0,2.0,17,8,1,13,1,1
8.0,2.0,17,8,1,12,1,1
6.0,2.0,17,8,1,11,1,1
4.0,2.0,17,8,1,10,1,1
2.0,2.0,17,8,1,9,1,1
0.0,2.0,17,8,1,8,1,4
-40.0,-28.0,1,7,25,8,4,2
-38.0,-28.0,1,7,24,1,2,2
-36.0,-28.0,1,7,23,1,2,2
-34.0,-28.0,18,7,22,1,2,2
-32.0,-28.0,18,7,21,1,2,2
-30.0,-28.0,18,7,20,1,2,2
-28.0,-28.0,18,7,19,1,2,2
-26.0,-28.0,18,7,18,1,2,3
-26.0,-26.0,17,1,18,15,3,2
-24.0,-26.0,17,8,17,1,2,3
-24.0,-24.0,16,1,17,16,3,2
-22.0,-24.0,16,9,16,1,2,3
-22.0,-22.0,15,1,16,17,3,2
-20.0,-22.0,15,10,15,1,2,3
-20.0,-20.0,14,1,15,18,3,2
-18.0,-20.0,14,11,14,1,2,3
-18.0,-18.0,13,1,14,19,3,2
-16.0,-18.0,13,12,13,1,2,3
-16.0,-16.0,12,1,13,20,3,2
-14.0,-16.0,12,13,12,1,2,3
-14.0,-14.0,11,1,12,21,3,2
-12.0,-14.0,11,14,11,1,2,3
-12.0,-12.0,10,1,11,22,3,2
-10.0,-12.0,10,15,10,1,2,3
-10.0,-10.0,9,1,10,23,3,2
-8.0,-10.0,9,16,9,1,2,3
-8.0,-8.0,8,1,9,24,3,2
-6.0,-8.0,8,17,8,1,2,3
-6.0,-6.0,7,1,8,25,3,2
-4.0,-6.0,7,18,7,1,2,3
-4.0,-4.0,6,1,7,26,3,2
-2.0,-4.0,6,19,6,1,2,3
-2.0,-2.0,5,1,6,27,3,2
0.0,-2.0,5,20,5,1,2,3
36.0,14.0,4,1,5,28,3,1
34.0,14.0,4,1,1,27,1,1
32.0,14.0,4,2,1,26,1,1
30.0,14.0,4,21,1,25,1,1
28.0,14.0,4,21,1,24,1,1
26.0,14.0,4,21,1,23,1,1
24.0,14.0,4,21,1,22,1,1
22.0,14.0,4,21,1,21,1,1
20.0,14.0,4,21,1,20,1,1
18.0,14.0,4,21,1,19,1,1
16.0,14.0,4,21,1,18,1,1
14.0,14.0,4,21,1,17,1,1
12.0,14.0,4,21,1,16,1,4
12.0,12.0,1,20,17,16,4,1
10.0,12.0,5,20,1,15,1,4
10.0,10.0,1,19,18,15,4,1
8.0,10.0,6,19,1,14,1,4
8.0,8.0,1,18,19,14,4,1
6.0,8.0,7,18,1,13,1,4
6.0,6.0,1,17,20,13,4,1
4.0,6.0,8,17,1,12,1,4
4.0,4.0,1,16,21,12,4,1
2.0,4.0,9,16,1,11,1,4
2.0,2.0,1,15,22,11,4,1
0.0,2.0,10,15,1,10,1,4
-34.0,0.0,1,14,23,10,4,2
-32.0,0.0,1,14,22,1,2,2
-30.0,0.0,2,14,21,1,2,2
-28.0,0.0,11,14,20,1,2,2
-26.0,0.0,11,14,19,1,2,2
-24.0,0.0,11,14,18,1,2,2
-22.0,0.0,11,14,17,1,2,2
-20.0,0.0,11,14,16,1,2,2
-18.0,0.0,11,14,15,1,2,2
-16.0,0.0,11,14,14,1,2,2
-14.0,0.0,11,14,13,1,2,2
-12.0,0.0,11,14,12,1,2,2
-10.0,0.0,11,14,11,1,2,2
-8.0,0.0,11,14,10,1,2,2
-6.0,0.0,11,14,9,1,2,2
-4.0,0.0,11,14,8,1,2,2
-2.0,0.0,11,14,7,1,2,2
8.0,12.0,11,14,6,1,2,4
8.0,10.0,1,13,6,27,4,4
8.0,8.0,1,12,6,27,4,1
6.0,8.0,2,12,1,26,1,4
6.0,6.0,1,11,7,26,4,1
4.0,6.0,3,11,1,25,1,4
4.0,4.0,1,10,8,25,4,1
2.0,4.0,15,10,1,24,1,4
2.0,2.0,1,9,9,24,4,1
0.0,2.0,16,9,1,23,1,4
-18.0,0.0,1,8,10,23,4,2
-16.0,0.0,1,8,9,1,2,2
-14.0,0.0,2,8,8,1,2,2
-12.0,0.0,3,8,7,1,2,2
-10.0,0.0,17,8,6,1,2,2
-8.0,0.0,17,8,5,1,2,2
-6.0,0.0,17,8,4,1,2,2
-4.0,0.0,17,8,3,1,2,2
-2.0,0.0,17,8,2,1,2,2
40.0,-20.0,17,8,1,1,2,4
40.0,-22.0,1,7,1,32,4,1
38.0,-22.0,1,7,1,31,1,1
36.0,-22.0,1,7,1,30,1,1
34.0,-22.0,1,7,1,29,1,1
32.0,-22.0,1,7,1,28,1,1
30.0,-22.0,18,7,1,27,1,1
28.0,-22.0,18,7,1,26,1,1
26.0,-22.0,18,7,1,25,1,1
24.0,-22.0,18,7,1,24,1,1
22.0,-22.0,18,7,1,23,1,1
20.0,-22.0,18,7,1,22,1,3
20.0,-20.0,17,1,11,22,3,1
18.0,-20.0,17,8,1,21,1,3
18.0,-18.0,16,1,12,21,3,1
16.0,-18.0,16,9,1,20,1,3
16.0,-16.0,15,1,13,20,3,1
14.0,-16.0,15,10,1,19,1,3
14.0,-14.0,14,1,14,19,3,1
12.0,-14.0,14,11,1,18,1,3
12.0,-12.0,13,1,15,18,3,1
10.0,-12.0,13,12,1,17,1,3
10.0,-10.0,12,1,16,17,3,1
8.0,-10.0,12,13,1,16,1,3
8.0,-8.0,11,1,17,16,3,1
6.0,-8.0,11,14,1,15,1,3
6.0,-6.0,10,1,18,15,3,1
4.0,-6.0,10,15,1,14,1,3
4.0,-4.0,9,1,19,14,3,1
2.0,-4.0,9,16,1,13,1,3
2.0,-2.0,8,1,20,13,3,1
0.0,-2.0,8,17,1,12,1,3
14.0,28.0,7,1,21,12,3,1
12.0,28.0,7,18,1,11,1,4
12.0,26.0,1,17,1,11,4,4
12.0,24.0,1,16,2,11,4,4
12.0,22.0,1,15,3,11,4,4
12.0,20.0,1,14,22,11,4,4
12.0,18.0,1,13,22,11,4,4
12.0,16.0,1,12,22,11,4,4
12.0,14.0,1,11,22,11,4,4
12.0,12.0,1,10,22,11,4,1
10.0,12.0,15,10,1,10,1,4
10.0,10.0,1,9,23,10,4,1
8.0,10.0,16,9,1,9,1,4
8.0,8.0,1,8,24,9,4,1
6.0,8.0,17,8,1,8,1,4
6.0,6.0,1,7,25,8,4,1
4.0,6.0,18,7,1,7,1,4
4.0,4.0,1,6,26,7,4,1
2.0,4.0,19,6,1,6,1,4
2.0,2.0,1,5,27,6,4,1
0.0,2.0,20,5,1,5,1,4
-38.0,-12.0,1,4,28,5,4,2
-36.0,-12.0,1,4,27,1,2,2
-34.0,-12.0,2,4,26,1,2,2
-32.0,-12.0,3,4,25,1,2,2
-30.0,-12.0,4,4,24,1,2,2
-28.0,-12.0,21,4,23,1,2,2
-26.0,-12.0,21,4,22,1,2,2
-24.0,-12.0,21,4,21,1,2,2
-22.0,-12.0,21,4,20,1,2,2
-20.0,-12.0,21,4,19,1,2,2
-18.0,-12.0,21,4,18,1,2,2
-16.0,-12.0,21,4,17,1,2,2
-14.0,-12.0,21,4,16,1,2,2
-12.0,-12.0,21,4,15,1,2,2
-10.0,-12.0,21,4,14,1,2,3
-10.0,-10.0,20,1,14,19,3,2
-8.0,-10.0,20,5,13,1,2,3
-8.0,-8.0,19,1,13,20,3,2
-6.0,-8.0,19,6,12,1,2,3
-6.0,-6.0,18,1,12,21,3,2
-4.0,-6.0,18,7,11,1,2,3
-4.0,-4.0,17,1,11,22,3,2
-2.0,-4.0,17,8,10,1,2,3
-2.0,-2.0,16,1,10,23,3,2
0.0,-2.0,16,9,9,1,2,3
36.0,12.0,15,1,9,24,3,1
34.0,12.0,15,1,1,23,1,1
32.0,12.0,15,2,1,22,1,1
30.0,12.0,15,3,1,21,1,1
28.0,12.0,15,4,1,20,1,1
26.0,12.0,15,10,1,19,1,1
24.0,12.0,15,10,1,18,1,1
22.0,12.0,15,10,1,17,1,1
20.0,12.0,15,10,1,16,1,1
18.0,12.0,15,10,1,15,1,1
16.0,12.0,15,10,1,14,1,1
14.0,12.0,15,10,1,13,1,1
12.0,12.0,15,10,1,12,1,1
10.0,12.0,15,10,1,11,1,4
10.0,10.0,1,9,22,11,4,1
8.0,10.0,16,9,1,10,1,4
8.0,8.0,1,8,23,10,4,1
6.0,8.0,17,8,1,9,1,4
6.0,6.0,1,7,24,9,4,1
4.0,6.0,18,7,1,8,1,4
4.0,4.0,1,6,25,8,4,1
2.0,4.0,19,6,1,7,1,4
2.0,2.0,1,5,26,7,4,1
0.0,2.0,20,5,1,6,1,4
-2.0,-36.0,1,4,27,6,4,2
0.0,-36.0,1,4,26,1,2,2
2.0,-36.0,2,4,25,1,2,3
2.0,-34.0,1,1,25,1,3,2
4.0,-34.0,2,5,24,1,2,3
4.0,-32.0,1,1,24,1,3,2
6.0,-32.0,2,6,23,1,2,3
6.0,-30.0,18,1,23,1,3,3
6.0,-28.0,17,1,23,10,3,3
6.0,-26.0,16,1,23,10,3,3
6.0,-24.0,15,1,23,10,3,3
6.0,-22.0,14,1,23,10,3,3
6.0,-20.0,13,1,23,10,3,3
6.0,-18.0,12,1,23,10,3,3
6.0,-16.0,11,1,23,10,3,3
6.0,-14.0,10,1,23,10,3,3
6.0,-12.0,9,1,23,10,3,3
6.0,-10.0,8,1,23,10,3,3
6.0,-8.0,7,1,23,10,3,3
6.0,-6.0,6,1,23,10,3,1
4.0,-6.0,6,19,1,9,1,3
4.0,-4.0,5,1,24,9,3,1
2.0,-4.0,5,20,1,8,1,3
2.0,-2.0,4,1,25,8,3,1
0.0,-2.0,4,21,1,7,1,3
-4.0,12.0,3,1,26,7,3,1
-6.0,12.0,3,22,1,6,1,4
-6.0,10.0,1,21,1,6,4,4
-6.0,8.0,1,20,2,6,4,4
-6.0,6.0,1,19,3,6,4,2
-4.0,6.0,2,19,2,1,2,4
-4.0,4.0,1,18,3,7,4,2
-2.0,4.0,2,18,2,1,2,4
-2.0,2.0,1,17,25,8,4,2
0.0,2.0,2,17,24,1,2,4
-16.0,6.0,1,16,24,9,4,2
-14.0,6.0,9,16,23,1,2,2
-12.0,6.0,9,16,22,1,2,2
-10.0,6.0,9,16,21,1,2,2
-8.0,6.0,9,16,20,1,2,2
-6.0,6.0,9,16,19,1,2,2
-4.0,6.0,9,16,18,1,2,4
-4.0,4.0,1,15,18,15,4,2
-2.0,4.0,10,15,17,1,2,4
-2.0,2.0,1,14,17,16,4,2
0.0,2.0,11,14,16,1,2,4
22.0,22.0,1,13,16,17,4,1
20.0,22.0,1,13,1,16,1,4
20.0,20.0,1,12,17,16,4,1
18.0,20.0,3,12,1,15,1,4
18.0,18.0,1,11,18,15,4,1
16.0,18.0,5,11,1,14,1,4
16.0,16.0,1,10,19,14,4,1
14.0,16.0,6,10,1,13,1,4
14.0,14.0,1,9,20,13,4,1
12.0,14.0,7,9,1,12,1,4
12.0,12.0,1,8,21,12,4,1
10.0,12.0,17,8,1,11,1,4
10.0,10.0,1,7,22,11,4,1
8.0,10.0,18,7,1,10,1,4
8.0,8.0,1,6,23,10,4,1
6.0,8.0,19,6,1,9,1,4
6.0,6.0,1,5,24,9,4,1
4.0,6.0,20,5,1,8,1,4
4.0,4.0,1,4,25,8,4,1
2.0,4.0,21,4,1,7,1,4
2.0,2.0,1,3,26,7,4,1
0.0,2.0,22,3,1,6,1,4
-42.0,-18.0,1,2,27,6,4,2
-40.0,-18.0,1,2,26,1,2,2
-38.0,-18.0,2,2,25,1,2,2
-36.0,-18.0,3,2,24,1,2,2
-34.0,-18.0,4,2,23,1,2,2
-32.0,-18.0,5,2,22,1,2,2
-30.0,-18.0,6,2,21,1,2,2
-28.0,-18.0,23,2,20,1,2,2
-26.0,-18.0,23,2,19,1,2,2
-24.0,-18.0,23,2,18,1,2,2
-22.0,-18.0,23,2,17,1,2,2
-20.0,-18.0,23,2,16,1,2,2
-18.0,-18.0,23,2,15,1,2,2
-16.0,-18.0,23,2,14,1,2,3
-16.0,-16.0,22,1,14,12,3,2
-14.0,-16.0,22,3,13,1,2,3
-14.0,-14.0,21,1,13,20,3,2
-12.0,-14.0,21,4,12,1,2,3
-12.0,-12.0,20,1,12,21,3,2
-10.0,-12.0,20,5,11,1,2,3
-10.0,-10.0,19,1,11,22,3,2
-8.0,-10.0,19,6,10,1,2,3
-8.0,-8.0,18,1,10,23,3,2
-6.0,-8.0,18,7,9,1,2,3
-6.0,-6.0,17,1,9,24,3,2
-4.0,-6.0,17,8,8,1,2,3
-4.0,-4.0,16,1,8,25,3,2
