foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
0.0,8.0,0,0,0,1,1
-2.0,8.0,13,15,12,1,1
-4.0,8.0,13,14,12,1,1
-6.0,8.0,13,13,12,1,1
-8.0,8.0,13,12,12,1,1
-10.0,8.0,13,11,12,1,1
-12.0,8.0,13,10,12,1,1
-14.0,8.0,13,9,12,1,1
-16.0,8.0,13,8,12,1,4
-16.0,6.0,8,11,25,4,4
-16.0,4.0,8,10,25,4,4
-16.0,2.0,8,9,25,4,4
-16.0,0.0,8,8,25,4,2
-14.0,0.0,8,24,17,2,2
-12.0,0.0,8,23,17,2,2
-10.0,0.0,8,22,17,2,2
-8.0,0.0,8,21,17,2,2
-6.0,0.0,8,20,17,2,2
-4.0,0.0,8,19,17,2,2
-2.0,0.0,8,18,17,2,2
-14.0,6.0,8,17,17,2,3
-14.0,8.0,17,16,16,3,3
-14.0,10.0,17,15,16,3,3
-14.0,12.0,17,14,16,3,2
-12.0,12.0,11,16,14,2,2
-10.0,12.0,11,15,14,2,2
-8.0,12.0,11,14,14,2,4
-8.0,10.0,19,10,14,4,4
-8.0,8.0,19,9,14,4,4
-8.0,6.0,19,8,14,4,4
-8.0,4.0,19,7,14,4,4
-8.0,2.0,19,6,14,4,4
-8.0,0.0,19,5,14,4,2
-6.0,0.0,5,13,20,2,2
-4.0,0.0,5,12,20,2,2
-2.0,0.0,5,11,20,2,2
-14.0,-6.0,5,10,20,2,2
-12.0,-6.0,5,9,20,2,3
-12.0,-4.0,9,19,24,3,3
-12.0,-2.0,9,18,24,3,3
-12.0,0.0,9,17,24,3,2
-10.0,0.0,8,8,17,2,2
-8.0,0.0,8,7,17,2,2
-6.0,0.0,8,6,17,2,2
-4.0,0.0,8,5,17,2,2
-2.0,0.0,8,4,17,2,2
58.0,8.0,8,3,17,2,3
58.0,10.0,3,16,30,3,3
58.0,12.0,3,15,30,3,3
58.0,14.0,3,14,30,3,1
56.0,14.0,14,29,3,1,1
54.0,14.0,14,28,11,1,4
54.0,12.0,28,10,2,4,4
54.0,10.0,28,9,5,4,4
54.0,8.0,28,8,5,4,4
54.0,6.0,28,7,5,4,4
54.0,4.0,28,6,5,4,1
52.0,4.0,19,27,6,1,1
50.0,4.0,19,26,6,1,1
48.0,4.0,19,25,6,1,1
46.0,4.0,19,24,6,1,1
44.0,4.0,19,23,6,1,4
44.0,2.0,23,5,10,4,4
44.0,0.0,23,4,10,4,1
42.0,0.0,21,22,4,1,1
40.0,0.0,21,21,4,1,1
38.0,0.0,21,20,4,1,1
36.0,0.0,21,19,4,1,1
34.0,0.0,21,18,4,1,1
32.0,0.0,21,17,4,1,1
30.0,0.0,21,16,4,1,1
28.0,0.0,21,15,4,1,1
26.0,0.0,21,14,4,1,1
24.0,0.0,21,13,4,1,1
22.0,0.0,21,12,4,1,1
20.0,0.0,21,11,4,1,1
18.0,0.0,21,10,4,1,1
16.0,0.0,21,9,4,1,1
14.0,0.0,21,8,4,1,1
12.0,0.0,21,7,4,1,1
10.0,0.0,21,6,4,1,1
8.0,0.0,21,5,4,1,1
6.0,0.0,21,4,4,1,1
4.0,0.0,21,3,4,1,1
2.0,0.0,21,2,4,1,1
-32.0,-24.0,21,1,4,1,3
-32.0,-22.0,32,20,1,3,3
-32.0,-20.0,32,19,1,3,3
-32.0,-18.0,32,18,1,3,3
-32.0,-16.0,32,17,1,3,3
-32.0,-14.0,32,16,1,3,2
-30.0,-14.0,9,31,16,2,2
-28.0,-14.0,9,30,16,2,2
-26.0,-14.0,9,29,16,2,2
-24.0,-14.0,9,28,16,2,2
-22.0,-14.0,9,27,16,2,3
-22.0,-12.0,27,15,6,3,3
-22.0,-10.0,27,14,6,3,3
-22.0,-8.0,27,13,6,3,2
-20.0,-8.0,12,26,13,2,2
-18.0,-8.0,12,25,13,2,2
-16.0,-8.0,12,24,13,2,2
-14.0,-8.0,12,23,13,2,3
-14.0,-6.0,23,12,10,3,3
-14.0,-4.0,23,11,10,3,3
-14.0,-2.0,23,10,10,3,2
-12.0,-2.0,15,22,10,2,2
-10.0,-2.0,15,21,10,2,2
-8.0,-2.0,15,20,10,2,2
-6.0,-2.0,15,19,10,2,2
-4.0,-2.0,15,18,10,2,2
-2.0,-2.0,15,17,10,2,3
-2.0,0.0,17,9,16,3,3
-2.0,2.0,17,8,16,3,3
-2.0,4.0,17,7,16,3,3
-2.0,6.0,17,6,16,3,3
-2.0,8.0,17,5,16,3,3
-2.0,10.0,17,4,16,3,2
0.0,10.0,21,16,4,2,4
0.0,8.0,1,20,16,4,4
0.0,6.0,1,19,16,4,4
0.0,4.0,17,18,16,4,4
0.0,2.0,17,17,16,4,4
-4.0,-2.0,17,16,16,4,4
-4.0,-4.0,17,15,16,4,4
-4.0,-6.0,17,14,16,4,4
-4.0,-8.0,17,13,16,4,2
-2.0,-8.0,13,15,12,2,2
0.0,-8.0,13,14,12,2,2
2.0,-8.0,13,13,12,2,3
2.0,-6.0,13,11,3,3,3
2.0,-4.0,13,10,3,3,3
2.0,-2.0,13,9,20,3,3
2.0,0.0,13,8,20,3,3
2.0,2.0,13,7,20,3,3
2.0,4.0,13,6,20,3,3
2.0,6.0,13,5,20,3,3
2.0,8.0,13,4,20,3,3
2.0,10.0,13,3,20,3,3
2.0,12.0,13,2,20,3,4
