foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
-30.0,2.0,0,0,0,1,1
-32.0,2.0,13,15,12,1,1
-34.0,2.0,13,14,12,1,1
-36.0,2.0,13,13,12,1,1
-38.0,2.0,13,12,12,1,1
-40.0,2.0,13,11,12,1,1
-42.0,2.0,13,10,12,1,1
-44.0,2.0,13,9,12,1,4
-44.0,0.0,9,11,24,4,4
-44.0,-2.0,9,10,24,4,4
-44.0,-4.0,9,9,24,4,4
-44.0,-6.0,9,8,24,4,2
-42.0,-6.0,8,23,17,2,2
-40.0,-6.0,8,22,17,2,2
-38.0,-6.0,8,21,17,2,2
-36.0,-6.0,8,20,17,2,2
-34.0,-6.0,8,19,17,2,2
-32.0,-6.0,8,18,17,2,2
-30.0,-6.0,8,17,17,2,2
-28.0,-6.0,8,16,17,2,2
-26.0,-6.0,8,15,17,2,2
-24.0,-6.0,8,14,17,2,2
-22.0,-6.0,8,13,17,2,2
-20.0,-6.0,8,12,17,2,2
-18.0,-6.0,8,11,17,2,2
-16.0,-6.0,8,10,17,2,2
-14.0,-6.0,8,9,17,2,2
-12.0,-6.0,8,8,17,2,2
-10.0,-6.0,8,7,17,2,2
-8.0,-6.0,8,6,17,2,2
-6.0,-6.0,8,5,17,2,2
-4.0,-6.0,8,4,17,2,2
-2.0,-6.0,8,3,17,2,3
-2.0,-4.0,3,16,30,3,3
-2.0,-2.0,3,15,30,3,3
-2.0,0.0,3,14,30,3,3
-2.0,2.0,3,13,30,3,3
-2.0,4.0,3,12,30,3,3
-2.0,6.0,3,11,30,3,3
-2.0,8.0,3,10,30,3,3
-2.0,10.0,3,9,30,3,3
-2.0,12.0,3,8,30,3,3
-2.0,14.0,3,7,30,3,2
0.0,14.0,18,2,7,2,4
0.0,12.0,31,17,2,4,4
0.0,10.0,31,16,2,4,4
0.0,8.0,31,15,2,4,4
0.0,6.0,31,14,2,4,4
0.0,4.0,31,13,2,4,4
0.0,2.0,31,12,2,4,4
26.0,-24.0,31,11,2,4,4
26.0,-26.0,31,10,2,4,4
26.0,-28.0,31,9,2,4,4
26.0,-30.0,31,8,2,4,4
26.0,-32.0,31,7,2,4,4
26.0,-34.0,31,6,2,4,4
26.0,-36.0,31,5,2,4,4
26.0,-38.0,31,4,2,4,1
24.0,-38.0,21,30,4,1,3
24.0,-36.0,1,20,30,3,3
24.0,-34.0,3,19,30,3,3
24.0,-32.0,3,18,30,3,3
24.0,-30.0,3,17,30,3,3
24.0,-28.0,3,16,30,3,1
22.0,-28.0,16,29,9,1,1
20.0,-28.0,16,28,9,1,1
18.0,-28.0,16,27,9,1,1
16.0,-28.0,16,26,9,1,1
14.0,-28.0,16,25,9,1,1
12.0,-28.0,16,24,9,1,1
10.0,-28.0,16,23,9,1,1
8.0,-28.0,16,22,9,1,1
6.0,-28.0,16,21,9,1,1
4.0,-28.0,16,20,9,1,1
2.0,-28.0,16,19,9,1,1
0.0,-28.0,16,18,9,1,3
0.0,-26.0,15,15,18,3,3
0.0,-24.0,15,14,18,3,3
0.0,-22.0,15,13,18,3,3
0.0,-20.0,15,12,18,3,3
0.0,-18.0,15,11,18,3,3
0.0,-16.0,15,10,18,3,3
0.0,-14.0,15,9,18,3,3
0.0,-12.0,15,8,18,3,3
0.0,-10.0,15,7,18,3,3
