foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
-6.0,4.0,0,0,0,1,1
-8.0,4.0,13,15,12,1,1
-10.0,4.0,13,14,12,1,1
-12.0,4.0,13,13,12,1,1
-14.0,4.0,13,12,12,1,1
-16.0,4.0,13,11,12,1,4
-16.0,2.0,11,11,22,4,4
-16.0,0.0,11,10,22,4,2
-14.0,0.0,10,21,15,2,2
-12.0,0.0,10,20,15,2,2
-10.0,0.0,10,19,15,2,2
-8.0,0.0,10,18,15,2,2
-6.0,0.0,10,17,15,2,2
-4.0,0.0,10,16,15,2,2
-2.0,0.0,10,15,15,2,2
-22.0,-10.0,10,14,15,2,2
-20.0,-10.0,10,13,15,2,2
-18.0,-10.0,10,12,15,2,2
-16.0,-10.0,10,11,15,2,2
-14.0,-10.0,10,10,15,2,2
-12.0,-10.0,10,9,15,2,2
-10.0,-10.0,10,8,15,2,2
-8.0,-10.0,10,7,15,2,2
-6.0,-10.0,10,6,15,2,2
-4.0,-10.0,10,5,15,2,2
-2.0,-10.0,10,4,15,2,2
0.0,-10.0,10,3,15,2,3
0.0,-8.0,3,14,30,3,3
0.0,-6.0,3,13,30,3,3
0.0,-4.0,3,12,30,3,3
0.0,-2.0,3,11,30,3,3
8.0,10.0,3,10,30,3,3
8.0,12.0,3,9,30,3,1
6.0,12.0,9,29,16,1,1
4.0,12.0,9,28,16,1,1
2.0,12.0,9,27,16,1,1
0.0,12.0,9,26,16,1,4
0.0,10.0,26,15,7,4,4
0.0,8.0,26,14,7,4,4
0.0,6.0,26,13,7,4,4
0.0,4.0,26,12,7,4,4
0.0,2.0,26,11,7,4,4
34.0,-6.0,26,10,7,4,4
34.0,-8.0,26,9,7,4,1
32.0,-8.0,16,25,9,1,1
30.0,-8.0,16,24,9,1,1
28.0,-8.0,16,23,9,1,3
28.0,-6.0,3,15,23,3,3
28.0,-4.0,10,14,23,3,3
28.0,-2.0,10,13,23,3,3
28.0,0.0,10,12,23,3,1
26.0,0.0,12,22,13,1,1
24.0,0.0,12,21,13,1,1
22.0,0.0,12,20,13,1,1
20.0,0.0,12,19,13,1,1
18.0,0.0,12,18,13,1,1
16.0,0.0,12,17,13,1,1
14.0,0.0,12,16,13,1,1
12.0,0.0,12,15,13,1,1
10.0,0.0,12,14,13,1,1
8.0,0.0,12,13,13,1,1
6.0,0.0,12,12,13,1,1
4.0,0.0,12,11,13,1,1
2.0,0.0,12,10,13,1,1
0.0,-10.0,12,9,13,1,1
-2.0,-10.0,12,8,13,1,3
-2.0,-8.0,25,11,8,3,3
-2.0,-6.0,25,10,8,3,3
-2.0,-4.0,25,9,8,3,3
-2.0,-2.0,25,8,8,3,3
-2.0,0.0,25,7,8,3,2
16.0,6.0,5,24,7,2,2
18.0,6.0,18,23,7,2,2
20.0,6.0,18,22,7,2,2
22.0,6.0,18,21,7,2,4
22.0,4.0,4,17,21,4,4
22.0,2.0,12,16,21,4,1
20.0,2.0,2,11,16,1,1
18.0,2.0,2,10,16,1,1
16.0,2.0,9,9,16,1,1
14.0,2.0,9,8,16,1,1
12.0,2.0,9,7,16,1,1
10.0,2.0,9,6,16,1,1
8.0,2.0,9,5,16,1,1
6.0,2.0,9,4,16,1,1
4.0,2.0,9,3,16,1,1
2.0,2.0,9,2,16,1,1
0.0,2.0,9,1,16,1,4
-42.0,-10.0,1,15,32,4,4
-42.0,-12.0,1,14,32,4,2
-40.0,-12.0,14,31,2,2,2
-38.0,-12.0,14,30,2,2,2
-36.0,-12.0,14,29,2,2,2
-34.0,-12.0,14,28,11,2,2
-32.0,-12.0,14,27,11,2,3
-32.0,-10.0,27,10,5,3,3
-32.0,-8.0,27,9,6,3,3
-32.0,-6.0,27,8,6,3,3
-32.0,-4.0,27,7,6,3,3
-32.0,-2.0,27,6,6,3,2
-30.0,-2.0,19,26,6,2,2
-28.0,-2.0,19,25,6,2,3
-28.0,0.0,25,5,8,3,2
-26.0,0.0,20,24,5,2,2
-24.0,0.0,20,23,5,2,2
-22.0,0.0,20,22,5,2,2
-20.0,0.0,20,21,5,2,2
-18.0,0.0,20,20,5,2,2
-16.0,0.0,20,19,5,2,2
-14.0,0.0,20,18,5,2,2
-12.0,0.0,20,17,5,2,2
-10.0,0.0,20,16,5,2,2
-8.0,0.0,20,15,5,2,2
-6.0,0.0,20,14,5,2,2
-4.0,0.0,20,13,5,2,2
-2.0,0.0,20,12,5,2,2
40.0,18.0,20,11,5,2,4
40.0,16.0,22,19,11,4,4
40.0,14.0,22,18,11,4,4
40.0,12.0,22,17,11,4,4
40.0,10.0,22,16,11,4,4
40.0,8.0,22,15,11,4,4
40.0,6.0,22,14,11,4,4
40.0,4.0,22,13,11,4,4
40.0,2.0,22,12,11,4,4
40.0,0.0,22,11,11,4,1
38.0,0.0,14,21,11,1,1
36.0,0.0,14,20,11,1,1
34.0,0.0,14,19,11,1,1
32.0,0.0,14,18,11,1,1
30.0,0.0,14,17,11,1,1
28.0,0.0,14,16,11,1,1
26.0,0.0,14,15,11,1,1
24.0,0.0,14,14,11,1,1
22.0,0.0,14,13,11,1,1
20.0,0.0,14,12,11,1,1
18.0,0.0,14,11,11,1,1
16.0,0.0,14,10,11,1,1
14.0,0.0,14,9,11,1,1
12.0,0.0,14,8,11,1,1
10.0,0.0,14,7,11,1,1
8.0,0.0,14,6,11,1,1
6.0,0.0,14,5,11,1,1
4.0,0.0,14,4,11,1,1
2.0,0.0,14,3,11,1,1
-48.0,2.0,14,2,11,1,3
-48.0,4.0,31,13,2,3,3
-48.0,6.0,31,12,2,3,2
-46.0,6.0,2,30,12,2,2
-44.0,6.0,2,29,12,2,2
-42.0,6.0,2,28,12,2,2
-40.0,6.0,2,27,12,2,2
-38.0,6.0,13,26,12,2,2
-36.0,6.0,13,25,12,2,4
-36.0,4.0,6,12,25,4,4
-36.0,2.0,6,11,25,4,4
-36.0,0.0,8,10,25,4,2
-34.0,0.0,10,24,15,2,2
-32.0,0.0,10,23,15,2,2
-30.0,0.0,10,22,15,2,2
-28.0,0.0,10,21,15,2,2
-26.0,0.0,10,20,15,2,2
-24.0,0.0,10,19,15,2,2
-22.0,0.0,10,18,15,2,2
-20.0,0.0,10,17,15,2,2
-18.0,0.0,10,16,15,2,2
-16.0,0.0,10,15,15,2,2
-14.0,0.0,10,14,15,2,2
-12.0,0.0,10,13,15,2,2
-10.0,0.0,10,12,15,2,2
-8.0,0.0,10,11,15,2,2
-6.0,0.0,10,10,15,2,2
-4.0,0.0,10,9,15,2,2
-2.0,0.0,10,8,15,2,2
16.0,-26.0,10,7,15,2,3
16.0,-24.0,7,14,26,3,3
16.0,-22.0,7,13,26,3,3
16.0,-20.0,7,12,26,3,3
16.0,-18.0,7,11,26,3,3
16.0,-16.0,7,10,26,3,3
16.0,-14.0,7,9,26,3,3
16.0,-12.0,7,8,26,3,3
16.0,-10.0,7,7,26,3,3
16.0,-8.0,7,6,26,3,3
16.0,-6.0,7,5,26,3,3
16.0,-4.0,7,4,26,3,3
16.0,-2.0,7,3,26,3,3
16.0,0.0,7,2,26,3,1
14.0,0.0,2,25,23,1,1
12.0,0.0,2,24,23,1,1
10.0,0.0,2,23,23,1,1
8.0,0.0,2,22,23,1,1
6.0,0.0,2,21,23,1,1
4.0,0.0,2,20,23,1,1
2.0,0.0,2,19,23,1,1
8.0,-2.0,2,18,23,1,1
6.0,-2.0,2,17,23,1,4
6.0,-4.0,17,22,9,4,4
6.0,-6.0,17,21,16,4,4
6.0,-8.0,17,20,16,4,1
4.0,-8.0,5,16,20,1,1
2.0,-8.0,5,15,20,1,3
2.0,-6.0,2,4,15,3,3
2.0,-4.0,2,3,15,3,3
2.0,-2.0,2,2,15,3,3
2.0,0.0,18,1,15,3,1
-6.0,16.0,1,14,24,1,1
-8.0,16.0,1,13,24,1,4
-8.0,14.0,13,23,2,4,4
-8.0,12.0,13,22,2,4,4
-8.0,10.0,13,21,2,4,4
-8.0,8.0,13,20,2,4,4
-8.0,6.0,13,19,20,4,4
-8.0,4.0,13,18,20,4,4
-8.0,2.0,13,17,20,4,4
-8.0,0.0,13,16,20,4,2
-6.0,0.0,16,19,8,2,2
-4.0,0.0,16,18,7,2,2
-2.0,0.0,16,17,9,2,2
28.0,10.0,16,16,9,2,2
30.0,10.0,16,15,9,2,2
32.0,10.0,16,14,9,2,4
32.0,8.0,19,15,14,4,4
32.0,6.0,19,14,14,4,4
32.0,4.0,19,13,14,4,4
32.0,2.0,19,12,14,4,4
32.0,0.0,19,11,14,4,1
30.0,0.0,5,18,11,1,1
28.0,0.0,5,17,11,1,1
26.0,0.0,5,16,11,1,1
24.0,0.0,5,15,11,1,1
22.0,0.0,14,14,11,1,1
20.0,0.0,14,13,11,1,1
18.0,0.0,14,12,11,1,1
16.0,0.0,14,11,11,1,1
14.0,0.0,14,10,11,1,1
12.0,0.0,14,9,11,1,1
10.0,0.0,14,8,11,1,1
8.0,0.0,14,7,11,1,1
6.0,0.0,14,6,11,1,1
4.0,0.0,14,5,11,1,1
2.0,0.0,14,4,11,1,1
-8.0,-20.0,14,3,11,1,1
-10.0,-20.0,14,2,11,1,3
-10.0,-18.0,31,13,2,3,3
-10.0,-16.0,31,12,2,3,3
-10.0,-14.0,31,11,2,3,3
-10.0,-12.0,31,10,2,3,3
-10.0,-10.0,31,9,2,3,3
-10.0,-8.0,31,8,2,3,3
-10.0,-6.0,31,7,2,3,3
-10.0,-4.0,31,6,2,3,3
-10.0,-2.0,31,5,2,3,3
-10.0,0.0,31,4,2,3,2
-8.0,0.0,10,30,4,2,2
-6.0,0.0,10,29,4,2,2
-4.0,0.0,21,28,4,2,2
-2.0,0.0,21,27,4,2,2
-28.0,-4.0,21,26,4,2,2
-26.0,-4.0,21,25,4,2,2
-24.0,-4.0,21,24,4,2,2
-22.0,-4.0,21,23,4,2,3
-22.0,-2.0,23,3,10,3,2
-20.0,-2.0,22,22,3,2,2
-18.0,-2.0,22,21,3,2,3
-18.0,0.0,21,2,12,3,2
-16.0,0.0,23,20,2,2,2
-14.0,0.0,23,19,2,2,2
-12.0,0.0,23,18,2,2,2
-10.0,0.0,23,17,2,2,2
-8.0,0.0,23,16,2,2,2
-6.0,0.0,23,15,2,2,2
-4.0,0.0,23,14,2,2,2
-2.0,0.0,23,13,2,2,2
-8.0,20.0,23,12,2,2,2
-6.0,20.0,23,11,2,2,2
-4.0,20.0,23,10,2,2,2
-2.0,20.0,23,9,2,2,2
0.0,20.0,23,8,2,2,4
0.0,18.0,13,22,8,4,4
0.0,16.0,25,21,8,4,4
0.0,14.0,25,20,8,4,4
0.0,12.0,25,19,8,4,4
0.0,10.0,25,18,8,4,4
0.0,8.0,25,17,8,4,4
0.0,6.0,25,16,8,4,4
0.0,4.0,25,15,8,4,4
0.0,2.0,25,14,8,4,4
-14.0,8.0,25,13,8,4,4
-14.0,6.0,25,12,8,4,4
-14.0,4.0,25,11,8,4,4
-14.0,2.0,25,10,8,4,2
-12.0,2.0,10,7,15,2,2
-10.0,2.0,10,6,15,2,2
-8.0,2.0,10,5,15,2,2
-6.0,2.0,10,4,15,2,2
-4.0,2.0,10,3,15,2,2
-2.0,2.0,10,2,15,2,4
-2.0,0.0,31,9,2,4,4
-2.0,-2.0,31,8,2,4,4
-2.0,-4.0,31,7,2,4,4
-2.0,-6.0,31,6,2,4,2
0.0,-6.0,6,1,19,2,3
0.0,-4.0,1,18,1,3,3
0.0,-2.0,1,17,1,3,3
22.0,-30.0,1,16,1,3,3
22.0,-28.0,1,15,1,3,3
22.0,-26.0,1,14,7,3,3
22.0,-24.0,1,13,7,3,3
22.0,-22.0,1,12,32,3,3
22.0,-20.0,1,11,32,3,3
22.0,-18.0,1,10,32,3,3
22.0,-16.0,1,9,32,3,3
22.0,-14.0,1,8,32,3,3
22.0,-12.0,1,7,32,3,3
22.0,-10.0,1,6,32,3,3
22.0,-8.0,1,5,32,3,3
22.0,-6.0,1,4,32,3,3
22.0,-4.0,1,3,32,3,3
22.0,-2.0,1,2,32,3,3
22.0,0.0,1,1,32,3,1
20.0,0.0,1,31,24,1,1
18.0,0.0,1,30,24,1,1
16.0,0.0,1,29,24,1,1
14.0,0.0,1,28,24,1,1
12.0,0.0,1,27,24,1,1
10.0,0.0,1,26,24,1,1
8.0,0.0,1,25,24,1,1
6.0,0.0,1,24,24,1,1
4.0,0.0,1,23,24,1,1
2.0,0.0,1,22,24,1,1
40.0,40.0,1,21,24,1,1
38.0,40.0,1,20,24,1,1
36.0,40.0,1,19,24,1,1
34.0,40.0,1,18,24,1,1
32.0,40.0,1,17,24,1,1
30.0,40.0,1,16,24,1,1
28.0,40.0,1,15,24,1,1
26.0,40.0,1,14,24,1,1
24.0,40.0,1,13,24,1,1
22.0,40.0,1,12,24,1,1
20.0,40.0,1,11,24,1,1
18.0,40.0,1,10,24,1,1
16.0,40.0,1,9,24,1,1
14.0,40.0,1,8,24,1,1
12.0,40.0,1,7,24,1,1
10.0,40.0,1,6,24,1,1
8.0,40.0,1,5,24,1,1
6.0,40.0,1,4,24,1,1
4.0,40.0,1,3,24,1,1
2.0,40.0,1,2,24,1,1
0.0,40.0,1,1,24,1,4
0.0,38.0,1,23,32,4,4
0.0,36.0,1,22,32,4,4
0.0,34.0,1,21,32,4,4
0.0,32.0,1,20,32,4,4
0.0,30.0,1,19,32,4,4
0.0,28.0,1,18,32,4,4
0.0,26.0,1,17,32,4,4
0.0,24.0,1,16,32,4,4
0.0,22.0,1,15,32,4,4
0.0,20.0,1,14,32,4,4
0.0,18.0,1,13,32,4,4
0.0,16.0,1,12,32,4,4
0.0,14.0,1,11,32,4,4
0.0,12.0,1,10,32,4,4
0.0,10.0,1,9,32,4,4
0.0,8.0,1,8,32,4,4
0.0,6.0,1,7,32,4,4
0.0,4.0,1,6,32,4,4
0.0,2.0,1,5,32,4,4
-2.0,-16.0,1,4,32,4,4
-2.0,-18.0,1,3,32,4,2
0.0,-18.0,3,31,22,2,3
0.0,-16.0,31,21,1,3,3
0.0,-14.0,31,20,1,3,3
0.0,-12.0,31,19,1,3,3
0.0,-10.0,31,18,1,3,3
0.0,-8.0,31,17,1,3,3
0.0,-6.0,31,16,1,3,3
0.0,-4.0,31,15,1,3,3
0.0,-2.0,31,14,1,3,3
-60.0,-14.0,31,13,1,3,3
-60.0,-12.0,31,12,1,3,3
-60.0,-10.0,31,11,2,3,3
-60.0,-8.0,31,10,2,3,3
-60.0,-6.0,31,9,2,3,3
-60.0,-4.0,31,8,2,3,3
-60.0,-2.0,31,7,2,3,3
-60.0,0.0,31,6,2,3,2
-58.0,0.0,19,30,6,2,2
-56.0,0.0,19,29,6,2,2
-54.0,0.0,19,28,6,2,2
-52.0,0.0,19,27,6,2,2
-50.0,0.0,19,26,6,2,2
-48.0,0.0,19,25,6,2,2
-46.0,0.0,19,24,6,2,2
-44.0,0.0,19,23,6,2,2
-42.0,0.0,19,22,6,2,2
-40.0,0.0,19,21,6,2,2
-38.0,0.0,19,20,6,2,2
-36.0,0.0,19,19,6,2,2
-34.0,0.0,19,18,6,2,2
-32.0,0.0,19,17,6,2,2
-30.0,0.0,19,16,6,2,2
-28.0,0.0,19,15,6,2,2
-26.0,0.0,19,14,6,2,2
-24.0,0.0,19,13,6,2,2
-22.0,0.0,19,12,6,2,2
-20.0,0.0,19,11,6,2,2
-18.0,0.0,19,10,6,2,2
-16.0,0.0,19,9,6,2,2
-14.0,0.0,19,8,6,2,2
-12.0,0.0,19,7,6,2,2
-10.0,0.0,19,6,6,2,2
-8.0,0.0,19,5,6,2,2
-6.0,0.0,19,4,6,2,2
-4.0,0.0,19,3,6,2,2
-2.0,0.0,19,2,6,2,2
42.0,14.0,19,1,6,2,4
42.0,12.0,32,18,1,4,4
42.0,10.0,32,17,1,4,4
42.0,8.0,32,16,1,4,4
42.0,6.0,32,15,1,4,4
42.0,4.0,32,14,1,4,4
42.0,2.0,32,13,1,4,4
42.0,0.0,32,12,1,4,1
40.0,0.0,7,31,12,1,1
38.0,0.0,7,30,12,1,1
36.0,0.0,7,29,12,1,1
34.0,0.0,7,28,12,1,1
32.0,0.0,7,27,12,1,1
30.0,0.0,7,26,12,1,1
28.0,0.0,7,25,12,1,1
26.0,0.0,7,24,12,1,1
24.0,0.0,13,23,12,1,1
22.0,0.0,13,22,12,1,1
20.0,0.0,13,21,12,1,1
18.0,0.0,13,20,12,1,1
16.0,0.0,13,19,12,1,1
14.0,0.0,13,18,12,1,1
12.0,0.0,13,17,12,1,1
10.0,0.0,13,16,12,1,1
8.0,0.0,13,15,12,1,1
6.0,0.0,13,14,12,1,1
4.0,0.0,13,13,12,1,1
2.0,0.0,13,12,12,1,1
18.0,16.0,13,11,12,1,3
18.0,18.0,21,12,11,3,3
18.0,20.0,22,11,11,3,3
18.0,22.0,22,10,11,3,1
16.0,22.0,10,10,15,1,1
14.0,22.0,10,9,15,1,1
12.0,22.0,10,8,15,1,1
10.0,22.0,10,7,15,1,1
8.0,22.0,10,6,15,1,1
6.0,22.0,10,5,15,1,1
4.0,22.0,10,4,15,1,1
2.0,22.0,10,3,15,1,1
0.0,22.0,10,2,15,1,4
0.0,20.0,2,14,9,4,4
0.0,18.0,2,13,9,4,4
0.0,16.0,2,12,9,4,4
0.0,14.0,2,11,31,4,4
0.0,12.0,2,10,31,4,4
0.0,10.0,2,9,31,4,4
0.0,8.0,2,8,31,4,4
0.0,6.0,2,7,31,4,4
0.0,4.0,2,6,31,4,4
0.0,2.0,2,5,31,4,4
-40.0,-4.0,2,4,31,4,2
-38.0,-4.0,4,30,11,2,2
-36.0,-4.0,4,29,11,2,2
-34.0,-4.0,4,28,11,2,2
-32.0,-4.0,4,27,11,2,2
-30.0,-4.0,4,26,11,2,2
-28.0,-4.0,4,25,11,2,2
-26.0,-4.0,4,24,11,2,2
-24.0,-4.0,4,23,21,2,2
-22.0,-4.0,4,22,21,2,2
-20.0,-4.0,4,21,21,2,2
-18.0,-4.0,4,20,21,2,2
-16.0,-4.0,4,19,21,2,2
-14.0,-4.0,4,18,21,2,2
-12.0,-4.0,4,17,21,2,2
-10.0,-4.0,4,16,21,2,2
-8.0,-4.0,4,15,21,2,2
