foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
14.0,3.0,13,12,1,15,1,1
13.0,3.0,13,12,1,14,1,1
12.0,3.0,13,12,1,13,1,1
11.0,3.0,13,12,1,12,1,1
10.0,3.0,13,12,1,11,1,1
9.0,3.0,13,12,1,10,1,1
8.0,3.0,13,12,1,9,1,1
7.0,3.0,13,12,1,8,1,1
6.0,3.0,13,12,1,7,1,1
5.0,3.0,13,12,1,6,1,1
4.0,3.0,13,12,1,5,1,1
3.0,3.0,13,12,1,4,1,1
2.0,3.0,13,12,1,3,1,1
1.0,3.0,13,12,1,2,1,1
0.0,3.0,13,12,1,1,1,4
0.0,2.0,1,11,32,1,4,4
0.0,1.0,1,10,32,1,4,4
-5.0,0.0,1,9,32,1,4,2
-4.0,0.0,16,9,31,1,2,2
-3.0,0.0,16,9,30,1,2,2
-2.0,0.0,16,9,29,1,2,2
-1.0,0.0,16,9,28,1,2,2
-6.0,-14.0,16,9,27,1,2,2
-5.0,-14.0,16,9,26,1,2,2
-4.0,-14.0,16,9,25,1,2,2
-3.0,-14.0,16,9,24,1,2,2
-2.0,-14.0,16,9,23,1,2,2
-1.0,-14.0,16,9,22,1,2,2
0.0,-14.0,16,9,21,1,2,3
0.0,-13.0,15,1,21,12,3,3
0.0,-12.0,14,1,21,12,3,3
0.0,-11.0,13,1,21,12,3,3
0.0,-10.0,12,1,21,12,3,3
0.0,-9.0,11,1,21,12,3,3
0.0,-8.0,10,1,21,12,3,3
0.0,-7.0,9,1,21,12,3,3
0.0,-6.0,8,1,21,12,3,3
0.0,-5.0,7,1,21,12,3,3
0.0,-4.0,6,1,21,12,3,3
0.0,-3.0,5,1,21,12,3,3
0.0,-2.0,4,1,21,12,3,3
0.0,-1.0,3,1,21,12,3,3
-15.0,-1.0,2,1,21,12,3,2
-14.0,-1.0,2,23,20,1,2,2
-13.0,-1.0,2,23,19,1,2,2
-12.0,-1.0,2,23,18,1,2,2
-11.0,-1.0,2,23,17,1,2,2
-10.0,-1.0,2,23,16,1,2,2
-9.0,-1.0,2,23,15,1,2,2
-8.0,-1.0,2,23,14,1,2,2
-7.0,-1.0,2,23,13,1,2,2
-6.0,-1.0,2,23,12,1,2,2
-5.0,-1.0,2,23,11,1,2,2
-4.0,-1.0,2,23,10,1,2,2
-3.0,-1.0,2,23,9,1,2,2
