foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
3.0,4.0,0,0,0,0,1,1
2.0,4.0,13,12,1,15,1,1
1.0,4.0,13,12,1,14,1,1
0.0,4.0,13,12,1,13,1,4
0.0,3.0,1,11,20,13,4,4
0.0,2.0,1,10,20,13,4,4
0.0,1.0,1,9,20,13,4,4
3.0,-1.0,1,8,20,13,4,1
2.0,-1.0,17,8,1,12,1,1
1.0,-1.0,17,8,1,11,1,1
0.0,-1.0,17,8,1,10,1,3
3.0,2.0,16,1,23,10,3,1
2.0,2.0,16,9,1,9,1,1
1.0,2.0,16,9,1,8,1,1
0.0,2.0,16,9,1,7,1,4
0.0,1.0,1,8,26,7,4,4
-25.0,-2.0,1,7,26,7,4,2
-24.0,-2.0,2,7,25,1,2,2
-23.0,-2.0,18,7,24,1,2,2
-22.0,-2.0,18,7,23,1,2,2
-21.0,-2.0,18,7,22,1,2,2
-20.0,-2.0,18,7,21,1,2,2
-19.0,-2.0,18,7,20,1,2,2
-18.0,-2.0,18,7,19,1,2,2
-17.0,-2.0,18,7,18,1,2,2
-16.0,-2.0,18,7,17,1,2,2
-15.0,-2.0,18,7,16,1,2,2
-14.0,-2.0,18,7,15,1,2,2
-13.0,-2.0,18,7,14,1,2,2
-12.0,-2.0,18,7,13,1,2,2
-11.0,-2.0,18,7,12,1,2,2
-10.0,-2.0,18,7,11,1,2,2
-9.0,-2.0,18,7,10,1,2,2
-8.0,-2.0,18,7,9,1,2,2
-7.0,-2.0,18,7,8,1,2,2
-6.0,-2.0,18,7,7,1,2,2
-5.0,-2.0,18,7,6,1,2,2
-4.0,-2.0,18,7,5,1,2,2
-3.0,-2.0,18,7,4,1,2,2
-2.0,-2.0,18,7,3,1,2,2
-1.0,-2.0,18,7,2,1,2,2
0.0,-2.0,18,7,1,1,2,3
0.0,-1.0,17,1,1,32,3,3
18.0,5.0,16,1,1,32,3,1
17.0,5.0,16,2,1,31,1,1
16.0,5.0,16,2,1,30,1,1
15.0,5.0,16,9,1,29,1,1
14.0,5.0,16,9,1,28,1,1
13.0,5.0,16,9,1,27,1,1
12.0,5.0,16,9,1,26,1,1
11.0,5.0,16,9,1,25,1,1
10.0,5.0,16,9,1,24,1,1
9.0,5.0,16,9,1,23,1,1
8.0,5.0,16,9,1,22,1,1
7.0,5.0,16,9,1,21,1,1
6.0,5.0,16,9,1,20,1,1
5.0,5.0,16,9,1,19,1,1
4.0,5.0,16,9,1,18,1,1
3.0,5.0,16,9,1,17,1,1
2.0,5.0,16,9,1,16,1,1
1.0,5.0,16,9,1,15,1,1
0.0,5.0,16,9,1,14,1,4
0.0,4.0,1,8,19,14,4,4
0.0,3.0,1,7,19,14,4,4
0.0,2.0,1,6,19,14,4,4
0.0,1.0,1,5,19,14,4,4
-5.0,-19.0,1,4,19,14,4,2
-4.0,-19.0,5,4,18,1,2,2
-3.0,-19.0,21,4,17,1,2,2
-2.0,-19.0,21,4,16,1,2,2
-1.0,-19.0,21,4,15,1,2,2
0.0,-19.0,21,4,14,1,2,3
0.0,-18.0,20,1,14,5,3,3
0.0,-17.0,19,1,14,19,3,3
0.0,-16.0,18,1,14,19,3,3
0.0,-15.0,17,1,14,19,3,3
0.0,-14.0,16,1,14,19,3,3
0.0,-13.0,15,1,14,19,3,3
0.0,-12.0,14,1,14,19,3,3
0.0,-11.0,13,1,14,19,3,3
0.0,-10.0,12,1,14,19,3,3
0.0,-9.0,11,1,14,19,3,3
0.0,-8.0,10,1,14,19,3,3
0.0,-7.0,9,1,14,19,3,3
0.0,-6.0,8,1,14,19,3,3
0.0,-5.0,7,1,14,19,3,3
0.0,-4.0,6,1,14,19,3,3
0.0,-3.0,5,1,14,19,3,3
0.0,-2.0,4,1,14,19,3,3
0.0,-1.0,3,1,14,19,3,3
-9.0,7.0,2,1,14,19,3,2
-8.0,7.0,2,23,13,1,2,2
-7.0,7.0,2,23,12,1,2,2
-6.0,7.0,2,23,11,1,2,2
-5.0,7.0,2,23,10,1,2,2
-4.0,7.0,2,23,9,1,2,2
-3.0,7.0,2,23,8,1,2,2
-2.0,7.0,2,23,7,1,2,2
-1.0,7.0,2,23,6,1,2,2
0.0,7.0,2,23,5,1,2,4
0.0,6.0,1,22,5,28,4,4
0.0,5.0,1,21,5,28,4,4
0.0,4.0,1,20,5,28,4,4
0.0,3.0,1,19,5,28,4,4
0.0,2.0,1,18,5,28,4,4
0.0,1.0,1,17,5,28,4,4
27.0,13.0,1,16,5,28,4,1
26.0,13.0,7,16,1,27,1,1
25.0,13.0,9,16,1,26,1,1
24.0,13.0,9,16,1,25,1,1
23.0,13.0,9,16,1,24,1,1
22.0,13.0,9,16,1,23,1,1
21.0,13.0,9,16,1,22,1,1
20.0,13.0,9,16,1,21,1,1
19.0,13.0,9,16,1,20,1,1
18.0,13.0,9,16,1,19,1,1
17.0,13.0,9,16,1,18,1,1
16.0,13.0,9,16,1,17,1,1
15.0,13.0,9,16,1,16,1,1
14.0,13.0,9,16,1,15,1,1
13.0,13.0,9,16,1,14,1,1
12.0,13.0,9,16,1,13,1,1
11.0,13.0,9,16,1,12,1,1
10.0,13.0,9,16,1,11,1,1
9.0,13.0,9,16,1,10,1,1
8.0,13.0,9,16,1,9,1,1
7.0,13.0,9,16,1,8,1,1
6.0,13.0,9,16,1,7,1,1
5.0,13.0,9,16,1,6,1,1
4.0,13.0,9,16,1,5,1,1
3.0,13.0,9,16,1,4,1,1
2.0,13.0,9,16,1,3,1,1
1.0,13.0,9,16,1,2,1,1
0.0,13.0,9,16,1,1,1,4
0.0,12.0,1,15,32,1,4,4
0.0,11.0,1,14,32,1,4,4
0.0,10.0,1,13,32,1,4,4
0.0,9.0,1,12,32,1,4,4
0.0,8.0,1,11,32,1,4,4
0.0,7.0,1,10,32,1,4,4
0.0,6.0,1,9,32,1,4,4
0.0,5.0,1,8,32,1,4,4
0.0,4.0,1,7,32,1,4,4
0.0,3.0,1,6,32,1,4,4
0.0,2.0,1,5,32,1,4,4
0.0,1.0,1,4,32,1,4,4
-23.0,-2.0,1,3,32,1,4,2
-22.0,-2.0,22,3,31,1,2,2
-21.0,-2.0,22,3,30,1,2,2
-20.0,-2.0,22,3,29,1,2,2
-19.0,-2.0,22,3,28,1,2,2
-18.0,-2.0,22,3,27,1,2,2
-17.0,-2.0,22,3,26,1,2,2
-16.0,-2.0,22,3,25,1,2,2
-15.0,-2.0,22,3,24,1,2,2
-14.0,-2.0,22,3,23,1,2,2
-13.0,-2.0,22,3,22,1,2,2
-12.0,-2.0,22,3,21,1,2,2
-11.0,-2.0,22,3,20,1,2,2
-10.0,-2.0,22,3,19,1,2,2
-9.0,-2.0,22,3,18,1,2,2
-8.0,-2.0,22,3,17,1,2,2
-7.0,-2.0,22,3,16,1,2,2
-6.0,-2.0,22,3,15,1,2,2
-5.0,-2.0,22,3,14,1,2,2
-4.0,-2.0,22,3,13,1,2,2
-3.0,-2.0,22,3,12,1,2,2
-2.0,-2.0,22,3,11,1,2,2
-1.0,-2.0,22,3,10,1,2,2
0.0,-2.0,22,3,9,1,2,3
0.0,-1.0,21,1,9,24,3,3
-7.0,-4.0,20,1,9,24,3,2
-6.0,-4.0,20,5,8,1,2,2
-5.0,-4.0,20,5,7,1,2,2
-4.0,-4.0,20,5,6,1,2,2
-3.0,-4.0,20,5,5,1,2,2
-2.0,-4.0,20,5,4,1,2,2
-1.0,-4.0,20,5,3,1,2,2
0.0,-4.0,20,5,2,1,2,3
0.0,-3.0,19,1,2,31,3,3
0.0,-2.0,18,1,2,31,3,3
0.0,-1.0,17,1,2,31,3,3
0.0,-2.0,16,1,2,31,3,3
0.0,-1.0,15,1,2,31,3,3
12.0,2.0,14,1,2,31,3,1
11.0,2.0,14,6,1,30,1,1
10.0,2.0,14,6,1,29,1,1
9.0,2.0,14,6,1,28,1,1
8.0,2.0,14,11,1,27,1,1
7.0,2.0,14,11,1,26,1,1
6.0,2.0,14,11,1,25,1,1
5.0,2.0,14,11,1,24,1,1
4.0,2.0,14,11,1,23,1,1
3.0,2.0,14,11,1,22,1,1
2.0,2.0,14,11,1,21,1,1
1.0,2.0,14,11,1,20,1,1
0.0,2.0,14,11,1,19,1,4
0.0,1.0,1,10,14,19,4,4
-1.0,-12.0,1,9,14,19,4,2
0.0,-12.0,2,9,13,1,2,3
0.0,-11.0,1,1,13,1,3,2
1.0,-11.0,1,10,12,1,2,4
1.0,-12.0,1,9,12,1,4,4
1.0,-13.0,1,8,12,21,4,1
0.0,-13.0,1,8,1,20,1,1
-1.0,-13.0,1,8,1,19,1,1
-2.0,-13.0,17,8,1,18,1,3
-2.0,-12.0,16,1,1,18,3,3
-2.0,-11.0,15,1,1,18,3,3
-2.0,-10.0,14,1,1,18,3,3
-2.0,-9.0,13,1,15,18,3,2
-1.0,-9.0,13,2,14,1,2,2
0.0,-9.0,13,2,13,1,2,3
0.0,-8.0,12,1,13,20,3,3
0.0,-7.0,11,1,13,20,3,3
0.0,-6.0,10,1,13,20,3,3
0.0,-5.0,9,1,13,20,3,3
0.0,-4.0,8,1,13,20,3,3
0.0,-3.0,7,1,13,20,3,3
0.0,-2.0,6,1,13,20,3,3
0.0,-1.0,5,1,13,20,3,3
-8.0,5.0,4,1,13,20,3,2
-7.0,5.0,4,21,12,1,2,2
-6.0,5.0,4,21,11,1,2,2
-5.0,5.0,4,21,10,1,2,2
-4.0,5.0,4,21,9,1,2,2
-3.0,5.0,4,21,8,1,2,2
-2.0,5.0,4,21,7,1,2,2
-1.0,5.0,4,21,6,1,2,2
0.0,5.0,4,21,5,1,2,4
0.0,4.0,1,20,5,8,4,4
0.0,3.0,1,19,5,8,4,4
0.0,2.0,1,18,5,8,4,4
0.0,1.0,1,17,5,28,4,4
21.0,3.0,1,16,5,28,4,1
20.0,3.0,5,16,1,27,1,1
19.0,3.0,5,16,1,26,1,1
18.0,3.0,5,16,1,25,1,1
17.0,3.0,5,16,1,24,1,1
16.0,3.0,5,16,1,23,1,1
15.0,3.0,9,16,1,22,1,1
14.0,3.0,9,16,1,21,1,1
13.0,3.0,9,16,1,20,1,1
12.0,3.0,9,16,1,19,1,1
11.0,3.0,9,16,1,18,1,1
10.0,3.0,9,16,1,17,1,1
9.0,3.0,9,16,1,16,1,1
8.0,3.0,9,16,1,15,1,1
7.0,3.0,9,16,1,14,1,1
6.0,3.0,9,16,1,13,1,1
5.0,3.0,9,16,1,12,1,1
4.0,3.0,9,16,1,11,1,1
3.0,3.0,9,16,1,10,1,1
2.0,3.0,9,16,1,9,1,1
1.0,3.0,9,16,1,8,1,1
0.0,3.0,9,16,1,7,1,4
0.0,2.0,1,15,26,7,4,4
0.0,1.0,1,14,26,7,4,4
-11.0,-11.0,1,13,26,7,4,2
-10.0,-11.0,3,13,25,1,2,2
-9.0,-11.0,3,13,24,1,2,2
-8.0,-11.0,3,13,23,1,2,2
-7.0,-11.0,3,13,22,1,2,2
-6.0,-11.0,3,13,21,1,2,2
-5.0,-11.0,3,13,20,1,2,2
-4.0,-11.0,3,13,19,1,2,2
-3.0,-11.0,12,13,18,1,2,2
-2.0,-11.0,12,13,17,1,2,2
-1.0,-11.0,12,13,16,1,2,2
0.0,-11.0,12,13,15,1,2,3
0.0,-10.0,11,1,15,11,3,3
0.0,-9.0,10,1,15,11,3,3
0.0,-8.0,9,1,15,11,3,3
0.0,-7.0,8,1,15,18,3,3
0.0,-6.0,7,1,15,18,3,3
0.0,-5.0,6,1,15,18,3,3
0.0,-4.0,5,1,15,18,3,3
0.0,-3.0,4,1,15,18,3,3
0.0,-2.0,3,1,15,18,3,3
0.0,-1.0,2,1,15,18,3,3
-7.0,11.0,1,1,15,18,3,2
-6.0,11.0,1,24,14,1,2,2
-5.0,11.0,1,24,13,1,2,2
-4.0,11.0,1,24,12,1,2,2
-3.0,11.0,1,24,11,1,2,2
-2.0,11.0,1,24,10,1,2,2
-1.0,11.0,1,24,9,1,2,2
0.0,11.0,1,24,8,1,2,4
0.0,10.0,1,23,8,7,4,4
0.0,9.0,1,22,8,7,4,4
0.0,8.0,1,21,8,7,4,4
0.0,7.0,1,20,8,7,4,4
0.0,6.0,1,19,8,7,4,4
0.0,5.0,1,18,8,25,4,4
0.0,4.0,1,17,8,25,4,4
0.0,3.0,1,16,8,25,4,4
0.0,2.0,1,15,8,25,4,4
0.0,1.0,1,14,8,25,4,4
5.0,5.0,1,13,8,25,4,1
4.0,5.0,11,13,1,24,1,1
3.0,5.0,11,13,1,23,1,1
2.0,5.0,11,13,1,22,1,1
1.0,5.0,11,13,1,21,1,1
0.0,5.0,12,13,1,20,1,4
0.0,4.0,1,12,13,20,4,4
0.0,3.0,1,11,13,20,4,4
0.0,2.0,1,10,13,20,4,4
0.0,1.0,1,9,13,20,4,4
-2.0,4.0,1,8,13,20,4,2
-1.0,4.0,5,8,12,1,2,2
0.0,4.0,5,8,11,1,2,4
0.0,3.0,1,7,11,22,4,4
0.0,2.0,1,6,11,22,4,4
0.0,1.0,1,5,11,22,4,4
10.0,-6.0,1,4,11,22,4,1
9.0,-6.0,4,4,1,21,1,1
8.0,-6.0,4,4,1,20,1,1
7.0,-6.0,21,4,1,19,1,1
6.0,-6.0,21,4,1,18,1,1
5.0,-6.0,21,4,1,17,1,1
4.0,-6.0,21,4,1,16,1,1
3.0,-6.0,21,4,1,15,1,1
2.0,-6.0,21,4,1,14,1,1
1.0,-6.0,21,4,1,13,1,1
0.0,-6.0,21,4,1,12,1,3
0.0,-5.0,20,1,10,12,3,3
0.0,-4.0,19,1,10,12,3,3
0.0,-3.0,18,1,10,12,3,3
0.0,-2.0,17,1,8,12,3,3
0.0,-1.0,16,1,21,12,3,3
-12.0,-14.0,15,1,21,12,3,2
-11.0,-14.0,15,6,20,1,2,2
-10.0,-14.0,15,6,19,1,2,2
-9.0,-14.0,15,6,18,1,2,2
-8.0,-14.0,15,6,17,1,2,2
-7.0,-14.0,15,6,16,1,2,2
-6.0,-14.0,15,6,15,1,2,2
-5.0,-14.0,15,6,14,1,2,2
-4.0,-14.0,15,6,13,1,2,2
-3.0,-14.0,15,10,12,1,2,2
-2.0,-14.0,15,10,11,1,2,2
-1.0,-14.0,15,10,10,1,2,2
0.0,-14.0,15,10,9,1,2,3
0.0,-13.0,14,1,9,24,3,3
0.0,-12.0,13,1,9,24,3,3
0.0,-11.0,12,1,9,24,3,3
0.0,-10.0,11,1,9,24,3,3
0.0,-9.0,10,1,9,24,3,3
0.0,-8.0,9,1,9,24,3,3
0.0,-7.0,8,1,9,24,3,3
0.0,-6.0,7,1,9,24,3,3
0.0,-5.0,6,1,9,24,3,3
0.0,-4.0,5,1,9,24,3,3
0.0,-3.0,4,1,9,24,3,3
0.0,-2.0,3,1,9,24,3,3
0.0,-1.0,2,1,9,24,3,3
8.0,9.0,1,1,9,24,3,1
7.0,9.0,1,14,1,23,1,1
6.0,9.0,1,14,1,22,1,1
5.0,9.0,1,14,1,21,1,1
4.0,9.0,1,14,1,20,1,1
3.0,9.0,1,24,1,19,1,1
2.0,9.0,1,24,1,18,1,1
1.0,9.0,1,24,1,17,1,1
0.0,9.0,1,24,1,16,1,4
0.0,8.0,1,23,8,16,4,4
0.0,7.0,1,22,8,16,4,4
0.0,6.0,1,21,8,16,4,4
0.0,5.0,1,20,8,16,4,4
0.0,4.0,1,19,8,16,4,4
0.0,3.0,1,18,8,16,4,4
0.0,2.0,1,17,8,16,4,4
0.0,1.0,1,16,17,16,4,4
-12.0,7.0,1,15,17,16,4,2
-11.0,7.0,9,15,16,1,2,2
-10.0,7.0,9,15,15,1,2,2
-9.0,7.0,9,15,14,1,2,2
-8.0,7.0,9,15,13,1,2,2
-7.0,7.0,9,15,12,1,2,2
-6.0,7.0,9,15,11,1,2,2
-5.0,7.0,9,15,10,1,2,2
-4.0,7.0,10,15,9,1,2,2
-3.0,7.0,10,15,8,1,2,2
-2.0,7.0,10,15,7,1,2,2
-1.0,7.0,10,15,6,1,2,2
0.0,7.0,10,15,5,1,2,4
0.0,6.0,1,14,5,28,4,4
0.0,5.0,1,13,5,28,4,4
0.0,4.0,1,12,5,28,4,4
0.0,3.0,1,11,5,28,4,4
0.0,2.0,1,10,5,28,4,4
0.0,1.0,1,9,5,28,4,4
24.0,-8.0,1,8,5,28,4,1
23.0,-8.0,7,8,1,27,1,1
22.0,-8.0,7,8,1,26,1,1
21.0,-8.0,7,8,1,25,1,1
20.0,-8.0,7,8,1,24,1,1
19.0,-8.0,7,8,1,23,1,1
18.0,-8.0,7,8,1,22,1,1
17.0,-8.0,7,8,1,21,1,1
16.0,-8.0,7,8,1,20,1,1
15.0,-8.0,7,8,1,19,1,1
14.0,-8.0,17,8,1,18,1,1
13.0,-8.0,17,8,1,17,1,1
12.0,-8.0,17,8,1,16,1,1
11.0,-8.0,17,8,1,15,1,1
10.0,-8.0,17,8,1,14,1,1
9.0,-8.0,17,8,1,13,1,1
8.0,-8.0,17,8,1,12,1,1
7.0,-8.0,17,8,1,11,1,1
6.0,-8.0,17,8,1,10,1,1
5.0,-8.0,17,8,1,9,1,1
4.0,-8.0,17,8,1,8,1,1
