foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
13.0,3.0,0,0,0,0,1,1
12.0,3.0,13,12,1,15,1,1
11.0,3.0,13,12,1,14,1,1
10.0,3.0,13,12,1,13,1,1
9.0,3.0,13,12,1,12,1,1
8.0,3.0,13,12,1,11,1,1
7.0,3.0,13,12,1,10,1,1
6.0,3.0,13,12,1,9,1,1
5.0,3.0,13,12,1,8,1,1
4.0,3.0,13,12,1,7,1,1
3.0,3.0,13,12,1,6,1,1
2.0,3.0,13,12,1,5,1,1
1.0,3.0,13,12,1,4,1,1
0.0,3.0,13,12,1,3,1,4
0.0,2.0,1,11,30,3,4,4
0.0,1.0,1,10,30,3,4,4
-12.0,-11.0,1,9,30,3,4,2
-11.0,-11.0,16,9,29,1,2,2
-10.0,-11.0,16,9,28,1,2,2
-9.0,-11.0,16,9,27,1,2,2
-8.0,-11.0,16,9,26,1,2,2
-7.0,-11.0,16,9,25,1,2,2
-6.0,-11.0,16,9,24,1,2,2
-5.0,-11.0,16,9,23,1,2,2
-4.0,-11.0,16,9,22,1,2,2
-3.0,-11.0,16,9,21,1,2,2
-2.0,-11.0,16,9,20,1,2,2
-1.0,-11.0,16,9,19,1,2,2
0.0,-11.0,16,9,18,1,2,3
0.0,-10.0,15,1,18,15,3,3
0.0,-9.0,14,1,18,15,3,3
0.0,-8.0,13,1,18,15,3,3
0.0,-7.0,12,1,18,15,3,3
0.0,-6.0,11,1,18,15,3,3
0.0,-5.0,10,1,18,15,3,3
0.0,-4.0,9,1,18,15,3,3
0.0,-3.0,8,1,18,15,3,3
0.0,-2.0,7,1,18,15,3,3
0.0,-1.0,6,1,18,15,3,3
-13.0,8.0,5,1,18,15,3,2
-12.0,8.0,5,20,17,1,2,2
-11.0,8.0,5,20,16,1,2,2
-10.0,8.0,5,20,15,1,2,2
-9.0,8.0,5,20,14,1,2,2
-8.0,8.0,5,20,13,1,2,2
-7.0,8.0,5,20,12,1,2,2
-6.0,8.0,5,20,11,1,2,2
-5.0,8.0,5,20,10,1,2,2
-4.0,8.0,5,20,9,1,2,2
-3.0,8.0,5,20,8,1,2,2
-2.0,8.0,5,20,7,1,2,2
-1.0,8.0,5,20,6,1,2,2
0.0,8.0,5,20,5,1,2,4
0.0,7.0,1,19,5,28,4,4
0.0,6.0,1,18,5,28,4,4
0.0,5.0,1,17,5,28,4,4
0.0,4.0,1,16,5,28,4,4
0.0,3.0,1,15,5,28,4,4
0.0,2.0,1,14,5,28,4,4
0.0,1.0,1,13,5,28,4,4
15.0,-6.0,1,12,5,28,4,1
14.0,-6.0,13,12,1,27,1,1
13.0,-6.0,13,12,1,26,1,1
12.0,-6.0,13,12,1,25,1,1
11.0,-6.0,13,12,1,24,1,1
10.0,-6.0,13,12,1,23,1,1
9.0,-6.0,13,12,1,22,1,1
8.0,-6.0,13,12,1,21,1,1
7.0,-6.0,13,12,1,20,1,1
6.0,-6.0,13,12,1,19,1,1
5.0,-6.0,13,12,1,18,1,1
4.0,-6.0,13,12,1,17,1,1
3.0,-6.0,13,12,1,16,1,1
2.0,-6.0,13,12,1,15,1,1
1.0,-6.0,13,12,1,14,1,1
0.0,-6.0,13,12,1,13,1,3
0.0,-5.0,12,1,20,13,3,3
0.0,-4.0,11,1,20,13,3,3
0.0,-3.0,10,1,20,13,3,3
0.0,-2.0,9,1,20,13,3,3
0.0,-1.0,8,1,20,13,3,3
11.0,-3.0,7,1,20,13,3,1
10.0,-3.0,7,18,1,12,1,1
9.0,-3.0,7,18,1,11,1,1
8.0,-3.0,7,18,1,10,1,1
7.0,-3.0,7,18,1,9,1,1
6.0,-3.0,7,18,1,8,1,1
5.0,-3.0,7,18,1,7,1,1
4.0,-3.0,7,18,1,6,1,1
3.0,-3.0,7,18,1,5,1,1
2.0,-3.0,7,18,1,4,1,1
1.0,-3.0,7,18,1,3,1,1
0.0,-3.0,7,18,1,2,1,3
0.0,-2.0,6,1,31,2,3,3
0.0,-1.0,5,1,31,2,3,3
-6.0,0.0,4,1,31,2,3,2
-5.0,0.0,4,3,30,1,2,2
-4.0,0.0,4,3,29,1,2,2
-3.0,0.0,4,21,28,1,2,2
-2.0,0.0,4,21,27,1,2,2
-1.0,0.0,4,21,26,1,2,2
-9.0,0.0,4,21,25,1,2,2
-8.0,0.0,4,21,24,1,2,2
-7.0,0.0,4,21,23,1,2,2
-6.0,0.0,4,21,22,1,2,2
-5.0,0.0,4,21,21,1,2,2
-4.0,0.0,4,21,20,1,2,2
-3.0,0.0,4,21,19,1,2,2
-2.0,0.0,4,21,18,1,2,2
-1.0,0.0,4,21,17,1,2,2
6.0,16.0,4,21,16,1,2,4
6.0,15.0,1,20,16,17,4,1
5.0,15.0,1,20,1,16,1,1
4.0,15.0,1,20,1,15,1,1
3.0,15.0,1,20,1,14,1,1
2.0,15.0,1,20,1,13,1,1
1.0,15.0,5,20,1,12,1,1
0.0,15.0,5,20,1,11,1,4
0.0,14.0,1,19,22,11,4,4
0.0,13.0,1,18,22,11,4,4
0.0,12.0,1,17,22,11,4,4
0.0,11.0,1,16,22,11,4,4
0.0,10.0,1,15,22,11,4,4
0.0,9.0,1,14,22,11,4,4
0.0,8.0,1,13,22,11,4,4
0.0,7.0,1,12,22,11,4,4
0.0,6.0,1,11,22,11,4,4
0.0,5.0,1,10,22,11,4,4
