foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
9.0,4.0,0,0,0,0,1,1
8.0,4.0,13,12,1,15,1,1
7.0,4.0,13,12,1,14,1,1
6.0,4.0,13,12,1,13,1,1
5.0,4.0,13,12,1,12,1,1
4.0,4.0,13,12,1,11,1,1
3.0,4.0,13,12,1,10,1,1
2.0,4.0,13,12,1,9,1,1
1.0,4.0,13,12,1,8,1,1
0.0,4.0,13,12,1,7,1,4
0.0,3.0,1,11,26,7,4,4
0.0,2.0,1,10,26,7,4,4
0.0,1.0,1,9,26,7,4,4
-7.0,-13.0,1,8,26,7,4,2
-6.0,-13.0,17,8,25,1,2,2
-5.0,-13.0,17,8,24,1,2,2
-4.0,-13.0,17,8,23,1,2,2
-3.0,-13.0,17,8,22,1,2,2
-2.0,-13.0,17,8,21,1,2,2
-1.0,-13.0,17,8,20,1,2,2
0.0,-13.0,17,8,19,1,2,3
0.0,-12.0,16,1,19,14,3,3
0.0,-11.0,15,1,19,14,3,3
0.0,-10.0,14,1,19,14,3,3
0.0,-9.0,13,1,19,14,3,3
0.0,-8.0,12,1,19,14,3,3
0.0,-7.0,11,1,19,14,3,3
0.0,-6.0,10,1,19,14,3,3
0.0,-5.0,9,1,19,14,3,3
0.0,-4.0,8,1,19,14,3,3
0.0,-3.0,7,1,19,14,3,3
0.0,-2.0,6,1,19,14,3,3
0.0,-1.0,5,1,19,14,3,3
13.0,-2.0,4,1,19,14,3,1
12.0,-2.0,4,21,1,13,1,1
11.0,-2.0,4,21,1,12,1,1
10.0,-2.0,4,21,1,11,1,1
9.0,-2.0,4,21,1,10,1,1
8.0,-2.0,4,21,1,9,1,1
7.0,-2.0,4,21,1,8,1,1
6.0,-2.0,4,21,1,7,1,1
5.0,-2.0,4,21,1,6,1,1
4.0,-2.0,4,21,1,5,1,1
3.0,-2.0,4,21,1,4,1,1
2.0,-2.0,4,21,1,3,1,1
1.0,-2.0,4,21,1,2,1,1
0.0,-2.0,4,21,1,1,1,3
0.0,-1.0,3,1,32,1,3,3
-28.0,5.0,2,1,32,1,3,2
-27.0,5.0,2,2,31,1,2,2
-26.0,5.0,2,23,30,1,2,2
-25.0,5.0,2,23,29,1,2,2
-24.0,5.0,2,23,28,1,2,2
-23.0,5.0,2,23,27,1,2,2
-22.0,5.0,2,23,26,1,2,2
-21.0,5.0,2,23,25,1,2,2
-20.0,5.0,2,23,24,1,2,2
-19.0,5.0,2,23,23,1,2,2
-18.0,5.0,2,23,22,1,2,2
-17.0,5.0,2,23,21,1,2,2
-16.0,5.0,2,23,20,1,2,2
-15.0,5.0,2,23,19,1,2,2
-14.0,5.0,2,23,18,1,2,2
-13.0,5.0,2,23,17,1,2,2
-12.0,5.0,2,23,16,1,2,2
-11.0,5.0,2,23,15,1,2,2
-10.0,5.0,2,23,14,1,2,2
-9.0,5.0,2,23,13,1,2,2
-8.0,5.0,2,23,12,1,2,2
-7.0,5.0,2,23,11,1,2,2
-6.0,5.0,2,23,10,1,2,2
-5.0,5.0,2,23,9,1,2,2
-4.0,5.0,2,23,8,1,2,2
-3.0,5.0,2,23,7,1,2,2
-2.0,5.0,2,23,6,1,2,2
-1.0,5.0,2,23,5,1,2,2
0.0,5.0,2,23,4,1,2,4
0.0,4.0,1,22,4,29,4,4
0.0,3.0,1,21,4,29,4,4
0.0,2.0,1,20,4,29,4,4
0.0,1.0,1,19,4,29,4,4
4.0,13.0,1,18,4,29,4,1
3.0,13.0,7,18,1,28,1,1
2.0,13.0,7,18,1,27,1,1
1.0,13.0,7,18,1,26,1,1
0.0,13.0,7,18,1,25,1,4
0.0,12.0,1,17,8,25,4,4
0.0,11.0,1,16,8,25,4,4
0.0,10.0,1,15,8,25,4,4
0.0,9.0,1,14,8,25,4,4
0.0,8.0,1,13,8,25,4,4
0.0,7.0,1,12,8,25,4,4
0.0,6.0,1,11,8,25,4,4
0.0,5.0,1,10,8,25,4,4
0.0,4.0,1,9,8,25,4,4
0.0,3.0,1,8,8,25,4,4
0.0,2.0,1,7,8,25,4,4
0.0,1.0,1,6,8,25,4,4
12.0,-14.0,1,5,8,25,4,1
11.0,-14.0,20,5,1,24,1,1
10.0,-14.0,20,5,1,23,1,1
9.0,-14.0,20,5,1,22,1,1
8.0,-14.0,20,5,1,21,1,1
7.0,-14.0,20,5,1,20,1,1
6.0,-14.0,20,5,1,19,1,1
5.0,-14.0,20,5,1,18,1,1
4.0,-14.0,20,5,1,17,1,1
3.0,-14.0,20,5,1,16,1,1
2.0,-14.0,20,5,1,15,1,1
1.0,-14.0,20,5,1,14,1,1
0.0,-14.0,20,5,1,13,1,3
0.0,-13.0,19,1,20,13,3,3
0.0,-12.0,18,1,20,13,3,3
0.0,-11.0,17,1,20,13,3,3
0.0,-10.0,16,1,20,13,3,3
0.0,-9.0,15,1,20,13,3,3
0.0,-8.0,14,1,20,13,3,3
0.0,-7.0,13,1,20,13,3,3
0.0,-6.0,12,1,20,13,3,3
0.0,-5.0,11,1,20,13,3,3
0.0,-4.0,10,1,20,13,3,3
0.0,-3.0,9,1,20,13,3,3
0.0,-2.0,8,1,20,13,3,3
0.0,-1.0,7,1,20,13,3,3
1.0,-2.0,6,1,20,13,3,1
0.0,-2.0,6,19,1,12,1,3
0.0,-1.0,5,1,21,12,3,3
-16.0,3.0,4,1,21,12,3,2
-15.0,3.0,4,2,20,1,2,2
-14.0,3.0,4,21,19,1,2,2
-13.0,3.0,4,21,18,1,2,2
-12.0,3.0,4,21,17,1,2,2
-11.0,3.0,4,21,16,1,2,2
-10.0,3.0,4,21,15,1,2,2
-9.0,3.0,4,21,14,1,2,2
-8.0,3.0,4,21,13,1,2,2
-7.0,3.0,4,21,12,1,2,2
-6.0,3.0,4,21,11,1,2,2
-5.0,3.0,4,21,10,1,2,2
-4.0,3.0,4,21,9,1,2,2
-3.0,3.0,4,21,8,1,2,2
-2.0,3.0,4,21,7,1,2,2
-1.0,3.0,4,21,6,1,2,2
0.0,3.0,4,21,5,1,2,4
0.0,2.0,1,20,5,28,4,4
0.0,1.0,1,19,5,28,4,4
-3.0,4.0,1,18,5,28,4,2
-2.0,4.0,7,18,4,1,2,2
-1.0,4.0,7,18,3,1,2,2
0.0,4.0,7,18,2,1,2,4
0.0,3.0,1,17,2,31,4,4
0.0,2.0,1,16,2,31,4,4
0.0,1.0,1,15,2,31,4,4
15.0,-1.0,1,14,2,31,4,1
14.0,-1.0,4,14,1,30,1,1
13.0,-1.0,4,14,1,29,1,1
12.0,-1.0,4,14,1,28,1,1
11.0,-1.0,11,14,1,27,1,1
10.0,-1.0,11,14,1,26,1,1
9.0,-1.0,11,14,1,25,1,1
8.0,-1.0,11,14,1,24,1,1
7.0,-1.0,11,14,1,23,1,1
6.0,-1.0,11,14,1,22,1,1
5.0,-1.0,11,14,1,21,1,1
4.0,-1.0,11,14,1,20,1,1
3.0,-1.0,11,14,1,19,1,1
2.0,-1.0,11,14,1,18,1,1
1.0,-1.0,11,14,1,17,1,1
0.0,-1.0,11,14,1,16,1,3
6.0,10.0,10,1,17,16,3,1
5.0,10.0,10,15,1,15,1,1
4.0,10.0,10,15,1,14,1,1
3.0,10.0,10,15,1,13,1,1
2.0,10.0,10,15,1,12,1,1
1.0,10.0,10,15,1,11,1,1
0.0,10.0,10,15,1,10,1,4
0.0,9.0,1,14,6,10,4,4
0.0,8.0,1,13,23,10,4,4
0.0,7.0,1,12,23,10,4,4
0.0,6.0,1,11,23,10,4,4
0.0,5.0,1,10,23,10,4,4
0.0,4.0,1,9,23,10,4,4
0.0,3.0,1,8,23,10,4,4
0.0,2.0,1,7,23,10,4,4
0.0,1.0,1,6,23,10,4,4
-13.0,-1.0,1,5,23,10,4,2
-12.0,-1.0,10,5,22,1,2,2
-11.0,-1.0,20,5,21,1,2,2
-10.0,-1.0,20,5,20,1,2,2
-9.0,-1.0,20,5,19,1,2,2
-8.0,-1.0,20,5,18,1,2,2
-7.0,-1.0,20,5,17,1,2,2
-6.0,-1.0,20,5,16,1,2,2
-5.0,-1.0,20,5,15,1,2,2
-4.0,-1.0,20,5,14,1,2,2
-3.0,-1.0,20,5,13,1,2,2
-2.0,-1.0,20,5,12,1,2,2
-1.0,-1.0,20,5,11,1,2,2
0.0,-1.0,20,5,10,1,2,3
21.0,2.0,19,1,10,23,3,1
20.0,2.0,19,1,1,22,1,1
19.0,2.0,19,1,1,21,1,1
18.0,2.0,19,1,1,20,1,1
