foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
-12.0,10.0,0,0,0,0,1,1
-13.0,10.0,13,12,1,15,1,3
-13.0,11.0,12,1,18,15,3,2
-12.0,11.0,12,13,17,1,2,2
-11.0,11.0,12,13,16,1,2,2
-10.0,11.0,12,13,15,1,2,2
-9.0,11.0,12,13,14,1,2,2
-8.0,11.0,12,13,13,1,2,2
-7.0,11.0,12,13,12,1,2,2
-6.0,11.0,12,13,11,1,2,2
-5.0,11.0,12,13,10,1,2,2
-4.0,11.0,12,13,9,1,2,2
-3.0,11.0,12,13,8,1,2,2
-2.0,11.0,12,13,7,1,2,2
-1.0,11.0,12,13,6,1,2,2
0.0,11.0,12,13,5,1,2,4
0.0,10.0,1,12,5,28,4,4
0.0,9.0,1,11,5,28,4,4
0.0,8.0,1,10,5,28,4,4
0.0,7.0,1,9,5,28,4,4
0.0,6.0,1,8,5,28,4,4
0.0,5.0,1,7,5,28,4,4
0.0,4.0,1,6,5,28,4,4
0.0,3.0,1,5,5,28,4,4
0.0,2.0,1,4,5,28,4,4
0.0,1.0,1,3,5,28,4,4
2.0,-13.0,1,2,5,28,4,1
1.0,-13.0,23,2,1,27,1,1
0.0,-13.0,23,2,1,26,1,3
0.0,-12.0,22,1,7,26,3,3
0.0,-11.0,21,1,7,26,3,3
0.0,-10.0,20,1,7,26,3,3
0.0,-9.0,19,1,7,26,3,3
0.0,-8.0,18,1,7,26,3,3
0.0,-7.0,17,1,7,26,3,3
0.0,-6.0,16,1,7,26,3,3
0.0,-5.0,15,1,7,26,3,3
0.0,-4.0,14,1,7,26,3,3
0.0,-3.0,13,1,7,26,3,3
0.0,-2.0,12,1,7,26,3,3
0.0,-1.0,11,1,7,26,3,3
10.0,5.0,10,1,7,26,3,1
9.0,5.0,10,15,1,25,1,1
8.0,5.0,10,15,1,24,1,1
7.0,5.0,10,15,1,23,1,1
6.0,5.0,10,15,1,22,1,1
5.0,5.0,10,15,1,21,1,1
4.0,5.0,10,15,1,20,1,1
3.0,5.0,10,15,1,19,1,1
2.0,5.0,10,15,1,18,1,1
1.0,5.0,10,15,1,17,1,1
0.0,5.0,10,15,1,16,1,4
0.0,4.0,1,14,17,16,4,4
0.0,3.0,1,13,17,16,4,4
0.0,2.0,1,12,17,16,4,4
0.0,1.0,1,11,17,16,4,4
12.0,-9.0,1,10,17,16,4,1
11.0,-9.0,15,10,1,15,1,1
10.0,-9.0,15,10,1,14,1,1
9.0,-9.0,15,10,1,13,1,1
8.0,-9.0,15,10,1,12,1,1
7.0,-9.0,15,10,1,11,1,1
6.0,-9.0,15,10,1,10,1,1
5.0,-9.0,15,10,1,9,1,1
4.0,-9.0,15,10,1,8,1,1
3.0,-9.0,15,10,1,7,1,1
2.0,-9.0,15,10,1,6,1,1
1.0,-9.0,15,10,1,5,1,1
0.0,-9.0,15,10,1,4,1,3
0.0,-8.0,14,1,29,4,3,3
0.0,-7.0,13,1,29,4,3,3
0.0,-6.0,12,1,29,4,3,3
0.0,-5.0,11,1,29,4,3,3
0.0,-4.0,10,1,29,4,3,3
0.0,-3.0,9,1,29,4,3,3
0.0,-2.0,8,1,29,4,3,3
0.0,-1.0,7,1,29,4,3,3
-1.0,16.0,6,1,29,4,3,2
0.0,16.0,6,19,28,1,2,4
0.0,15.0,1,18,28,1,4,4
0.0,14.0,1,17,28,1,4,4
0.0,13.0,1,16,28,5,4,4
0.0,12.0,1,15,28,5,4,4
0.0,11.0,1,14,28,5,4,4
0.0,10.0,1,13,28,5,4,4
0.0,9.0,1,12,28,5,4,4
0.0,8.0,1,11,28,5,4,4
0.0,7.0,1,10,28,5,4,4
0.0,6.0,1,9,28,5,4,4
0.0,5.0,1,8,28,5,4,4
0.0,4.0,1,7,28,5,4,4
0.0,3.0,1,6,28,5,4,4
0.0,2.0,1,5,28,5,4,4
0.0,1.0,1,4,28,5,4,4
-24.0,-18.0,1,3,28,5,4,2
-23.0,-18.0,22,3,27,1,2,2
-22.0,-18.0,22,3,26,1,2,2
-21.0,-18.0,22,3,25,1,2,2
-20.0,-18.0,22,3,24,1,2,2
-19.0,-18.0,22,3,23,1,2,2
-18.0,-18.0,22,3,22,1,2,2
-17.0,-18.0,22,3,21,1,2,2
-16.0,-18.0,22,3,20,1,2,2
-15.0,-18.0,22,3,19,1,2,2
-14.0,-18.0,22,3,18,1,2,2
