foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
-3.0,11.0,0,0,0,0,1,1
-4.0,11.0,13,12,1,15,1,3
-4.0,12.0,12,1,18,15,3,2
-3.0,12.0,12,13,17,1,2,2
-2.0,12.0,12,13,16,1,2,2
-1.0,12.0,12,13,15,1,2,2
0.0,12.0,12,13,14,1,2,4
0.0,11.0,1,12,14,19,4,4
0.0,10.0,1,11,14,19,4,4
0.0,9.0,1,10,14,19,4,4
0.0,8.0,1,9,14,19,4,4
0.0,7.0,1,8,14,19,4,4
0.0,6.0,1,7,14,19,4,4
0.0,5.0,1,6,14,19,4,4
0.0,4.0,1,5,14,19,4,4
0.0,3.0,1,4,14,19,4,4
0.0,2.0,1,3,14,19,4,4
0.0,1.0,1,2,14,19,4,4
2.0,-14.0,1,1,14,19,4,1
1.0,-14.0,24,1,1,18,1,1
0.0,-14.0,24,1,1,17,1,3
0.0,-13.0,23,1,16,17,3,3
0.0,-12.0,22,1,16,17,3,3
0.0,-11.0,21,1,16,17,3,3
0.0,-10.0,20,1,16,17,3,3
0.0,-9.0,19,1,16,17,3,3
0.0,-8.0,18,1,16,17,3,3
0.0,-7.0,17,1,16,17,3,3
0.0,-6.0,16,1,16,17,3,3
0.0,-5.0,15,1,16,17,3,3
0.0,-4.0,14,1,16,17,3,3
0.0,-3.0,13,1,16,17,3,3
0.0,-2.0,12,1,16,17,3,3
0.0,-1.0,11,1,16,17,3,3
-2.0,14.0,10,1,16,17,3,2
-1.0,14.0,10,15,15,1,2,2
0.0,14.0,10,15,14,1,2,4
0.0,13.0,1,14,14,2,4,4
0.0,12.0,1,13,14,19,4,4
0.0,11.0,1,12,14,19,4,4
0.0,10.0,1,11,14,19,4,4
0.0,9.0,1,10,14,19,4,4
0.0,8.0,1,9,14,19,4,4
0.0,7.0,1,8,14,19,4,4
0.0,6.0,1,7,14,19,4,4
0.0,5.0,1,6,14,19,4,4
0.0,4.0,1,5,14,19,4,4
0.0,3.0,1,4,14,19,4,4
0.0,2.0,1,3,14,19,4,4
0.0,1.0,1,2,14,19,4,4
2.0,-17.0,1,1,14,19,4,1
1.0,-17.0,24,1,1,18,1,1
0.0,-17.0,24,1,1,17,1,3
0.0,-16.0,23,1,2,17,3,3
0.0,-15.0,22,1,16,17,3,3
0.0,-14.0,21,1,16,17,3,3
0.0,-13.0,20,1,16,17,3,3
0.0,-12.0,19,1,16,17,3,3
0.0,-11.0,18,1,16,17,3,3
0.0,-10.0,17,1,16,17,3,3
0.0,-9.0,16,1,16,17,3,3
0.0,-8.0,15,1,16,17,3,3
0.0,-7.0,14,1,16,17,3,3
0.0,-6.0,13,1,16,17,3,3
0.0,-5.0,12,1,16,17,3,3
0.0,-4.0,11,1,16,17,3,3
0.0,-3.0,10,1,16,17,3,3
0.0,-2.0,9,1,16,17,3,3
0.0,-1.0,8,1,16,17,3,3
5.0,-5.0,7,1,16,17,3,1
4.0,-5.0,7,18,1,16,1,1
3.0,-5.0,7,18,1,15,1,1
2.0,-5.0,7,18,1,14,1,1
1.0,-5.0,7,18,1,13,1,1
0.0,-5.0,7,18,1,12,1,3
0.0,-4.0,6,1,21,12,3,3
0.0,-3.0,5,1,21,12,3,3
0.0,-2.0,4,1,21,12,3,3
0.0,-1.0,3,1,21,12,3,3
-3.0,9.0,2,1,21,12,3,2
-2.0,9.0,2,5,20,1,2,2
-1.0,9.0,2,23,19,1,2,2
0.0,9.0,2,23,18,1,2,4
0.0,8.0,1,22,18,3,4,4
0.0,7.0,1,21,18,3,4,4
0.0,6.0,1,20,18,15,4,4
0.0,5.0,1,19,18,15,4,4
0.0,4.0,1,18,18,15,4,4
0.0,3.0,1,17,18,15,4,4
0.0,2.0,1,16,18,15,4,4
0.0,1.0,1,15,18,15,4,4
-12.0,11.0,1,14,18,15,4,2
-11.0,11.0,11,14,17,1,2,2
-10.0,11.0,11,14,16,1,2,2
-9.0,11.0,11,14,15,1,2,2
-8.0,11.0,11,14,14,1,2,2
-7.0,11.0,11,14,13,1,2,2
-6.0,11.0,11,14,12,1,2,2
-5.0,11.0,11,14,11,1,2,2
-4.0,11.0,11,14,10,1,2,2
-3.0,11.0,11,14,9,1,2,2
-2.0,11.0,11,14,8,1,2,2
-1.0,11.0,11,14,7,1,2,2
0.0,11.0,11,14,6,1,2,4
0.0,10.0,1,13,6,27,4,4
0.0,9.0,1,12,6,27,4,4
0.0,8.0,1,11,6,27,4,4
0.0,7.0,1,10,6,27,4,4
0.0,6.0,1,9,6,27,4,4
0.0,5.0,1,8,6,27,4,4
0.0,4.0,1,7,6,27,4,4
0.0,3.0,1,6,6,27,4,4
0.0,2.0,1,5,6,27,4,4
0.0,1.0,1,4,6,27,4,4
19.0,-7.0,1,3,6,27,4,1
18.0,-7.0,22,3,1,26,1,1
17.0,-7.0,22,3,1,25,1,1
16.0,-7.0,22,3,1,24,1,1
15.0,-7.0,22,3,1,23,1,1
14.0,-7.0,22,3,1,22,1,1
13.0,-7.0,22,3,1,21,1,1
12.0,-7.0,22,3,1,20,1,1
11.0,-7.0,22,3,1,19,1,1
10.0,-7.0,22,3,1,18,1,1
9.0,-7.0,22,3,1,17,1,1
8.0,-7.0,22,3,1,16,1,1
7.0,-7.0,22,3,1,15,1,1
6.0,-7.0,22,3,1,14,1,1
5.0,-7.0,22,3,1,13,1,1
4.0,-7.0,22,3,1,12,1,1
3.0,-7.0,22,3,1,11,1,1
2.0,-7.0,22,3,1,10,1,1
1.0,-7.0,22,3,1,9,1,1
0.0,-7.0,22,3,1,8,1,3
0.0,-6.0,21,1,25,8,3,3
0.0,-5.0,20,1,25,8,3,3
0.0,-4.0,19,1,25,8,3,3
0.0,-3.0,18,1,25,8,3,3
0.0,-2.0,17,1,25,8,3,3
0.0,-1.0,16,1,25,8,3,3
3.0,-13.0,15,1,25,8,3,1
2.0,-13.0,15,10,1,7,1,1
1.0,-13.0,15,10,1,6,1,1
0.0,-13.0,15,10,1,5,1,3
0.0,-12.0,14,1,28,5,3,3
0.0,-11.0,13,1,28,5,3,3
0.0,-10.0,12,1,28,5,3,3
0.0,-9.0,11,1,28,5,3,3
0.0,-8.0,10,1,28,5,3,3
0.0,-7.0,9,1,28,5,3,3
0.0,-6.0,8,1,28,5,3,3
0.0,-5.0,7,1,28,5,3,3
0.0,-4.0,6,1,28,5,3,3
0.0,-3.0,5,1,28,5,3,3
0.0,-2.0,4,1,28,5,3,3
0.0,-1.0,3,1,28,5,3,3
4.0,2.0,2,1,28,5,3,1
3.0,2.0,2,23,1,4,1,1
2.0,2.0,2,23,1,3,1,1
1.0,2.0,2,23,1,2,1,1
0.0,2.0,2,23,1,1,1,4
0.0,1.0,1,22,4,1,4,4
-22.0,2.0,1,21,4,1,4,2
-21.0,2.0,2,21,3,1,2,2
-20.0,2.0,2,21,2,1,2,2
-19.0,2.0,2,21,1,1,2,3
-19.0,3.0,1,1,1,3,3,1
-20.0,3.0,1,1,1,2,1,1
