foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
-13.0,3.0,0,0,0,0,1,1
-14.0,3.0,13,12,1,15,1,3
-14.0,4.0,12,1,18,15,3,2
-13.0,4.0,12,13,17,1,2,2
-12.0,4.0,12,13,16,1,2,2
-11.0,4.0,12,13,15,1,2,2
-10.0,4.0,12,13,14,1,2,2
-9.0,4.0,12,13,13,1,2,2
-8.0,4.0,12,13,12,1,2,2
-7.0,4.0,12,13,11,1,2,2
-6.0,4.0,12,13,10,1,2,2
-5.0,4.0,12,13,9,1,2,2
-4.0,4.0,12,13,8,1,2,2
-3.0,4.0,12,13,7,1,2,2
-2.0,4.0,12,13,6,1,2,2
-1.0,4.0,12,13,5,1,2,2
0.0,4.0,12,13,4,1,2,4
0.0,3.0,1,12,4,29,4,4
0.0,2.0,1,11,4,29,4,4
0.0,1.0,1,10,4,29,4,4
28.0,4.0,1,9,4,29,4,1
27.0,4.0,16,9,1,28,1,1
26.0,4.0,16,9,1,27,1,1
25.0,4.0,16,9,1,26,1,1
24.0,4.0,16,9,1,25,1,1
23.0,4.0,16,9,1,24,1,1
22.0,4.0,16,9,1,23,1,1
21.0,4.0,16,9,1,22,1,1
20.0,4.0,16,9,1,21,1,1
19.0,4.0,16,9,1,20,1,1
18.0,4.0,16,9,1,19,1,1
17.0,4.0,16,9,1,18,1,1
16.0,4.0,16,9,1,17,1,1
15.0,4.0,16,9,1,16,1,1
14.0,4.0,16,9,1,15,1,1
13.0,4.0,16,9,1,14,1,1
12.0,4.0,16,9,1,13,1,1
11.0,4.0,16,9,1,12,1,1
10.0,4.0,16,9,1,11,1,1
9.0,4.0,16,9,1,10,1,1
8.0,4.0,16,9,1,9,1,1
7.0,4.0,16,9,1,8,1,1
6.0,4.0,16,9,1,7,1,1
5.0,4.0,16,9,1,6,1,1
4.0,4.0,16,9,1,5,1,1
3.0,4.0,16,9,1,4,1,1
2.0,4.0,16,9,1,3,1,1
1.0,4.0,16,9,1,2,1,1
0.0,4.0,16,9,1,1,1,4
0.0,3.0,1,8,32,1,4,4
0.0,2.0,1,7,32,1,4,4
0.0,1.0,1,6,32,1,4,4
-7.0,-7.0,1,5,32,1,4,2
-6.0,-7.0,20,5,31,1,2,2
-5.0,-7.0,20,5,30,1,2,2
-4.0,-7.0,20,5,29,1,2,2
-3.0,-7.0,20,5,28,1,2,2
-2.0,-7.0,20,5,27,1,2,2
-1.0,-7.0,20,5,26,1,2,2
0.0,-7.0,20,5,25,1,2,3
0.0,-6.0,19,1,25,8,3,3
0.0,-5.0,18,1,25,8,3,3
0.0,-4.0,17,1,25,8,3,3
0.0,-3.0,16,1,25,8,3,3
0.0,-2.0,15,1,25,8,3,3
0.0,-1.0,14,1,25,8,3,3
3.0,-10.0,13,1,25,8,3,1
2.0,-10.0,13,12,1,7,1,1
1.0,-10.0,13,12,1,6,1,1
0.0,-10.0,13,12,1,5,1,3
0.0,-9.0,12,1,28,5,3,3
0.0,-8.0,11,1,28,5,3,3
0.0,-7.0,10,1,28,5,3,3
0.0,-6.0,9,1,28,5,3,3
0.0,-5.0,8,1,28,5,3,3
0.0,-4.0,7,1,28,5,3,3
0.0,-3.0,6,1,28,5,3,3
0.0,-2.0,5,1,28,5,3,3
0.0,-1.0,4,1,28,5,3,3
-24.0,-2.0,3,1,28,5,3,2
-23.0,-2.0,3,22,27,1,2,2
-22.0,-2.0,3,22,26,1,2,2
-21.0,-2.0,3,22,25,1,2,2
-20.0,-2.0,3,22,24,1,2,2
-19.0,-2.0,3,22,23,1,2,2
-18.0,-2.0,3,22,22,1,2,2
-17.0,-2.0,3,22,21,1,2,2
-16.0,-2.0,3,22,20,1,2,2
-15.0,-2.0,3,22,19,1,2,2
-14.0,-2.0,3,22,18,1,2,2
-13.0,-2.0,3,22,17,1,2,2
-12.0,-2.0,3,22,16,1,2,2
-11.0,-2.0,3,22,15,1,2,2
-10.0,-2.0,3,22,14,1,2,2
-9.0,-2.0,3,22,13,1,2,2
-8.0,-2.0,3,22,12,1,2,2
-7.0,-2.0,3,22,11,1,2,2
-6.0,-2.0,3,22,10,1,2,2
-5.0,-2.0,3,22,9,1,2,2
-4.0,-2.0,3,22,8,1,2,2
-3.0,-2.0,3,22,7,1,2,2
-2.0,-2.0,3,22,6,1,2,2
-1.0,-2.0,3,22,5,1,2,2
0.0,-2.0,3,22,4,1,2,3
0.0,-1.0,2,1,4,29,3,3
8.0,12.0,1,1,4,29,3,1
7.0,12.0,1,2,1,28,1,1
6.0,12.0,1,2,1,27,1,1
5.0,12.0,1,24,1,26,1,1
4.0,12.0,1,24,1,25,1,1
3.0,12.0,1,24,1,24,1,1
2.0,12.0,1,24,1,23,1,1
1.0,12.0,1,24,1,22,1,1
0.0,12.0,1,24,1,21,1,4
0.0,11.0,1,23,12,21,4,4
0.0,10.0,1,22,12,21,4,4
0.0,9.0,1,21,12,21,4,4
0.0,8.0,1,20,12,21,4,4
0.0,7.0,1,19,12,21,4,4
0.0,6.0,1,18,12,21,4,4
0.0,5.0,1,17,12,21,4,4
0.0,4.0,1,16,12,21,4,4
0.0,3.0,1,15,12,21,4,4
0.0,2.0,1,14,12,21,4,4
0.0,1.0,1,13,12,21,4,4
4.0,1.0,1,12,12,21,4,1
3.0,1.0,13,12,1,20,1,1
2.0,1.0,13,12,1,19,1,1
1.0,1.0,13,12,1,18,1,1
0.0,1.0,13,12,1,17,1,4
-9.0,-2.0,1,11,16,17,4,2
-8.0,-2.0,1,11,15,1,2,2
-7.0,-2.0,1,11,14,1,2,2
-6.0,-2.0,1,11,13,1,2,2
-5.0,-2.0,1,11,12,1,2,2
-4.0,-2.0,14,11,11,1,2,2
-3.0,-2.0,14,11,10,1,2,2
-2.0,-2.0,14,11,9,1,2,2
-1.0,-2.0,14,11,8,1,2,2
0.0,-2.0,14,11,7,1,2,3
0.0,-1.0,13,1,7,26,3,3
21.0,10.0,12,1,7,26,3,1
20.0,10.0,12,2,1,25,1,1
19.0,10.0,12,2,1,24,1,1
18.0,10.0,12,2,1,23,1,1
17.0,10.0,12,2,1,22,1,1
16.0,10.0,12,13,1,21,1,1
15.0,10.0,12,13,1,20,1,1
14.0,10.0,12,13,1,19,1,1
13.0,10.0,12,13,1,18,1,1
12.0,10.0,12,13,1,17,1,1
11.0,10.0,12,13,1,16,1,1
10.0,10.0,12,13,1,15,1,1
9.0,10.0,12,13,1,14,1,1
8.0,10.0,12,13,1,13,1,1
7.0,10.0,12,13,1,12,1,1
6.0,10.0,12,13,1,11,1,1
5.0,10.0,12,13,1,10,1,1
4.0,10.0,12,13,1,9,1,1
3.0,10.0,12,13,1,8,1,1
2.0,10.0,12,13,1,7,1,1
1.0,10.0,12,13,1,6,1,1
0.0,10.0,12,13,1,5,1,4
0.0,9.0,1,12,28,5,4,4
0.0,8.0,1,11,28,5,4,4
0.0,7.0,1,10,28,5,4,4
0.0,6.0,1,9,28,5,4,4
0.0,5.0,1,8,28,5,4,4
0.0,4.0,1,7,28,5,4,4
0.0,3.0,1,6,28,5,4,4
0.0,2.0,1,5,28,5,4,4
0.0,1.0,1,4,28,5,4,4
-10.0,-20.0,1,3,28,5,4,2
-9.0,-20.0,22,3,27,1,2,2
-8.0,-20.0,22,3,26,1,2,2
-7.0,-20.0,22,3,25,1,2,2
-6.0,-20.0,22,3,24,1,2,2
-5.0,-20.0,22,3,23,1,2,2
-4.0,-20.0,22,3,22,1,2,2
-3.0,-20.0,22,3,21,1,2,2
-2.0,-20.0,22,3,20,1,2,2
-1.0,-20.0,22,3,19,1,2,2
0.0,-20.0,22,3,18,1,2,3
0.0,-19.0,21,1,18,15,3,3
0.0,-18.0,20,1,18,15,3,3
0.0,-17.0,19,1,18,15,3,3
0.0,-16.0,18,1,18,15,3,3
0.0,-15.0,17,1,18,15,3,3
0.0,-14.0,16,1,18,15,3,3
0.0,-13.0,15,1,18,15,3,3
0.0,-12.0,14,1,18,15,3,3
0.0,-11.0,13,1,18,15,3,3
0.0,-10.0,12,1,18,15,3,3
0.0,-9.0,11,1,18,15,3,3
0.0,-8.0,10,1,18,15,3,3
0.0,-7.0,9,1,18,15,3,3
0.0,-6.0,8,1,18,15,3,3
0.0,-5.0,7,1,18,15,3,3
0.0,-4.0,6,1,18,15,3,3
0.0,-3.0,5,1,18,15,3,3
0.0,-2.0,4,1,18,15,3,3
0.0,-1.0,3,1,18,15,3,3
6.0,8.0,2,1,18,15,3,1
5.0,8.0,2,23,1,14,1,1
4.0,8.0,2,23,1,13,1,1
3.0,8.0,2,23,1,12,1,1
2.0,8.0,2,23,1,11,1,1
1.0,8.0,2,23,1,10,1,1
0.0,8.0,2,23,1,9,1,4
0.0,7.0,1,22,6,9,4,4
0.0,6.0,1,21,6,9,4,4
0.0,5.0,1,20,6,9,4,4
0.0,4.0,1,19,24,9,4,4
0.0,3.0,1,18,24,9,4,4
0.0,2.0,1,17,24,9,4,4
0.0,1.0,1,16,24,9,4,4
5.0,14.0,1,15,24,9,4,1
4.0,14.0,10,15,1,8,1,1
3.0,14.0,10,15,1,7,1,1
2.0,14.0,10,15,1,6,1,1
1.0,14.0,10,15,1,5,1,1
0.0,14.0,10,15,1,4,1,4
0.0,13.0,1,14,29,4,4,4
0.0,12.0,1,13,29,4,4,4
0.0,11.0,1,12,29,4,4,4
0.0,10.0,1,11,29,4,4,4
0.0,9.0,1,10,29,4,4,4
0.0,8.0,1,9,29,4,4,4
0.0,7.0,1,8,29,4,4,4
0.0,6.0,1,7,29,4,4,4
0.0,5.0,1,6,29,4,4,4
0.0,4.0,1,5,29,4,4,4
0.0,3.0,1,4,29,4,4,4
0.0,2.0,1,3,29,4,4,4
0.0,1.0,1,2,29,4,4,4
-18.0,-11.0,1,1,29,4,4,2
-17.0,-11.0,24,1,28,1,2,2
-16.0,-11.0,24,1,27,1,2,2
-15.0,-11.0,24,1,26,1,2,2
-14.0,-11.0,24,1,25,1,2,2
-13.0,-11.0,24,1,24,1,2,2
-12.0,-11.0,24,1,23,1,2,2
-11.0,-11.0,24,1,22,1,2,2
-10.0,-11.0,24,1,21,1,2,2
-9.0,-11.0,24,1,20,1,2,2
-8.0,-11.0,24,1,19,1,2,2
-7.0,-11.0,24,1,18,1,2,2
-6.0,-11.0,24,1,17,1,2,2
-5.0,-11.0,24,1,16,1,2,2
-4.0,-11.0,24,1,15,1,2,2
-3.0,-11.0,24,1,14,1,2,2
-2.0,-11.0,24,1,13,1,2,2
