foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
0.0,-5.0,0,0,0,0,1,1
-1.0,-5.0,13,12,1,15,1,3
-1.0,-4.0,12,1,18,15,3,2
0.0,-4.0,12,13,17,1,2,3
0.0,-3.0,11,1,17,16,3,3
0.0,-2.0,10,1,17,16,3,3
0.0,-1.0,9,1,17,16,3,3
-16.0,6.0,8,1,17,16,3,2
-15.0,6.0,8,17,16,1,2,2
-14.0,6.0,8,17,15,1,2,2
-13.0,6.0,8,17,14,1,2,2
-12.0,6.0,8,17,13,1,2,2
-11.0,6.0,8,17,12,1,2,2
-10.0,6.0,8,17,11,1,2,2
-9.0,6.0,8,17,10,1,2,2
-8.0,6.0,8,17,9,1,2,2
-7.0,6.0,8,17,8,1,2,2
-6.0,6.0,8,17,7,1,2,2
-5.0,6.0,8,17,6,1,2,2
-4.0,6.0,8,17,5,1,2,2
-3.0,6.0,8,17,4,1,2,2
-2.0,6.0,8,17,3,1,2,2
-1.0,6.0,8,17,2,1,2,2
0.0,6.0,8,17,1,1,2,4
0.0,5.0,1,16,1,32,4,4
0.0,4.0,1,15,1,32,4,4
0.0,3.0,1,14,1,32,4,4
0.0,2.0,1,13,1,32,4,4
0.0,1.0,1,12,1,32,4,4
4.0,-6.0,1,11,1,32,4,1
3.0,-6.0,14,11,1,31,1,1
2.0,-6.0,14,11,1,30,1,1
1.0,-6.0,14,11,1,29,1,1
0.0,-6.0,14,11,1,28,1,3
0.0,-5.0,13,1,5,28,3,3
0.0,-4.0,12,1,5,28,3,3
0.0,-3.0,11,1,5,28,3,3
0.0,-2.0,10,1,5,28,3,3
0.0,-1.0,9,1,5,28,3,3
27.0,9.0,8,1,5,28,3,1
26.0,9.0,8,17,1,27,1,1
25.0,9.0,8,17,1,26,1,1
24.0,9.0,8,17,1,25,1,1
23.0,9.0,8,17,1,24,1,1
22.0,9.0,8,17,1,23,1,1
21.0,9.0,8,17,1,22,1,1
20.0,9.0,8,17,1,21,1,1
19.0,9.0,8,17,1,20,1,1
18.0,9.0,8,17,1,19,1,1
17.0,9.0,8,17,1,18,1,1
16.0,9.0,8,17,1,17,1,1
15.0,9.0,8,17,1,16,1,1
14.0,9.0,8,17,1,15,1,1
13.0,9.0,8,17,1,14,1,1
12.0,9.0,8,17,1,13,1,1
11.0,9.0,8,17,1,12,1,1
10.0,9.0,8,17,1,11,1,1
9.0,9.0,8,17,1,10,1,1
8.0,9.0,8,17,1,9,1,1
7.0,9.0,8,17,1,8,1,1
6.0,9.0,8,17,1,7,1,1
5.0,9.0,8,17,1,6,1,1
4.0,9.0,8,17,1,5,1,1
3.0,9.0,8,17,1,4,1,1
2.0,9.0,8,17,1,3,1,1
1.0,9.0,8,17,1,2,1,1
0.0,9.0,8,17,1,1,1,4
0.0,8.0,1,16,32,1,4,4
0.0,7.0,1,15,32,1,4,4
0.0,6.0,1,14,32,1,4,4
0.0,5.0,1,13,32,1,4,4
0.0,4.0,1,12,32,1,4,4
0.0,3.0,1,11,32,1,4,4
0.0,2.0,1,10,32,1,4,4
0.0,1.0,1,9,32,1,4,4
-24.0,-13.0,1,8,32,1,4,2
-23.0,-13.0,17,8,31,1,2,2
-22.0,-13.0,17,8,30,1,2,2
-21.0,-13.0,17,8,29,1,2,2
-20.0,-13.0,17,8,28,1,2,2
-19.0,-13.0,17,8,27,1,2,2
-18.0,-13.0,17,8,26,1,2,2
-17.0,-13.0,17,8,25,1,2,2
-16.0,-13.0,17,8,24,1,2,2
-15.0,-13.0,17,8,23,1,2,2
-14.0,-13.0,17,8,22,1,2,2
-13.0,-13.0,17,8,21,1,2,2
-12.0,-13.0,17,8,20,1,2,2
-11.0,-13.0,17,8,19,1,2,2
-10.0,-13.0,17,8,18,1,2,2
-9.0,-13.0,17,8,17,1,2,2
-8.0,-13.0,17,8,16,1,2,2
-7.0,-13.0,17,8,15,1,2,2
-6.0,-13.0,17,8,14,1,2,2
-5.0,-13.0,17,8,13,1,2,2
-4.0,-13.0,17,8,12,1,2,2
-3.0,-13.0,17,8,11,1,2,2
-2.0,-13.0,17,8,10,1,2,2
-1.0,-13.0,17,8,9,1,2,2
0.0,-13.0,17,8,8,1,2,3
0.0,-12.0,16,1,8,25,3,3
0.0,-11.0,15,1,8,25,3,3
0.0,-10.0,14,1,8,25,3,3
0.0,-9.0,13,1,8,25,3,3
0.0,-8.0,12,1,8,25,3,3
0.0,-7.0,11,1,8,25,3,3
0.0,-6.0,10,1,8,25,3,3
0.0,-5.0,9,1,8,25,3,3
0.0,-4.0,8,1,8,25,3,3
0.0,-3.0,7,1,8,25,3,3
0.0,-2.0,6,1,8,25,3,3
0.0,-1.0,5,1,8,25,3,3
1.0,-1.0,4,1,8,25,3,1
0.0,-1.0,4,21,1,24,1,3
18.0,1.0,3,1,9,24,3,1
17.0,1.0,3,22,1,23,1,1
16.0,1.0,3,22,1,22,1,1
15.0,1.0,3,22,1,21,1,1
14.0,1.0,3,22,1,20,1,1
13.0,1.0,3,22,1,19,1,1
12.0,1.0,3,22,1,18,1,1
11.0,1.0,3,22,1,17,1,1
10.0,1.0,3,22,1,16,1,1
9.0,1.0,3,22,1,15,1,1
8.0,1.0,3,22,1,14,1,1
7.0,1.0,3,22,1,13,1,1
6.0,1.0,3,22,1,12,1,1
5.0,1.0,3,22,1,11,1,1
4.0,1.0,3,22,1,10,1,1
3.0,1.0,3,22,1,9,1,1
2.0,1.0,3,22,1,8,1,1
1.0,1.0,3,22,1,7,1,1
0.0,1.0,3,22,1,6,1,4
-26.0,2.0,1,21,27,6,4,2
-25.0,2.0,1,21,26,1,2,2
-24.0,2.0,1,21,25,1,2,2
-23.0,2.0,1,21,24,1,2,2
-22.0,2.0,1,21,23,1,2,2
-21.0,2.0,4,21,22,1,2,2
-20.0,2.0,4,21,21,1,2,2
-19.0,2.0,4,21,20,1,2,2
-18.0,2.0,4,21,19,1,2,2
-17.0,2.0,4,21,18,1,2,2
-16.0,2.0,4,21,17,1,2,2
-15.0,2.0,4,21,16,1,2,2
-14.0,2.0,4,21,15,1,2,2
-13.0,2.0,4,21,14,1,2,2
-12.0,2.0,4,21,13,1,2,2
-11.0,2.0,4,21,12,1,2,2
-10.0,2.0,4,21,11,1,2,2
-9.0,2.0,4,21,10,1,2,2
-8.0,2.0,4,21,9,1,2,2
-7.0,2.0,4,21,8,1,2,2
-6.0,2.0,4,21,7,1,2,2
-5.0,2.0,4,21,6,1,2,2
-4.0,2.0,4,21,5,1,2,2
-3.0,2.0,4,21,4,1,2,2
-2.0,2.0,4,21,3,1,2,2
-1.0,2.0,4,21,2,1,2,2
0.0,2.0,4,21,1,1,2,4
0.0,1.0,1,20,1,32,4,4
1.0,7.0,1,19,1,32,4,1
0.0,7.0,2,19,1,31,1,4
0.0,6.0,1,18,2,31,4,4
0.0,5.0,1,17,2,31,4,4
0.0,4.0,1,16,2,31,4,4
0.0,3.0,1,15,2,31,4,4
0.0,2.0,1,14,2,31,4,4
0.0,1.0,1,13,2,31,4,4
12.0,-5.0,1,12,2,31,4,1
11.0,-5.0,13,12,1,30,1,1
10.0,-5.0,13,12,1,29,1,1
9.0,-5.0,13,12,1,28,1,1
8.0,-5.0,13,12,1,27,1,1
7.0,-5.0,13,12,1,26,1,1
6.0,-5.0,13,12,1,25,1,1
5.0,-5.0,13,12,1,24,1,1
4.0,-5.0,13,12,1,23,1,1
3.0,-5.0,13,12,1,22,1,1
2.0,-5.0,13,12,1,21,1,1
1.0,-5.0,13,12,1,20,1,1
0.0,-5.0,13,12,1,19,1,3
0.0,-4.0,12,1,14,19,3,3
0.0,-3.0,11,1,14,19,3,3
0.0,-2.0,10,1,14,19,3,3
0.0,-1.0,9,1,14,19,3,3
-6.0,4.0,8,1,14,19,3,2
-5.0,4.0,8,5,13,1,2,2
-4.0,4.0,8,5,12,1,2,2
-3.0,4.0,8,5,11,1,2,2
-2.0,4.0,8,17,10,1,2,2
-1.0,4.0,8,17,9,1,2,2
0.0,4.0,8,17,8,1,2,4
0.0,3.0,1,16,8,6,4,4
0.0,2.0,1,15,8,6,4,4
0.0,1.0,1,14,8,6,4,4
7.0,-5.0,1,13,8,25,4,1
6.0,-5.0,4,13,1,24,1,1
5.0,-5.0,4,13,1,23,1,1
4.0,-5.0,4,13,1,22,1,1
3.0,-5.0,4,13,1,21,1,1
2.0,-5.0,12,13,1,20,1,1
1.0,-5.0,12,13,1,19,1,1
0.0,-5.0,12,13,1,18,1,3
0.0,-4.0,11,1,7,18,3,3
0.0,-3.0,10,1,7,18,3,3
0.0,-2.0,9,1,7,18,3,3
0.0,-1.0,8,1,15,18,3,3
-11.0,16.0,7,1,15,18,3,2
-10.0,16.0,7,5,14,1,2,2
-9.0,16.0,7,5,13,1,2,2
-8.0,16.0,7,5,12,1,2,2
-7.0,16.0,7,5,11,1,2,2
-6.0,16.0,7,18,10,1,2,2
-5.0,16.0,7,18,9,1,2,2
-4.0,16.0,7,18,8,1,2,2
-3.0,16.0,7,18,7,1,2,2
-2.0,16.0,7,18,6,1,2,2
-1.0,16.0,7,18,5,1,2,2
0.0,16.0,7,18,4,1,2,4
0.0,15.0,1,17,4,11,4,4
0.0,14.0,1,16,4,29,4,4
0.0,13.0,1,15,4,29,4,4
0.0,12.0,1,14,4,29,4,4
0.0,11.0,1,13,4,29,4,4
0.0,10.0,1,12,4,29,4,4
0.0,9.0,1,11,4,29,4,4
0.0,8.0,1,10,4,29,4,4
0.0,7.0,1,9,4,29,4,4
0.0,6.0,1,8,4,29,4,4
0.0,5.0,1,7,4,29,4,4
0.0,4.0,1,6,4,29,4,4
0.0,3.0,1,5,4,29,4,4
0.0,2.0,1,4,4,29,4,4
0.0,1.0,1,3,4,29,4,4
23.0,-18.0,1,2,4,29,4,1
22.0,-18.0,23,2,1,28,1,1
21.0,-18.0,23,2,1,27,1,1
20.0,-18.0,23,2,1,26,1,1
19.0,-18.0,23,2,1,25,1,1
18.0,-18.0,23,2,1,24,1,1
17.0,-18.0,23,2,1,23,1,1
16.0,-18.0,23,2,1,22,1,1
15.0,-18.0,23,2,1,21,1,1
14.0,-18.0,23,2,1,20,1,1
13.0,-18.0,23,2,1,19,1,1
12.0,-18.0,23,2,1,18,1,1
11.0,-18.0,23,2,1,17,1,1
10.0,-18.0,23,2,1,16,1,1
9.0,-18.0,23,2,1,15,1,1
8.0,-18.0,23,2,1,14,1,1
7.0,-18.0,23,2,1,13,1,1
6.0,-18.0,23,2,1,12,1,1
5.0,-18.0,23,2,1,11,1,1
4.0,-18.0,23,2,1,10,1,1
3.0,-18.0,23,2,1,9,1,1
2.0,-18.0,23,2,1,8,1,1
1.0,-18.0,23,2,1,7,1,1
0.0,-18.0,23,2,1,6,1,3
0.0,-17.0,22,1,27,6,3,3
0.0,-16.0,21,1,27,6,3,3
0.0,-15.0,20,1,27,6,3,3
0.0,-14.0,19,1,27,6,3,3
0.0,-13.0,18,1,27,6,3,3
0.0,-12.0,17,1,27,6,3,3
0.0,-11.0,16,1,27,6,3,3
0.0,-10.0,15,1,27,6,3,3
0.0,-9.0,14,1,27,6,3,3
0.0,-8.0,13,1,27,6,3,3
0.0,-7.0,12,1,27,6,3,3
0.0,-6.0,11,1,27,6,3,3
0.0,-5.0,10,1,27,6,3,3
0.0,-4.0,9,1,27,6,3,3
0.0,-3.0,8,1,27,6,3,3
0.0,-2.0,7,1,27,6,3,3
0.0,-1.0,6,1,27,6,3,3
5.0,4.0,5,1,27,6,3,1
4.0,4.0,5,20,1,5,1,1
3.0,4.0,5,20,1,4,1,1
2.0,4.0,5,20,1,3,1,1
1.0,4.0,5,20,1,2,1,1
0.0,4.0,5,20,1,1,1,4
0.0,3.0,1,19,5,1,4,4
0.0,2.0,1,18,5,1,4,4
0.0,1.0,1,17,5,1,4,4
-12.0,15.0,1,16,5,1,4,2
-11.0,15.0,4,16,4,1,2,2
-10.0,15.0,4,16,3,1,2,2
-9.0,15.0,4,16,2,1,2,2
-8.0,15.0,4,16,1,1,2,3
-8.0,16.0,3,1,1,4,3,3
-8.0,17.0,2,1,1,4,3,3
-8.0,18.0,1,1,1,4,3,1
-9.0,18.0,1,3,1,3,1,1
-10.0,18.0,1,3,1,2,1,1
-11.0,18.0,1,3,1,1,1,4
-11.0,17.0,1,2,3,1,4,2
-10.0,17.0,1,2,2,1,2,2
-9.0,17.0,1,2,1,1,2,4
-9.0,16.0,1,1,1,3,4,1
-10.0,16.0,1,1,1,2,1,1
