foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
-13.0,-3.0,0,0,0,0,1,1
-14.0,-3.0,13,12,1,15,1,3
-14.0,-2.0,12,1,18,15,3,2
-13.0,-2.0,12,13,17,1,2,2
-12.0,-2.0,12,13,16,1,2,2
-11.0,-2.0,12,13,15,1,2,2
-10.0,-2.0,12,13,14,1,2,2
-9.0,-2.0,12,13,13,1,2,2
-8.0,-2.0,12,13,12,1,2,2
-7.0,-2.0,12,13,11,1,2,2
-6.0,-2.0,12,13,10,1,2,2
-5.0,-2.0,12,13,9,1,2,2
-4.0,-2.0,12,13,8,1,2,2
-3.0,-2.0,12,13,7,1,2,2
-2.0,-2.0,12,13,6,1,2,2
-1.0,-2.0,12,13,5,1,2,2
0.0,-2.0,12,13,4,1,2,3
0.0,-1.0,11,1,4,29,3,3
11.0,13.0,10,1,4,29,3,1
10.0,13.0,10,15,1,28,1,1
9.0,13.0,10,15,1,27,1,1
8.0,13.0,10,15,1,26,1,1
7.0,13.0,10,15,1,25,1,1
6.0,13.0,10,15,1,24,1,1
5.0,13.0,10,15,1,23,1,1
4.0,13.0,10,15,1,22,1,1
3.0,13.0,10,15,1,21,1,1
2.0,13.0,10,15,1,20,1,1
1.0,13.0,10,15,1,19,1,1
0.0,13.0,10,15,1,18,1,4
0.0,12.0,1,14,15,18,4,4
0.0,11.0,1,13,15,18,4,4
0.0,10.0,1,12,15,18,4,4
0.0,9.0,1,11,15,18,4,4
0.0,8.0,1,10,15,18,4,4
0.0,7.0,1,9,15,18,4,4
0.0,6.0,1,8,15,18,4,4
0.0,5.0,1,7,15,18,4,4
0.0,4.0,1,6,15,18,4,4
0.0,3.0,1,5,15,18,4,4
0.0,2.0,1,4,15,18,4,4
0.0,1.0,1,3,15,18,4,4
-11.0,-13.0,1,2,15,18,4,2
-10.0,-13.0,23,2,14,1,2,2
-9.0,-13.0,23,2,13,1,2,2
-8.0,-13.0,23,2,12,1,2,2
-7.0,-13.0,23,2,11,1,2,2
-6.0,-13.0,23,2,10,1,2,2
-5.0,-13.0,23,2,9,1,2,2
-4.0,-13.0,23,2,8,1,2,2
-3.0,-13.0,23,2,7,1,2,2
-2.0,-13.0,23,2,6,1,2,2
-1.0,-13.0,23,2,5,1,2,2
0.0,-13.0,23,2,4,1,2,3
0.0,-12.0,22,1,4,29,3,3
0.0,-11.0,21,1,4,29,3,3
0.0,-10.0,20,1,4,29,3,3
0.0,-9.0,19,1,4,29,3,3
0.0,-8.0,18,1,4,29,3,3
0.0,-7.0,17,1,4,29,3,3
0.0,-6.0,16,1,4,29,3,3
0.0,-5.0,15,1,4,29,3,3
0.0,-4.0,14,1,4,29,3,3
0.0,-3.0,13,1,4,29,3,3
0.0,-2.0,12,1,4,29,3,3
0.0,-1.0,11,1,4,29,3,3
23.0,-5.0,10,1,4,29,3,1
22.0,-5.0,10,15,1,28,1,1
21.0,-5.0,10,15,1,27,1,1
20.0,-5.0,10,15,1,26,1,1
19.0,-5.0,10,15,1,25,1,1
18.0,-5.0,10,15,1,24,1,1
17.0,-5.0,10,15,1,23,1,1
16.0,-5.0,10,15,1,22,1,1
15.0,-5.0,10,15,1,21,1,1
14.0,-5.0,10,15,1,20,1,1
13.0,-5.0,10,15,1,19,1,1
12.0,-5.0,10,15,1,18,1,1
11.0,-5.0,10,15,1,17,1,1
10.0,-5.0,10,15,1,16,1,1
9.0,-5.0,10,15,1,15,1,1
8.0,-5.0,10,15,1,14,1,1
7.0,-5.0,10,15,1,13,1,1
6.0,-5.0,10,15,1,12,1,1
5.0,-5.0,10,15,1,11,1,1
4.0,-5.0,10,15,1,10,1,1
3.0,-5.0,10,15,1,9,1,1
2.0,-5.0,10,15,1,8,1,1
1.0,-5.0,10,15,1,7,1,1
0.0,-5.0,10,15,1,6,1,3
0.0,-4.0,9,1,27,6,3,3
0.0,-3.0,8,1,27,6,3,3
0.0,-2.0,7,1,27,6,3,3
0.0,-1.0,6,1,27,6,3,3
-19.0,3.0,5,1,27,6,3,2
-18.0,3.0,5,20,26,1,2,2
-17.0,3.0,5,20,25,1,2,2
-16.0,3.0,5,20,24,1,2,2
-15.0,3.0,5,20,23,1,2,2
-14.0,3.0,5,20,22,1,2,2
-13.0,3.0,5,20,21,1,2,2
-12.0,3.0,5,20,20,1,2,2
-11.0,3.0,5,20,19,1,2,2
-10.0,3.0,5,20,18,1,2,2
-9.0,3.0,5,20,17,1,2,2
-8.0,3.0,5,20,16,1,2,2
-7.0,3.0,5,20,15,1,2,2
-6.0,3.0,5,20,14,1,2,2
-5.0,3.0,5,20,13,1,2,2
-4.0,3.0,5,20,12,1,2,2
-3.0,3.0,5,20,11,1,2,2
-2.0,3.0,5,20,10,1,2,2
-1.0,3.0,5,20,9,1,2,2
0.0,3.0,5,20,8,1,2,4
0.0,2.0,1,19,8,25,4,4
0.0,1.0,1,18,8,25,4,4
12.0,2.0,1,17,8,25,4,1
11.0,2.0,3,17,1,24,1,1
10.0,2.0,3,17,1,23,1,1
9.0,2.0,8,17,1,22,1,1
8.0,2.0,8,17,1,21,1,1
7.0,2.0,8,17,1,20,1,1
6.0,2.0,8,17,1,19,1,1
5.0,2.0,8,17,1,18,1,1
4.0,2.0,8,17,1,17,1,1
3.0,2.0,8,17,1,16,1,1
2.0,2.0,8,17,1,15,1,1
1.0,2.0,8,17,1,14,1,1
0.0,2.0,8,17,1,13,1,4
0.0,1.0,1,16,20,13,4,4
12.0,13.0,1,15,20,13,4,1
11.0,13.0,10,15,1,12,1,1
10.0,13.0,10,15,1,11,1,1
9.0,13.0,10,15,1,10,1,1
8.0,13.0,10,15,1,9,1,1
7.0,13.0,10,15,1,8,1,1
6.0,13.0,10,15,1,7,1,1
5.0,13.0,10,15,1,6,1,1
4.0,13.0,10,15,1,5,1,1
3.0,13.0,10,15,1,4,1,1
2.0,13.0,10,15,1,3,1,1
1.0,13.0,10,15,1,2,1,1
0.0,13.0,10,15,1,1,1,4
0.0,12.0,1,14,32,1,4,4
0.0,11.0,1,13,32,1,4,4
0.0,10.0,1,12,32,1,4,4
0.0,9.0,1,11,32,1,4,4
0.0,8.0,1,10,32,1,4,4
0.0,7.0,1,9,32,1,4,4
0.0,6.0,1,8,32,1,4,4
0.0,5.0,1,7,32,1,4,4
0.0,4.0,1,6,32,1,4,4
0.0,3.0,1,5,32,1,4,4
0.0,2.0,1,4,32,1,4,4
0.0,1.0,1,3,32,1,4,4
-15.0,-14.0,1,2,32,1,4,2
-14.0,-14.0,23,2,31,1,2,2
-13.0,-14.0,23,2,30,1,2,2
-12.0,-14.0,23,2,29,1,2,2
-11.0,-14.0,23,2,28,1,2,2
-10.0,-14.0,23,2,27,1,2,2
-9.0,-14.0,23,2,26,1,2,2
-8.0,-14.0,23,2,25,1,2,2
-7.0,-14.0,23,2,24,1,2,2
-6.0,-14.0,23,2,23,1,2,2
-5.0,-14.0,23,2,22,1,2,2
-4.0,-14.0,23,2,21,1,2,2
-3.0,-14.0,23,2,20,1,2,2
-2.0,-14.0,23,2,19,1,2,2
-1.0,-14.0,23,2,18,1,2,2
0.0,-14.0,23,2,17,1,2,3
0.0,-13.0,22,1,17,16,3,3
0.0,-12.0,21,1,17,16,3,3
0.0,-11.0,20,1,17,16,3,3
0.0,-10.0,19,1,17,16,3,3
0.0,-9.0,18,1,17,16,3,3
0.0,-8.0,17,1,17,16,3,3
0.0,-7.0,16,1,17,16,3,3
0.0,-6.0,15,1,17,16,3,3
0.0,-5.0,14,1,17,16,3,3
0.0,-4.0,13,1,17,16,3,3
0.0,-3.0,12,1,17,16,3,3
0.0,-2.0,11,1,17,16,3,3
0.0,-1.0,10,1,17,16,3,3
-13.0,9.0,9,1,17,16,3,2
-12.0,9.0,9,16,16,1,2,2
-11.0,9.0,9,16,15,1,2,2
-10.0,9.0,9,16,14,1,2,2
-9.0,9.0,9,16,13,1,2,2
-8.0,9.0,9,16,12,1,2,2
-7.0,9.0,9,16,11,1,2,2
-6.0,9.0,9,16,10,1,2,2
-5.0,9.0,9,16,9,1,2,2
-4.0,9.0,9,16,8,1,2,2
-3.0,9.0,9,16,7,1,2,2
-2.0,9.0,9,16,6,1,2,2
-1.0,9.0,9,16,5,1,2,2
0.0,9.0,9,16,4,1,2,4
0.0,8.0,1,15,4,29,4,4
0.0,7.0,1,14,4,29,4,4
0.0,6.0,1,13,4,29,4,4
0.0,5.0,1,12,4,29,4,4
0.0,4.0,1,11,4,29,4,4
0.0,3.0,1,10,4,29,4,4
0.0,2.0,1,9,4,29,4,4
0.0,1.0,1,8,4,29,4,4
25.0,-4.0,1,7,4,29,4,1
24.0,-4.0,9,7,1,28,1,1
23.0,-4.0,18,7,1,27,1,1
22.0,-4.0,18,7,1,26,1,1
21.0,-4.0,18,7,1,25,1,1
20.0,-4.0,18,7,1,24,1,1
19.0,-4.0,18,7,1,23,1,1
18.0,-4.0,18,7,1,22,1,1
17.0,-4.0,18,7,1,21,1,1
16.0,-4.0,18,7,1,20,1,1
15.0,-4.0,18,7,1,19,1,1
14.0,-4.0,18,7,1,18,1,1
13.0,-4.0,18,7,1,17,1,1
12.0,-4.0,18,7,1,16,1,1
11.0,-4.0,18,7,1,15,1,1
10.0,-4.0,18,7,1,14,1,1
9.0,-4.0,18,7,1,13,1,1
8.0,-4.0,18,7,1,12,1,1
7.0,-4.0,18,7,1,11,1,1
6.0,-4.0,18,7,1,10,1,1
5.0,-4.0,18,7,1,9,1,1
4.0,-4.0,18,7,1,8,1,1
3.0,-4.0,18,7,1,7,1,1
2.0,-4.0,18,7,1,6,1,1
1.0,-4.0,18,7,1,5,1,1
0.0,-4.0,18,7,1,4,1,3
0.0,-3.0,17,1,29,4,3,3
0.0,-2.0,16,1,29,4,3,3
0.0,-1.0,15,1,29,4,3,3
-11.0,-1.0,14,1,29,4,3,2
-10.0,-1.0,14,4,28,1,2,2
-9.0,-1.0,14,4,27,1,2,2
-8.0,-1.0,14,4,26,1,2,2
-7.0,-1.0,14,4,25,1,2,2
-6.0,-1.0,14,11,24,1,2,2
-5.0,-1.0,14,11,23,1,2,2
-4.0,-1.0,14,11,22,1,2,2
-3.0,-1.0,14,11,21,1,2,2
-2.0,-1.0,14,11,20,1,2,2
-1.0,-1.0,14,11,19,1,2,2
0.0,-1.0,14,11,18,1,2,3
12.0,-11.0,13,1,18,15,3,1
11.0,-11.0,13,1,1,14,1,1
10.0,-11.0,13,1,1,13,1,1
