foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
-9.0,0.0,0,0,0,0,1,1
-10.0,0.0,13,12,1,15,1,3
-10.0,1.0,12,1,18,15,3,2
-9.0,1.0,12,13,17,1,2,2
-8.0,1.0,12,13,16,1,2,2
-7.0,1.0,12,13,15,1,2,2
-6.0,1.0,12,13,14,1,2,2
-5.0,1.0,12,13,13,1,2,2
-4.0,1.0,12,13,12,1,2,2
-3.0,1.0,12,13,11,1,2,2
-2.0,1.0,12,13,10,1,2,2
-1.0,1.0,12,13,9,1,2,2
0.0,1.0,12,13,8,1,2,4
18.0,9.0,1,12,8,25,4,1
17.0,9.0,1,12,1,24,1,1
16.0,9.0,13,12,1,23,1,1
15.0,9.0,13,12,1,22,1,1
14.0,9.0,13,12,1,21,1,1
13.0,9.0,13,12,1,20,1,1
12.0,9.0,13,12,1,19,1,1
11.0,9.0,13,12,1,18,1,1
10.0,9.0,13,12,1,17,1,1
9.0,9.0,13,12,1,16,1,1
8.0,9.0,13,12,1,15,1,1
7.0,9.0,13,12,1,14,1,1
6.0,9.0,13,12,1,13,1,1
5.0,9.0,13,12,1,12,1,1
4.0,9.0,13,12,1,11,1,1
3.0,9.0,13,12,1,10,1,1
2.0,9.0,13,12,1,9,1,1
1.0,9.0,13,12,1,8,1,1
0.0,9.0,13,12,1,7,1,4
0.0,8.0,1,11,26,7,4,4
0.0,7.0,1,10,26,7,4,4
0.0,6.0,1,9,26,7,4,4
0.0,5.0,1,8,26,7,4,4
0.0,4.0,1,7,26,7,4,4
0.0,3.0,1,6,26,7,4,4
0.0,2.0,1,5,26,7,4,4
0.0,1.0,1,4,26,7,4,4
-11.0,-1.0,1,3,26,7,4,2
-10.0,-1.0,22,3,25,1,2,2
-9.0,-1.0,22,3,24,1,2,2
-8.0,-1.0,22,3,23,1,2,2
-7.0,-1.0,22,3,22,1,2,2
-6.0,-1.0,22,3,21,1,2,2
-5.0,-1.0,22,3,20,1,2,2
-4.0,-1.0,22,3,19,1,2,2
-3.0,-1.0,22,3,18,1,2,2
-2.0,-1.0,22,3,17,1,2,2
-1.0,-1.0,22,3,16,1,2,2
0.0,-1.0,22,3,15,1,2,3
14.0,-13.0,21,1,15,18,3,1
13.0,-13.0,21,1,1,17,1,1
12.0,-13.0,21,1,1,16,1,1
11.0,-13.0,21,4,1,15,1,1
10.0,-13.0,21,4,1,14,1,1
9.0,-13.0,21,4,1,13,1,1
8.0,-13.0,21,4,1,12,1,1
7.0,-13.0,21,4,1,11,1,1
6.0,-13.0,21,4,1,10,1,1
5.0,-13.0,21,4,1,9,1,1
4.0,-13.0,21,4,1,8,1,1
3.0,-13.0,21,4,1,7,1,1
2.0,-13.0,21,4,1,6,1,1
1.0,-13.0,21,4,1,5,1,1
0.0,-13.0,21,4,1,4,1,3
0.0,-12.0,20,1,29,4,3,3
0.0,-11.0,19,1,29,4,3,3
0.0,-10.0,18,1,29,4,3,3
0.0,-9.0,17,1,29,4,3,3
0.0,-8.0,16,1,29,4,3,3
0.0,-7.0,15,1,29,4,3,3
