foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
13.0,-6.0,0,0,0,0,1,1
12.0,-6.0,13,12,1,15,1,1
11.0,-6.0,13,12,1,14,1,1
10.0,-6.0,13,12,1,13,1,1
9.0,-6.0,13,12,1,12,1,1
8.0,-6.0,13,12,1,11,1,1
7.0,-6.0,13,12,1,10,1,1
6.0,-6.0,13,12,1,9,1,1
5.0,-6.0,13,12,1,8,1,1
4.0,-6.0,13,12,1,7,1,1
3.0,-6.0,13,12,1,6,1,1
2.0,-6.0,13,12,1,5,1,1
1.0,-6.0,13,12,1,4,1,1
0.0,-6.0,13,12,1,3,1,3
0.0,-5.0,12,1,30,3,3,3
0.0,-4.0,11,1,30,3,3,3
0.0,-3.0,10,1,30,3,3,3
0.0,-2.0,9,1,30,3,3,3
0.0,-1.0,8,1,30,3,3,3
-14.0,2.0,7,1,30,3,3,2
-13.0,2.0,7,18,29,1,2,2
-12.0,2.0,7,18,28,1,2,2
-11.0,2.0,7,18,27,1,2,2
-10.0,2.0,7,18,26,1,2,2
-9.0,2.0,7,18,25,1,2,2
-8.0,2.0,7,18,24,1,2,2
-7.0,2.0,7,18,23,1,2,2
-6.0,2.0,7,18,22,1,2,2
-5.0,2.0,7,18,21,1,2,2
-4.0,2.0,7,18,20,1,2,2
-3.0,2.0,7,18,19,1,2,2
-2.0,2.0,7,18,18,1,2,2
-1.0,2.0,7,18,17,1,2,2
0.0,2.0,7,18,16,1,2,4
0.0,1.0,1,17,16,17,4,4
-5.0,-7.0,1,16,16,17,4,2
-4.0,-7.0,9,16,15,1,2,2
-3.0,-7.0,9,16,14,1,2,2
-2.0,-7.0,9,16,13,1,2,2
-1.0,-7.0,9,16,12,1,2,2
0.0,-7.0,9,16,11,1,2,3
0.0,-6.0,8,1,11,22,3,3
0.0,-5.0,7,1,11,22,3,3
0.0,-4.0,6,1,11,22,3,3
0.0,-3.0,5,1,11,22,3,3
0.0,-2.0,4,1,11,22,3,3
0.0,-1.0,3,1,11,22,3,3
-1.0,13.0,2,1,11,22,3,2
0.0,13.0,2,23,10,1,2,4
0.0,12.0,1,22,10,1,4,4
0.0,11.0,1,21,10,1,4,4
0.0,10.0,1,20,10,23,4,4
0.0,9.0,1,19,10,23,4,4
0.0,8.0,1,18,10,23,4,4
0.0,7.0,1,17,10,23,4,4
0.0,6.0,1,16,10,23,4,4
0.0,5.0,1,15,10,23,4,4
0.0,4.0,1,14,10,23,4,4
0.0,3.0,1,13,10,23,4,4
0.0,2.0,1,12,10,23,4,4
0.0,1.0,1,11,10,23,4,4
15.0,-9.0,1,10,10,23,4,1
14.0,-9.0,15,10,1,22,1,1
13.0,-9.0,15,10,1,21,1,1
12.0,-9.0,15,10,1,20,1,1
11.0,-9.0,15,10,1,19,1,1
10.0,-9.0,15,10,1,18,1,1
9.0,-9.0,15,10,1,17,1,1
8.0,-9.0,15,10,1,16,1,1
7.0,-9.0,15,10,1,15,1,1
6.0,-9.0,15,10,1,14,1,1
5.0,-9.0,15,10,1,13,1,1
4.0,-9.0,15,10,1,12,1,1
3.0,-9.0,15,10,1,11,1,1
2.0,-9.0,15,10,1,10,1,1
1.0,-9.0,15,10,1,9,1,1
0.0,-9.0,15,10,1,8,1,3
0.0,-8.0,14,1,25,8,3,3
0.0,-7.0,13,1,25,8,3,3
0.0,-6.0,12,1,25,8,3,3
0.0,-5.0,11,1,25,8,3,3
0.0,-4.0,10,1,25,8,3,3
0.0,-3.0,9,1,25,8,3,3
0.0,-2.0,8,1,25,8,3,3
0.0,-1.0,7,1,25,8,3,3
-23.0,5.0,6,1,25,8,3,2
-22.0,5.0,6,19,24,1,2,2
-21.0,5.0,6,19,23,1,2,2
-20.0,5.0,6,19,22,1,2,2
-19.0,5.0,6,19,21,1,2,2
-18.0,5.0,6,19,20,1,2,2
-17.0,5.0,6,19,19,1,2,2
-16.0,5.0,6,19,18,1,2,2
-15.0,5.0,6,19,17,1,2,2
-14.0,5.0,6,19,16,1,2,2
-13.0,5.0,6,19,15,1,2,2
-12.0,5.0,6,19,14,1,2,2
-11.0,5.0,6,19,13,1,2,2
-10.0,5.0,6,19,12,1,2,2
-9.0,5.0,6,19,11,1,2,2
-8.0,5.0,6,19,10,1,2,2
-7.0,5.0,6,19,9,1,2,2
-6.0,5.0,6,19,8,1,2,2
-5.0,5.0,6,19,7,1,2,2
-4.0,5.0,6,19,6,1,2,2
-3.0,5.0,6,19,5,1,2,2
-2.0,5.0,6,19,4,1,2,2
-1.0,5.0,6,19,3,1,2,2
0.0,5.0,6,19,2,1,2,4
0.0,4.0,1,18,2,31,4,4
0.0,3.0,1,17,2,31,4,4
0.0,2.0,1,16,2,31,4,4
0.0,1.0,1,15,2,31,4,4
-1.0,12.0,1,14,2,31,4,2
0.0,12.0,11,14,1,1,2,4
0.0,11.0,1,13,1,32,4,4
0.0,10.0,1,12,1,32,4,4
0.0,9.0,1,11,1,32,4,4
0.0,8.0,1,10,1,32,4,4
0.0,7.0,1,9,1,32,4,4
0.0,6.0,1,8,1,32,4,4
0.0,5.0,1,7,1,32,4,4
0.0,4.0,1,6,1,32,4,4
0.0,3.0,1,5,1,32,4,4
0.0,2.0,1,4,1,32,4,4
0.0,1.0,1,3,1,32,4,4
21.0,-21.0,1,2,1,32,4,1
20.0,-21.0,23,2,1,31,1,1
19.0,-21.0,23,2,1,30,1,1
18.0,-21.0,23,2,1,29,1,1
17.0,-21.0,23,2,1,28,1,1
16.0,-21.0,23,2,1,27,1,1
15.0,-21.0,23,2,1,26,1,1
14.0,-21.0,23,2,1,25,1,1
13.0,-21.0,23,2,1,24,1,1
12.0,-21.0,23,2,1,23,1,1
11.0,-21.0,23,2,1,22,1,1
10.0,-21.0,23,2,1,21,1,1
9.0,-21.0,23,2,1,20,1,1
8.0,-21.0,23,2,1,19,1,1
7.0,-21.0,23,2,1,18,1,1
6.0,-21.0,23,2,1,17,1,1
5.0,-21.0,23,2,1,16,1,1
4.0,-21.0,23,2,1,15,1,1
3.0,-21.0,23,2,1,14,1,1
2.0,-21.0,23,2,1,13,1,1
1.0,-21.0,23,2,1,12,1,1
0.0,-21.0,23,2,1,11,1,3
0.0,-20.0,22,1,22,11,3,3
0.0,-19.0,21,1,22,11,3,3
0.0,-18.0,20,1,22,11,3,3
0.0,-17.0,19,1,22,11,3,3
0.0,-16.0,18,1,22,11,3,3
0.0,-15.0,17,1,22,11,3,3
0.0,-14.0,16,1,22,11,3,3
0.0,-13.0,15,1,22,11,3,3
0.0,-12.0,14,1,22,11,3,3
0.0,-11.0,13,1,22,11,3,3
0.0,-10.0,12,1,22,11,3,3
0.0,-9.0,11,1,22,11,3,3
0.0,-8.0,10,1,22,11,3,3
