foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
-10.0,-1.0,0,0,0,0,1,1
-11.0,-1.0,13,12,1,15,1,3
-11.0,0.0,12,1,18,15,3,2
-10.0,0.0,12,13,17,1,2,2
-9.0,0.0,12,13,16,1,2,2
-8.0,0.0,12,13,15,1,2,2
-7.0,0.0,12,13,14,1,2,2
-6.0,0.0,12,13,13,1,2,2
-5.0,0.0,12,13,12,1,2,2
-4.0,0.0,12,13,11,1,2,2
-3.0,0.0,12,13,10,1,2,2
-2.0,0.0,12,13,9,1,2,2
-1.0,0.0,12,13,8,1,2,2
13.0,-9.0,12,13,7,1,2,4
13.0,-10.0,1,12,7,26,4,1
12.0,-10.0,1,12,1,25,1,1
11.0,-10.0,13,12,1,24,1,1
10.0,-10.0,13,12,1,23,1,1
9.0,-10.0,13,12,1,22,1,1
8.0,-10.0,13,12,1,21,1,1
7.0,-10.0,13,12,1,20,1,1
6.0,-10.0,13,12,1,19,1,1
5.0,-10.0,13,12,1,18,1,1
4.0,-10.0,13,12,1,17,1,1
3.0,-10.0,13,12,1,16,1,1
2.0,-10.0,13,12,1,15,1,1
1.0,-10.0,13,12,1,14,1,1
0.0,-10.0,13,12,1,13,1,3
0.0,-9.0,12,1,20,13,3,3
0.0,-8.0,11,1,20,13,3,3
0.0,-7.0,10,1,20,13,3,3
0.0,-6.0,9,1,20,13,3,3
0.0,-5.0,8,1,20,13,3,3
0.0,-4.0,7,1,20,13,3,3
0.0,-3.0,6,1,20,13,3,3
0.0,-2.0,5,1,20,13,3,3
0.0,-1.0,4,1,20,13,3,3
-6.0,0.0,3,1,20,13,3,2
-5.0,0.0,3,22,19,1,2,2
-4.0,0.0,3,22,18,1,2,2
-3.0,0.0,3,22,17,1,2,2
-2.0,0.0,3,22,16,1,2,2
-1.0,0.0,3,22,15,1,2,2
11.0,14.0,3,22,14,1,2,4
11.0,13.0,1,21,14,19,4,1
10.0,13.0,1,21,1,18,1,1
9.0,13.0,1,21,1,17,1,1
8.0,13.0,4,21,1,16,1,1
7.0,13.0,4,21,1,15,1,1
6.0,13.0,4,21,1,14,1,1
5.0,13.0,4,21,1,13,1,1
4.0,13.0,4,21,1,12,1,1
3.0,13.0,4,21,1,11,1,1
2.0,13.0,4,21,1,10,1,1
1.0,13.0,4,21,1,9,1,1
0.0,13.0,4,21,1,8,1,4
0.0,12.0,1,20,25,8,4,4
0.0,11.0,1,19,25,8,4,4
0.0,10.0,1,18,25,8,4,4
0.0,9.0,1,17,25,8,4,4
0.0,8.0,1,16,25,8,4,4
0.0,7.0,1,15,25,8,4,4
0.0,6.0,1,14,25,8,4,4
0.0,5.0,1,13,25,8,4,4
0.0,4.0,1,12,25,8,4,4
0.0,3.0,1,11,25,8,4,4
0.0,2.0,1,10,25,8,4,4
0.0,1.0,1,9,25,8,4,4
-14.0,-9.0,1,8,25,8,4,2
-13.0,-9.0,17,8,24,1,2,2
-12.0,-9.0,17,8,23,1,2,2
-11.0,-9.0,17,8,22,1,2,2
-10.0,-9.0,17,8,21,1,2,2
-9.0,-9.0,17,8,20,1,2,2
-8.0,-9.0,17,8,19,1,2,2
-7.0,-9.0,17,8,18,1,2,2
-6.0,-9.0,17,8,17,1,2,2
-5.0,-9.0,17,8,16,1,2,2
-4.0,-9.0,17,8,15,1,2,2
-3.0,-9.0,17,8,14,1,2,2
-2.0,-9.0,17,8,13,1,2,2
-1.0,-9.0,17,8,12,1,2,2
0.0,-9.0,17,8,11,1,2,3
0.0,-8.0,16,1,11,22,3,3
0.0,-7.0,15,1,11,22,3,3
0.0,-6.0,14,1,11,22,3,3
0.0,-5.0,13,1,11,22,3,3
0.0,-4.0,12,1,11,22,3,3
0.0,-3.0,11,1,11,22,3,3
0.0,-2.0,10,1,11,22,3,3
0.0,-1.0,9,1,11,22,3,3
-1.0,0.0,8,1,11,22,3,2
-2.0,4.0,8,17,10,1,2,2
-1.0,4.0,8,17,9,1,2,2
0.0,4.0,8,17,8,1,2,4
0.0,3.0,1,16,8,3,4,4
0.0,2.0,1,15,8,3,4,4
0.0,1.0,1,14,8,25,4,4
-5.0,7.0,1,13,8,25,4,2
-4.0,7.0,12,13,7,1,2,2
-3.0,7.0,12,13,6,1,2,2
