foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
16.0,14.0,0,0,0,0,1,1
14.0,14.0,13,12,1,15,1,1
12.0,14.0,13,12,1,14,1,4
12.0,12.0,1,11,19,14,4,1
10.0,12.0,14,11,1,13,1,4
10.0,10.0,1,10,20,13,4,1
8.0,10.0,15,10,1,12,1,4
8.0,8.0,1,9,21,12,4,1
6.0,8.0,16,9,1,11,1,4
6.0,6.0,1,8,22,11,4,1
4.0,6.0,17,8,1,10,1,4
4.0,4.0,1,7,23,10,4,1
2.0,4.0,18,7,1,9,1,4
2.0,2.0,1,6,24,9,4,1
0.0,2.0,19,6,1,8,1,4
14.0,-20.0,1,5,25,8,4,2
16.0,-20.0,1,5,24,1,2,2
18.0,-20.0,20,5,23,1,2,3
18.0,-18.0,19,1,23,10,3,1
16.0,-18.0,19,1,1,9,1,3
16.0,-16.0,18,1,24,9,3,1
14.0,-16.0,18,7,1,8,1,3
14.0,-14.0,17,1,25,8,3,1
12.0,-14.0,17,8,1,7,1,3
12.0,-12.0,16,1,26,7,3,1
10.0,-12.0,16,9,1,6,1,3
10.0,-10.0,15,1,27,6,3,1
8.0,-10.0,15,10,1,5,1,3
8.0,-8.0,14,1,28,5,3,1
6.0,-8.0,14,11,1,4,1,3
6.0,-6.0,13,1,29,4,3,1
4.0,-6.0,13,12,1,3,1,3
4.0,-4.0,12,1,30,3,3,1
2.0,-4.0,12,13,1,2,1,3
2.0,-2.0,11,1,31,2,3,1
0.0,-2.0,11,14,1,1,1,3
-24.0,-12.0,10,1,32,1,3,2
-22.0,-12.0,10,1,31,1,2,2
-20.0,-12.0,10,15,30,1,2,2
-18.0,-12.0,10,15,29,1,2,2
-16.0,-12.0,10,15,28,1,2,2
-14.0,-12.0,10,15,27,1,2,2
-12.0,-12.0,10,15,26,1,2,2
-10.0,-12.0,10,15,25,1,2,3
-10.0,-10.0,9,1,25,8,3,2
-8.0,-10.0,9,16,24,1,2,3
-8.0,-8.0,8,1,24,9,3,2
-6.0,-8.0,8,17,23,1,2,3
-6.0,-6.0,7,1,23,10,3,2
-4.0,-6.0,7,18,22,1,2,3
-4.0,-4.0,6,1,22,11,3,2
-2.0,-4.0,6,19,21,1,2,3
-2.0,-2.0,5,1,21,12,3,2
0.0,-2.0,5,20,20,1,2,3
4.0,22.0,4,1,20,13,3,1
2.0,22.0,4,1,1,12,1,1
0.0,22.0,4,21,1,11,1,4
0.0,20.0,1,20,1,11,4,4
0.0,18.0,1,19,22,11,4,4
0.0,16.0,1,18,22,11,4,4
0.0,14.0,1,17,22,11,4,4
0.0,12.0,1,16,22,11,4,4
0.0,10.0,1,15,22,11,4,4
0.0,8.0,1,14,22,11,4,4
0.0,6.0,1,13,22,11,4,4
0.0,4.0,1,12,22,11,4,4
0.0,2.0,1,11,22,11,4,4
16.0,2.0,1,10,22,11,4,1
14.0,2.0,15,10,1,10,1,1
12.0,2.0,15,10,1,9,1,1
10.0,2.0,15,10,1,8,1,1
8.0,2.0,15,10,1,7,1,1
6.0,2.0,15,10,1,6,1,1
4.0,2.0,15,10,1,5,1,1
2.0,2.0,15,10,1,4,1,1
0.0,2.0,15,10,1,3,1,4
-2.0,-26.0,1,9,30,3,4,2
0.0,-26.0,1,9,29,1,2,2
2.0,-26.0,1,9,28,1,2,2
4.0,-26.0,1,9,27,1,2,2
6.0,-26.0,16,9,26,1,2,3
6.0,-24.0,15,1,26,3,3,3
6.0,-22.0,14,1,26,7,3,3
6.0,-20.0,13,1,26,7,3,3
6.0,-18.0,12,1,26,7,3,3
