foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
-12.0,0.0,0,0,0,0,1,4
-12.0,-2.0,1,11,17,16,4,2
-10.0,-2.0,14,11,16,1,2,2
-8.0,-2.0,14,11,15,1,2,2
-6.0,-2.0,14,11,14,1,2,2
-4.0,-2.0,14,11,13,1,2,2
-2.0,-2.0,14,11,12,1,2,2
0.0,-2.0,14,11,11,1,2,3
20.0,-8.0,13,1,11,22,3,1
18.0,-8.0,13,1,1,21,1,1
16.0,-8.0,13,12,1,20,1,1
14.0,-8.0,13,12,1,19,1,1
12.0,-8.0,13,12,1,18,1,1
10.0,-8.0,13,12,1,17,1,1
8.0,-8.0,13,12,1,16,1,1
6.0,-8.0,13,12,1,15,1,3
6.0,-6.0,12,1,18,15,3,1
4.0,-6.0,12,13,1,14,1,3
4.0,-4.0,11,1,19,14,3,1
2.0,-4.0,11,14,1,13,1,3
2.0,-2.0,10,1,20,13,3,1
0.0,-2.0,10,15,1,12,1,3
-14.0,22.0,9,1,21,12,3,1
-16.0,22.0,9,16,1,11,1,4
-16.0,20.0,1,15,1,11,4,4
-16.0,18.0,1,14,22,11,4,4
-16.0,16.0,1,13,22,11,4,2
-14.0,16.0,12,13,21,1,2,4
-14.0,14.0,1,12,21,12,4,2
-12.0,14.0,13,12,20,1,2,4
-12.0,12.0,1,11,20,13,4,2
-10.0,12.0,14,11,19,1,2,4
-10.0,10.0,1,10,19,14,4,2
-8.0,10.0,15,10,18,1,2,4
-8.0,8.0,1,9,18,15,4,2
-6.0,8.0,16,9,17,1,2,4
-6.0,6.0,1,8,17,16,4,2
-4.0,6.0,17,8,16,1,2,4
-4.0,4.0,1,7,16,17,4,2
-2.0,4.0,18,7,15,1,2,4
-2.0,2.0,1,6,15,18,4,2
0.0,2.0,19,6,14,1,2,4
36.0,-6.0,1,5,14,19,4,1
34.0,-6.0,1,5,1,18,1,1
32.0,-6.0,20,5,1,17,1,1
30.0,-6.0,20,5,1,16,1,1
28.0,-6.0,20,5,1,15,1,1
26.0,-6.0,20,5,1,14,1,1
24.0,-6.0,20,5,1,13,1,1
22.0,-6.0,20,5,1,12,1,1
20.0,-6.0,20,5,1,11,1,1
18.0,-6.0,20,5,1,10,1,1
16.0,-6.0,20,5,1,9,1,1
14.0,-6.0,20,5,1,8,1,1
12.0,-6.0,20,5,1,7,1,1
10.0,-6.0,20,5,1,6,1,1
8.0,-6.0,20,5,1,5,1,1
6.0,-6.0,20,5,1,4,1,1
4.0,-6.0,20,5,1,3,1,3
4.0,-4.0,19,1,30,3,3,1
2.0,-4.0,19,6,1,2,1,3
2.0,-2.0,18,1,31,2,3,1
0.0,-2.0,18,7,1,1,1,3
-48.0,-16.0,17,1,32,1,3,2
-46.0,-16.0,17,1,31,1,2,2
-44.0,-16.0,17,2,30,1,2,2
-42.0,-16.0,17,8,29,1,2,2
-40.0,-16.0,17,8,28,1,2,2
-38.0,-16.0,17,8,27,1,2,2
-36.0,-16.0,17,8,26,1,2,2
-34.0,-16.0,17,8,25,1,2,2
-32.0,-16.0,17,8,24,1,2,2
-30.0,-16.0,17,8,23,1,2,2
-28.0,-16.0,17,8,22,1,2,2
-26.0,-16.0,17,8,21,1,2,2
-24.0,-16.0,17,8,20,1,2,2
-22.0,-16.0,17,8,19,1,2,2
-20.0,-16.0,17,8,18,1,2,2
-18.0,-16.0,17,8,17,1,2,2
-16.0,-16.0,17,8,16,1,2,2
-14.0,-16.0,17,8,15,1,2,3
-14.0,-14.0,16,1,15,18,3,2
-12.0,-14.0,16,9,14,1,2,3
-12.0,-12.0,15,1,14,19,3,2
-10.0,-12.0,15,10,13,1,2,3
-10.0,-10.0,14,1,13,20,3,2
-8.0,-10.0,14,11,12,1,2,3
-8.0,-8.0,13,1,12,21,3,2
-6.0,-8.0,13,12,11,1,2,3
-6.0,-6.0,12,1,11,22,3,2
-4.0,-6.0,12,13,10,1,2,3
-4.0,-4.0,11,1,10,23,3,2
-2.0,-4.0,11,14,9,1,2,3
-2.0,-2.0,10,1,9,24,3,2
