foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
22.0,14.0,0,0,0,0,1,4
22.0,12.0,1,11,17,16,4,1
20.0,12.0,14,11,1,15,1,1
18.0,12.0,14,11,1,14,1,1
16.0,12.0,14,11,1,13,1,1
14.0,12.0,14,11,1,12,1,1
12.0,12.0,14,11,1,11,1,1
10.0,12.0,14,11,1,10,1,4
10.0,10.0,1,10,23,10,4,1
8.0,10.0,15,10,1,9,1,4
8.0,8.0,1,9,24,9,4,1
6.0,8.0,16,9,1,8,1,4
6.0,6.0,1,8,25,8,4,1
4.0,6.0,17,8,1,7,1,4
4.0,4.0,1,7,26,7,4,1
2.0,4.0,18,7,1,6,1,4
2.0,2.0,1,6,27,6,4,1
0.0,2.0,19,6,1,5,1,4
-54.0,-14.0,1,5,28,5,4,2
-52.0,-14.0,1,5,27,1,2,2
-50.0,-14.0,20,5,26,1,2,2
-48.0,-14.0,20,5,25,1,2,2
-46.0,-14.0,20,5,24,1,2,2
-44.0,-14.0,20,5,23,1,2,2
-42.0,-14.0,20,5,22,1,2,2
-40.0,-14.0,20,5,21,1,2,2
-38.0,-14.0,20,5,20,1,2,2
-36.0,-14.0,20,5,19,1,2,2
-34.0,-14.0,20,5,18,1,2,2
-32.0,-14.0,20,5,17,1,2,2
-30.0,-14.0,20,5,16,1,2,2
-28.0,-14.0,20,5,15,1,2,2
-26.0,-14.0,20,5,14,1,2,2
-24.0,-14.0,20,5,13,1,2,2
-22.0,-14.0,20,5,12,1,2,2
-20.0,-14.0,20,5,11,1,2,2
-18.0,-14.0,20,5,10,1,2,2
-16.0,-14.0,20,5,9,1,2,2
-14.0,-14.0,20,5,8,1,2,2
-12.0,-14.0,20,5,7,1,2,3
-12.0,-12.0,19,1,7,26,3,2
-10.0,-12.0,19,6,6,1,2,3
-10.0,-10.0,18,1,6,27,3,2
-8.0,-10.0,18,7,5,1,2,3
-8.0,-8.0,17,1,5,28,3,2
-6.0,-8.0,17,8,4,1,2,3
-6.0,-6.0,16,1,4,29,3,2
-4.0,-6.0,16,9,3,1,2,3
-4.0,-4.0,15,1,3,30,3,2
-2.0,-4.0,15,10,2,1,2,3
-2.0,-2.0,14,1,2,31,3,2
0.0,-2.0,14,11,1,1,2,3
36.0,8.0,13,1,1,32,3,1
34.0,8.0,13,1,1,31,1,1
32.0,8.0,13,12,1,30,1,1
30.0,8.0,13,12,1,29,1,1
28.0,8.0,13,12,1,28,1,1
26.0,8.0,13,12,1,27,1,1
24.0,8.0,13,12,1,26,1,1
22.0,8.0,13,12,1,25,1,1
20.0,8.0,13,12,1,24,1,1
18.0,8.0,13,12,1,23,1,1
16.0,8.0,13,12,1,22,1,1
14.0,8.0,13,12,1,21,1,1
12.0,8.0,13,12,1,20,1,1
10.0,8.0,13,12,1,19,1,1
8.0,8.0,13,12,1,18,1,1
6.0,8.0,13,12,1,17,1,4
6.0,6.0,1,11,16,17,4,1
4.0,6.0,14,11,1,16,1,4
4.0,4.0,1,10,17,16,4,1
2.0,4.0,15,10,1,15,1,4
2.0,2.0,1,9,18,15,4,1
0.0,2.0,16,9,1,14,1,4
-20.0,4.0,1,8,19,14,4,2
-18.0,4.0,1,8,18,1,2,2
-16.0,4.0,17,8,17,1,2,2
-14.0,4.0,17,8,16,1,2,2
-12.0,4.0,17,8,15,1,2,2
-10.0,4.0,17,8,14,1,2,2
-8.0,4.0,17,8,13,1,2,2
-6.0,4.0,17,8,12,1,2,2
-4.0,4.0,17,8,11,1,2,2
-2.0,4.0,17,8,10,1,2,4
-2.0,2.0,1,7,10,23,4,2
0.0,2.0,18,7,9,1,2,4
14.0,-12.0,1,6,9,24,4,1
12.0,-12.0,1,6,1,23,1,1
10.0,-12.0,2,6,1,22,1,3
10.0,-10.0,18,1,1,22,3,1
8.0,-10.0,18,7,1,21,1,3
8.0,-8.0,17,1,12,21,3,1
6.0,-8.0,17,8,1,20,1,3
6.0,-6.0,16,1,13,20,3,1
4.0,-6.0,16,9,1,19,1,3
4.0,-4.0,15,1,14,19,3,1
2.0,-4.0,15,10,1,18,1,3
2.0,-2.0,14,1,15,18,3,1
0.0,-2.0,14,11,1,17,1,3
6.0,-10.0,13,1,16,17,3,3
6.0,-8.0,12,1,16,17,3,3
6.0,-6.0,11,1,16,17,3,1
4.0,-6.0,11,14,1,16,1,3
4.0,-4.0,10,1,17,16,3,1
2.0,-4.0,10,15,1,15,1,3
2.0,-2.0,9,1,18,15,3,1
0.0,-2.0,9,16,1,14,1,3
-34.0,18.0,8,1,19,14,3,2
-32.0,18.0,8,1,18,1,2,2
-30.0,18.0,8,2,17,1,2,2
-28.0,18.0,8,17,16,1,2,2
-26.0,18.0,8,17,15,1,2,2
-24.0,18.0,8,17,14,1,2,2
-22.0,18.0,8,17,13,1,2,2
-20.0,18.0,8,17,12,1,2,2
-18.0,18.0,8,17,11,1,2,2
