foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
10.0,18.0,0,0,0,0,1,1
8.0,18.0,13,12,1,15,1,4
8.0,16.0,1,11,18,15,4,4
8.0,14.0,1,10,18,15,4,4
8.0,12.0,1,9,18,15,4,4
8.0,10.0,1,8,18,15,4,4
8.0,8.0,1,7,18,15,4,1
6.0,8.0,18,7,1,14,1,4
6.0,6.0,1,6,19,14,4,1
4.0,6.0,19,6,1,13,1,4
4.0,4.0,1,5,20,13,4,1
2.0,4.0,20,5,1,12,1,4
2.0,2.0,1,4,21,12,4,1
0.0,2.0,21,4,1,11,1,4
-6.0,4.0,1,3,22,11,4,2
-4.0,4.0,1,3,21,1,2,2
-2.0,4.0,22,3,20,1,2,4
-2.0,2.0,1,2,20,13,4,2
0.0,2.0,23,2,19,1,2,4
-16.0,-30.0,1,1,19,14,4,2
-14.0,-30.0,24,1,18,1,2,3
-14.0,-28.0,23,1,18,1,3,3
-14.0,-26.0,22,1,18,15,3,3
-14.0,-24.0,21,1,18,15,3,3
-14.0,-22.0,20,1,18,15,3,3
-14.0,-20.0,19,1,18,15,3,3
-14.0,-18.0,18,1,18,15,3,3
-14.0,-16.0,17,1,18,15,3,3
-14.0,-14.0,16,1,18,15,3,2
-12.0,-14.0,16,9,17,1,2,3
-12.0,-12.0,15,1,17,16,3,2
-10.0,-12.0,15,10,16,1,2,3
-10.0,-10.0,14,1,16,17,3,2
-8.0,-10.0,14,11,15,1,2,3
-8.0,-8.0,13,1,15,18,3,2
-6.0,-8.0,13,12,14,1,2,3
-6.0,-6.0,12,1,14,19,3,2
-4.0,-6.0,12,13,13,1,2,3
-4.0,-4.0,11,1,13,20,3,2
-2.0,-4.0,11,14,12,1,2,3
-2.0,-2.0,10,1,12,21,3,2
0.0,-2.0,10,15,11,1,2,3
16.0,0.0,9,1,11,22,3,1
14.0,0.0,9,1,1,21,1,1
12.0,0.0,9,16,1,20,1,1
10.0,0.0,9,16,1,19,1,1
8.0,0.0,9,16,1,18,1,1
6.0,0.0,9,16,1,17,1,1
4.0,0.0,9,16,1,16,1,1
2.0,0.0,9,16,1,15,1,1
24.0,18.0,9,16,1,14,1,1
22.0,18.0,9,16,1,13,1,1
20.0,18.0,9,16,1,12,1,1
18.0,18.0,9,16,1,11,1,1
16.0,18.0,9,16,1,10,1,4
16.0,16.0,1,15,23,10,4,1
14.0,16.0,10,15,1,9,1,4
14.0,14.0,1,14,24,9,4,1
12.0,14.0,11,14,1,8,1,4
12.0,12.0,1,13,25,8,4,1
10.0,12.0,12,13,1,7,1,4
10.0,10.0,1,12,26,7,4,1
8.0,10.0,13,12,1,6,1,4
8.0,8.0,1,11,27,6,4,1
6.0,8.0,14,11,1,5,1,4
6.0,6.0,1,10,28,5,4,1
4.0,6.0,15,10,1,4,1,4
4.0,4.0,1,9,29,4,4,1
2.0,4.0,16,9,1,3,1,4
2.0,2.0,1,8,30,3,4,1
0.0,2.0,17,8,1,2,1,4
-10.0,-18.0,1,7,31,2,4,2
-8.0,-18.0,1,7,30,1,2,2
-6.0,-18.0,2,7,29,1,2,3
-6.0,-16.0,1,1,29,1,3,2
-4.0,-16.0,17,8,28,1,2,3
-4.0,-14.0,16,1,28,5,3,3
-4.0,-12.0,15,1,28,5,3,3
-4.0,-10.0,14,1,28,5,3,3
-4.0,-8.0,13,1,28,5,3,3
-4.0,-6.0,12,1,28,5,3,3
-4.0,-4.0,11,1,28,5,3,2
-2.0,-4.0,11,14,27,1,2,3
-2.0,-2.0,10,1,27,6,3,2
0.0,-2.0,10,15,26,1,2,3
4.0,-6.0,9,1,26,7,3,3
4.0,-4.0,8,1,26,7,3,1
2.0,-4.0,8,2,1,6,1,3
2.0,-2.0,7,1,27,6,3,1
0.0,-2.0,7,4,1,5,1,3
8.0,32.0,6,1,28,5,3,1
6.0,32.0,6,19,1,4,1,4
6.0,30.0,1,18,1,4,4,4
6.0,28.0,1,17,2,4,4,4
6.0,26.0,1,16,3,4,4,4
6.0,24.0,1,15,29,4,4,4
6.0,22.0,1,14,29,4,4,4
6.0,20.0,1,13,29,4,4,4
6.0,18.0,1,12,29,4,4,4
6.0,16.0,1,11,29,4,4,4
6.0,14.0,1,10,29,4,4,4
6.0,12.0,1,9,29,4,4,4
6.0,10.0,1,8,29,4,4,4
6.0,8.0,1,7,29,4,4,4
6.0,6.0,1,6,29,4,4,1
4.0,6.0,19,6,1,3,1,4
4.0,4.0,1,5,30,3,4,1
2.0,4.0,20,5,1,2,1,4
2.0,2.0,1,4,31,2,4,1
0.0,2.0,21,4,1,1,1,4
-2.0,-28.0,1,3,32,1,4,2
0.0,-28.0,1,3,31,1,2,2
2.0,-28.0,2,3,30,1,2,3
2.0,-26.0,1,1,30,1,3,2
4.0,-26.0,2,4,29,1,2,3
4.0,-24.0,20,1,29,1,3,3
4.0,-22.0,19,1,29,4,3,3
4.0,-20.0,18,1,29,4,3,3
4.0,-18.0,17,1,29,4,3,3
4.0,-16.0,16,1,29,4,3,3
4.0,-14.0,15,1,29,4,3,3
4.0,-12.0,14,1,29,4,3,3
4.0,-10.0,13,1,29,4,3,3
4.0,-8.0,12,1,29,4,3,3
4.0,-6.0,11,1,29,4,3,3
4.0,-4.0,10,1,29,4,3,1
2.0,-4.0,10,15,1,3,1,3
2.0,-2.0,9,1,30,3,3,1
0.0,-2.0,9,16,1,2,1,3
-60.0,18.0,8,1,31,2,3,2
-58.0,18.0,8,1,30,1,2,2
-56.0,18.0,8,2,29,1,2,2
-54.0,18.0,8,17,28,1,2,2
-52.0,18.0,8,17,27,1,2,2
-50.0,18.0,8,17,26,1,2,2
-48.0,18.0,8,17,25,1,2,2
-46.0,18.0,8,17,24,1,2,2
-44.0,18.0,8,17,23,1,2,2
-42.0,18.0,8,17,22,1,2,2
-40.0,18.0,8,17,21,1,2,2
-38.0,18.0,8,17,20,1,2,2
-36.0,18.0,8,17,19,1,2,2
-34.0,18.0,8,17,18,1,2,2
-32.0,18.0,8,17,17,1,2,2
-30.0,18.0,8,17,16,1,2,2
-28.0,18.0,8,17,15,1,2,2
-26.0,18.0,8,17,14,1,2,2
-24.0,18.0,8,17,13,1,2,2
-22.0,18.0,8,17,12,1,2,2
-20.0,18.0,8,17,11,1,2,2
-18.0,18.0,8,17,10,1,2,2
-16.0,18.0,8,17,9,1,2,4
-16.0,16.0,1,16,9,24,4,2
-14.0,16.0,9,16,8,1,2,4
-14.0,14.0,1,15,8,25,4,2
-12.0,14.0,10,15,7,1,2,4
-12.0,12.0,1,14,7,26,4,2
-10.0,12.0,11,14,6,1,2,4
-10.0,10.0,1,13,6,27,4,2
