foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
18.0,22.0,0,0,0,0,1,4
18.0,20.0,1,11,17,16,4,4
18.0,18.0,1,10,17,16,4,1
16.0,18.0,15,10,1,15,1,4
16.0,16.0,1,9,18,15,4,1
14.0,16.0,16,9,1,14,1,4
14.0,14.0,1,8,19,14,4,1
12.0,14.0,17,8,1,13,1,4
12.0,12.0,1,7,20,13,4,1
10.0,12.0,18,7,1,12,1,4
10.0,10.0,1,6,21,12,4,1
8.0,10.0,19,6,1,11,1,4
8.0,8.0,1,5,22,11,4,1
6.0,8.0,20,5,1,10,1,4
6.0,6.0,1,4,23,10,4,1
4.0,6.0,21,4,1,9,1,4
4.0,4.0,1,3,24,9,4,1
2.0,4.0,22,3,1,8,1,4
2.0,2.0,1,2,25,8,4,1
0.0,2.0,23,2,1,7,1,4
-28.0,-44.0,1,1,26,7,4,2
-26.0,-44.0,1,1,25,1,2,1
