foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
-2.0,-2.0,0,0,0,0,1,1
-4.0,-2.0,13,12,1,15,1,3
-4.0,0.0,12,1,18,15,3,2
-2.0,0.0,12,13,17,1,2,2
-30.0,18.0,12,13,16,1,2,2
-28.0,18.0,12,13,15,1,2,2
-26.0,18.0,12,13,14,1,2,2
-24.0,18.0,12,13,13,1,2,2
-22.0,18.0,12,13,12,1,2,2
-20.0,18.0,12,13,11,1,2,2
-18.0,18.0,12,13,10,1,2,2
-16.0,18.0,12,13,9,1,2,4
-16.0,16.0,1,12,9,24,4,2
-14.0,16.0,13,12,8,1,2,4
-14.0,14.0,1,11,8,25,4,2
-12.0,14.0,14,11,7,1,2,4
-12.0,12.0,1,10,7,26,4,2
-10.0,12.0,15,10,6,1,2,4
-10.0,10.0,1,9,6,27,4,2
-8.0,10.0,16,9,5,1,2,4
-8.0,8.0,1,8,5,28,4,2
-6.0,8.0,17,8,4,1,2,4
-6.0,6.0,1,7,4,29,4,2
-4.0,6.0,18,7,3,1,2,4
-4.0,4.0,1,6,3,30,4,2
-2.0,4.0,19,6,2,1,2,4
-2.0,2.0,1,5,2,31,4,2
0.0,2.0,20,5,1,1,2,4
54.0,6.0,1,4,1,32,4,1
52.0,6.0,1,4,1,31,1,1
50.0,6.0,21,4,1,30,1,1
48.0,6.0,21,4,1,29,1,1
46.0,6.0,21,4,1,28,1,1
44.0,6.0,21,4,1,27,1,1
42.0,6.0,21,4,1,26,1,1
40.0,6.0,21,4,1,25,1,1
38.0,6.0,21,4,1,24,1,1
36.0,6.0,21,4,1,23,1,1
34.0,6.0,21,4,1,22,1,1
32.0,6.0,21,4,1,21,1,1
30.0,6.0,21,4,1,20,1,1
28.0,6.0,21,4,1,19,1,1
26.0,6.0,21,4,1,18,1,1
24.0,6.0,21,4,1,17,1,1
22.0,6.0,21,4,1,16,1,1
20.0,6.0,21,4,1,15,1,1
18.0,6.0,21,4,1,14,1,1
