foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
22.0,-16.0,0,0,0,0,1,4
22.0,-18.0,1,11,17,16,4,1
20.0,-18.0,14,11,1,15,1,1
18.0,-18.0,14,11,1,14,1,1
16.0,-18.0,14,11,1,13,1,3
16.0,-16.0,13,1,20,13,3,1
14.0,-16.0,13,12,1,12,1,3
14.0,-14.0,12,1,21,12,3,1
12.0,-14.0,12,13,1,11,1,3
12.0,-12.0,11,1,22,11,3,1
10.0,-12.0,11,14,1,10,1,3
10.0,-10.0,10,1,23,10,3,1
8.0,-10.0,10,15,1,9,1,3
8.0,-8.0,9,1,24,9,3,1
6.0,-8.0,9,16,1,8,1,3
6.0,-6.0,8,1,25,8,3,1
4.0,-6.0,8,17,1,7,1,3
4.0,-4.0,7,1,26,7,3,1
2.0,-4.0,7,18,1,6,1,3
2.0,-2.0,6,1,27,6,3,1
0.0,-2.0,6,19,1,5,1,3
4.0,24.0,5,1,28,5,3,1
2.0,24.0,5,20,1,4,1,4
2.0,22.0,1,19,1,4,4,4
2.0,20.0,1,18,29,4,4,4
2.0,18.0,1,17,29,4,4,4
2.0,16.0,1,16,29,4,4,4
2.0,14.0,1,15,29,4,4,4
2.0,12.0,1,14,29,4,4,4
2.0,10.0,1,13,29,4,4,4
2.0,8.0,1,12,29,4,4,4
2.0,6.0,1,11,29,4,4,4
2.0,4.0,1,10,29,4,4,4
2.0,2.0,1,9,29,4,4,1
0.0,2.0,16,9,1,3,1,4
-26.0,-24.0,1,8,30,3,4,2
-24.0,-24.0,1,8,29,1,2,2
-22.0,-24.0,17,8,28,1,2,3
-22.0,-22.0,16,1,28,2,3,2
-20.0,-22.0,16,9,27,1,2,3
-20.0,-20.0,15,1,27,6,3,2
-18.0,-20.0,15,10,26,1,2,3
-18.0,-18.0,14,1,26,7,3,2
-16.0,-18.0,14,11,25,1,2,3
-16.0,-16.0,13,1,25,8,3,2
-14.0,-16.0,13,12,24,1,2,3
-14.0,-14.0,12,1,24,9,3,2
-12.0,-14.0,12,13,23,1,2,3
-12.0,-12.0,11,1,23,10,3,2
-10.0,-12.0,11,14,22,1,2,3
-10.0,-10.0,10,1,22,11,3,2
-8.0,-10.0,10,15,21,1,2,3
-8.0,-8.0,9,1,21,12,3,2
-6.0,-8.0,9,16,20,1,2,3
-6.0,-6.0,8,1,20,13,3,2
-4.0,-6.0,8,17,19,1,2,3
-4.0,-4.0,7,1,19,14,3,2
-2.0,-4.0,7,18,18,1,2,3
-2.0,-2.0,6,1,18,15,3,2
0.0,-2.0,6,19,17,1,2,3
-6.0,-8.0,5,1,17,16,3,3
-6.0,-6.0,4,1,17,16,3,2
-4.0,-6.0,4,21,16,1,2,3
-4.0,-4.0,3,1,16,17,3,2
-2.0,-4.0,3,22,15,1,2,3
-2.0,-2.0,2,1,15,18,3,2
0.0,-2.0,2,23,14,1,2,3
6.0,20.0,1,1,14,19,3,1
4.0,20.0,1,1,1,18,1,2
