foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
-12.0,-20.0,0,0,0,1,1
-14.0,-20.0,13,15,12,1,1
-16.0,-20.0,13,14,12,1,1
-18.0,-20.0,13,13,12,1,1
-20.0,-20.0,13,12,12,1,1
-22.0,-20.0,13,11,12,1,1
-24.0,-20.0,13,10,12,1,1
-26.0,-20.0,13,9,12,1,1
-28.0,-20.0,13,8,12,1,1
-30.0,-20.0,13,7,12,1,1
-32.0,-20.0,13,6,12,1,3
-32.0,-18.0,27,12,6,3,3
-32.0,-16.0,27,11,6,3,3
-32.0,-14.0,27,10,6,3,3
-32.0,-12.0,27,9,6,3,3
-32.0,-10.0,27,8,6,3,3
-32.0,-8.0,27,7,6,3,3
-32.0,-6.0,27,6,6,3,3
-32.0,-4.0,27,5,6,3,3
-32.0,-2.0,27,4,6,3,3
-32.0,0.0,27,3,6,3,3
-32.0,2.0,27,2,6,3,2
-30.0,2.0,23,26,2,2,2
-28.0,2.0,23,25,2,2,2
-26.0,2.0,23,24,2,2,2
-24.0,2.0,23,23,2,2,2
-22.0,2.0,23,22,2,2,2
-20.0,2.0,23,21,2,2,2
-18.0,2.0,23,20,2,2,2
-16.0,2.0,23,19,2,2,2
-14.0,2.0,23,18,2,2,2
-12.0,2.0,23,17,2,2,2
-10.0,2.0,23,16,2,2,2
-8.0,2.0,23,15,2,2,2
-6.0,2.0,23,14,2,2,2
-4.0,2.0,23,13,2,2,2
-2.0,2.0,23,12,2,2,2
0.0,2.0,23,11,2,2,4
4.0,32.0,22,22,11,4,4
4.0,30.0,22,21,11,4,4
4.0,28.0,22,20,11,4,4
4.0,26.0,22,19,11,4,4
4.0,24.0,22,18,11,4,4
4.0,22.0,22,17,11,4,4
4.0,20.0,22,16,11,4,4
4.0,18.0,22,15,11,4,4
4.0,16.0,22,14,11,4,4
4.0,14.0,22,13,11,4,4
4.0,12.0,22,12,11,4,4
4.0,10.0,22,11,11,4,4
4.0,8.0,22,10,11,4,4
4.0,6.0,22,9,11,4,4
4.0,4.0,22,8,11,4,4
4.0,2.0,22,7,11,4,4
4.0,0.0,22,6,11,4,1
2.0,0.0,19,21,6,1,1
-20.0,-8.0,19,20,6,1,1
-22.0,-8.0,19,19,6,1,1
-24.0,-8.0,19,18,6,1,1
-26.0,-8.0,19,17,6,1,3
-26.0,-6.0,16,18,17,3,3
-26.0,-4.0,16,17,17,3,3
-26.0,-2.0,16,16,17,3,2
-24.0,-2.0,9,15,16,2,2
-22.0,-2.0,9,14,16,2,2
-20.0,-2.0,9,13,16,2,2
-18.0,-2.0,9,12,16,2,2
-16.0,-2.0,9,11,16,2,2
-14.0,-2.0,9,10,16,2,2
-12.0,-2.0,9,9,16,2,2
-10.0,-2.0,9,8,16,2,2
-8.0,-2.0,9,7,16,2,2
-6.0,-2.0,9,6,16,2,2
-4.0,-2.0,9,5,16,2,2
-2.0,-2.0,9,4,16,2,2
0.0,-2.0,9,3,16,2,3
18.0,4.0,3,15,30,3,3
18.0,6.0,3,14,30,3,3
18.0,8.0,3,13,30,3,2
20.0,8.0,12,2,13,2,2
22.0,8.0,12,1,13,2,2
