foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
-20.0,-22.0,0,0,0,1,1
-22.0,-22.0,13,15,12,1,1
-24.0,-22.0,13,14,12,1,1
-26.0,-22.0,13,13,12,1,1
-28.0,-22.0,13,12,12,1,1
-30.0,-22.0,13,11,12,1,1
-32.0,-22.0,13,10,12,1,1
-34.0,-22.0,13,9,12,1,3
-34.0,-20.0,24,12,9,3,3
-34.0,-18.0,24,11,9,3,3
-34.0,-16.0,24,10,9,3,3
-34.0,-14.0,24,9,9,3,2
-32.0,-14.0,16,23,9,2,2
-30.0,-14.0,16,22,9,2,2
-28.0,-14.0,16,21,9,2,2
-26.0,-14.0,16,20,9,2,2
-24.0,-14.0,16,19,9,2,2
-22.0,-14.0,16,18,9,2,2
-20.0,-14.0,16,17,9,2,2
-18.0,-14.0,16,16,9,2,2
-16.0,-14.0,16,15,9,2,2
-14.0,-14.0,16,14,9,2,2
-12.0,-14.0,16,13,9,2,2
-10.0,-14.0,16,12,9,2,3
-10.0,-12.0,12,8,21,3,3
-10.0,-10.0,12,7,21,3,2
-8.0,-10.0,18,11,7,2,2
-6.0,-10.0,18,10,7,2,2
-4.0,-10.0,18,9,7,2,3
-4.0,-8.0,9,6,24,3,3
-4.0,-6.0,9,5,24,3,3
-4.0,-4.0,9,4,24,3,3
-4.0,-2.0,9,3,24,3,3
-4.0,0.0,9,2,24,3,2
-2.0,0.0,23,8,2,2,2
46.0,22.0,23,7,2,2,2
48.0,22.0,23,6,2,2,2
50.0,22.0,23,5,2,2,4
50.0,20.0,28,22,5,4,4
50.0,18.0,28,21,5,4,4
50.0,16.0,28,20,5,4,4
50.0,14.0,28,19,5,4,4
50.0,12.0,28,18,5,4,1
48.0,12.0,7,27,18,1,1
46.0,12.0,7,26,18,1,1
44.0,12.0,7,25,18,1,1
42.0,12.0,7,24,18,1,4
42.0,10.0,24,17,9,4,4
42.0,8.0,24,16,9,4,1
40.0,8.0,9,23,16,1,1
38.0,8.0,9,22,16,1,1
36.0,8.0,9,21,16,1,1
34.0,8.0,9,20,16,1,1
32.0,8.0,9,19,16,1,1
30.0,8.0,9,18,16,1,4
30.0,6.0,18,15,15,4,1
28.0,6.0,10,17,15,1,1
26.0,6.0,10,16,15,1,1
24.0,6.0,10,15,15,1,1
22.0,6.0,10,14,15,1,1
20.0,6.0,10,13,15,1,1
18.0,6.0,10,12,15,1,1
16.0,6.0,10,11,15,1,4
16.0,4.0,11,14,22,4,4
16.0,2.0,11,13,22,4,4
16.0,0.0,11,12,22,4,1
14.0,0.0,13,10,12,1,1
12.0,0.0,13,9,12,1,1
10.0,0.0,13,8,12,1,1
8.0,0.0,13,7,12,1,1
6.0,0.0,13,6,12,1,1
4.0,0.0,13,5,12,1,1
2.0,0.0,13,4,12,1,4
2.0,-2.0,4,11,29,4,4
2.0,-4.0,4,10,29,4,4
2.0,-6.0,4,9,29,4,4
2.0,-8.0,4,8,29,4,4
2.0,-10.0,4,7,29,4,4
2.0,-12.0,4,6,29,4,4
2.0,-14.0,4,5,29,4,1
0.0,-14.0,20,3,5,1,1
-2.0,-14.0,20,2,5,1,3
-2.0,-12.0,31,19,2,3,3
-2.0,-10.0,31,18,2,3,3
-2.0,-8.0,31,17,2,3,3
