foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
10.0,-2.0,0,0,0,0,1,1
8.0,-2.0,13,12,1,15,1,1
6.0,-2.0,13,12,1,14,1,1
4.0,-2.0,13,12,1,13,1,1
2.0,-2.0,13,12,1,12,1,1
0.0,-2.0,13,12,1,11,1,1
-2.0,-2.0,13,12,1,10,1,1
-4.0,-2.0,13,12,1,9,1,3
-4.0,0.0,12,1,24,9,3,3
-4.0,2.0,11,1,24,9,3,3
-4.0,4.0,10,1,24,9,3,3
-4.0,6.0,9,1,24,9,3,3
-4.0,8.0,8,1,24,9,3,3
-4.0,10.0,7,1,24,9,3,2
-2.0,10.0,7,18,23,1,2,2
0.0,10.0,7,18,22,1,2,4
0.0,8.0,1,17,22,11,4,4
0.0,6.0,1,16,22,11,4,4
0.0,4.0,1,15,22,11,4,4
0.0,2.0,1,14,22,11,4,4
18.0,10.0,1,13,22,11,4,4
18.0,8.0,1,12,22,11,4,4
18.0,6.0,1,11,22,11,4,2
20.0,6.0,14,11,21,1,2,2
22.0,6.0,14,11,20,1,2,2
24.0,6.0,14,11,19,1,2,4
24.0,4.0,1,10,19,14,4,4
24.0,2.0,1,9,19,14,4,4
24.0,0.0,1,8,19,14,4,4
24.0,-2.0,1,7,19,14,4,1
22.0,-2.0,18,7,1,13,1,1
20.0,-2.0,18,7,1,12,1,1
18.0,-2.0,18,7,1,11,1,1
16.0,-2.0,18,7,1,10,1,1
14.0,-2.0,18,7,1,9,1,1
12.0,-2.0,18,7,1,8,1,1
10.0,-2.0,18,7,1,7,1,1
8.0,-2.0,18,7,1,6,1,1
6.0,-2.0,18,7,1,5,1,1
4.0,-2.0,18,7,1,4,1,1
2.0,-2.0,18,7,1,3,1,3
2.0,0.0,17,1,30,3,3,3
2.0,2.0,16,1,30,3,3,3
2.0,4.0,15,1,30,3,3,3
2.0,6.0,14,1,30,3,3,3
2.0,8.0,13,1,30,3,3,3
2.0,10.0,12,1,30,3,3,3
2.0,12.0,11,1,30,3,3,3
2.0,14.0,10,1,30,3,3,3
2.0,16.0,9,1,30,3,3,1
0.0,16.0,9,16,1,2,1,1
-2.0,16.0,9,16,1,1,1,4
-2.0,14.0,1,15,32,1,4,4
-2.0,12.0,1,14,32,1,4,4
-2.0,10.0,1,13,32,1,4,4
-2.0,8.0,1,12,32,1,4,4
-2.0,6.0,1,11,32,1,4,4
-2.0,4.0,1,10,32,1,4,4
-2.0,2.0,1,9,32,1,4,2
0.0,2.0,16,9,31,1,2,2
2.0,2.0,16,9,30,1,2,2
4.0,2.0,16,9,29,1,2,2
6.0,2.0,16,9,28,1,2,2
8.0,2.0,16,9,27,1,2,2
10.0,2.0,16,9,26,1,2,2
12.0,2.0,16,9,25,1,2,4
12.0,0.0,1,8,25,8,4,4
12.0,-2.0,1,7,25,8,4,1
10.0,-2.0,18,7,1,7,1,1
8.0,-2.0,18,7,1,6,1,1
6.0,-2.0,18,7,1,5,1,1
4.0,-2.0,18,7,1,4,1,1
2.0,-2.0,18,7,1,3,1,1
0.0,-2.0,18,7,1,2,1,3
2.0,-26.0,17,1,31,2,3,3
2.0,-24.0,16,1,31,2,3,3
2.0,-22.0,15,1,31,2,3,3
2.0,-20.0,14,1,31,2,3,3
2.0,-18.0,13,1,31,2,3,3
2.0,-16.0,12,1,31,2,3,3
2.0,-14.0,11,1,31,2,3,1
0.0,-14.0,11,14,1,1,1,1
