foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
-18.0,4.0,0,0,0,0,1,1
-20.0,4.0,13,12,1,15,1,1
-22.0,4.0,13,12,1,14,1,1
-24.0,4.0,13,12,1,13,1,1
-26.0,4.0,13,12,1,12,1,1
-28.0,4.0,13,12,1,11,1,1
-30.0,4.0,13,12,1,10,1,4
-30.0,2.0,1,11,23,10,4,4
-30.0,0.0,1,10,23,10,4,4
-30.0,-2.0,1,9,23,10,4,2
-28.0,-2.0,16,9,22,1,2,2
-26.0,-2.0,16,9,21,1,2,2
-24.0,-2.0,16,9,20,1,2,2
-22.0,-2.0,16,9,19,1,2,2
-20.0,-2.0,16,9,18,1,2,2
-18.0,-2.0,16,9,17,1,2,2
-16.0,-2.0,16,9,16,1,2,2
-14.0,-2.0,16,9,15,1,2,2
-12.0,-2.0,16,9,14,1,2,2
-10.0,-2.0,16,9,13,1,2,2
-8.0,-2.0,16,9,12,1,2,2
-6.0,-2.0,16,9,11,1,2,2
-4.0,-2.0,16,9,10,1,2,2
-2.0,-2.0,16,9,9,1,2,2
0.0,-2.0,16,9,8,1,2,3
34.0,-18.0,15,1,8,25,3,3
34.0,-16.0,14,1,8,25,3,3
34.0,-14.0,13,1,8,25,3,3
34.0,-12.0,12,1,8,25,3,3
34.0,-10.0,11,1,8,25,3,3
34.0,-8.0,10,1,8,25,3,3
34.0,-6.0,9,1,8,25,3,3
34.0,-4.0,8,1,8,25,3,3
34.0,-2.0,7,1,8,25,3,3
34.0,0.0,6,1,8,25,3,1
32.0,0.0,6,19,1,24,1,1
30.0,0.0,6,19,1,23,1,1
28.0,0.0,6,19,1,22,1,1
26.0,0.0,6,19,1,21,1,1
24.0,0.0,6,19,1,20,1,1
22.0,0.0,6,19,1,19,1,1
20.0,0.0,6,19,1,18,1,1
18.0,0.0,6,19,1,17,1,1
16.0,0.0,6,19,1,16,1,1
14.0,0.0,6,19,1,15,1,1
12.0,0.0,6,19,1,14,1,1
10.0,0.0,6,19,1,13,1,1
8.0,0.0,6,19,1,12,1,1
6.0,0.0,6,19,1,11,1,1
4.0,0.0,6,19,1,10,1,1
2.0,0.0,6,19,1,9,1,1
-22.0,8.0,6,19,1,8,1,1
-24.0,8.0,6,19,1,7,1,1
-26.0,8.0,6,19,1,6,1,4
-26.0,6.0,1,18,27,6,4,4
-26.0,4.0,1,17,27,6,4,4
-26.0,2.0,1,16,27,6,4,4
-26.0,0.0,1,15,27,6,4,2
-24.0,0.0,10,15,26,1,2,2
-22.0,0.0,10,15,25,1,2,2
-20.0,0.0,10,15,24,1,2,2
-18.0,0.0,10,15,23,1,2,2
