foodDiffX,foodDiffY,up_collision,down_collision,left_collision,right_collision,direction,action
26.0,-8.0,0,0,0,0,1,1
24.0,-8.0,13,12,1,15,1,1
22.0,-8.0,13,12,1,14,1,1
20.0,-8.0,13,12,1,13,1,1
18.0,-8.0,13,12,1,12,1,1
16.0,-8.0,13,12,1,11,1,1
14.0,-8.0,13,12,1,10,1,1
12.0,-8.0,13,12,1,9,1,1
10.0,-8.0,13,12,1,8,1,1
8.0,-8.0,13,12,1,7,1,1
6.0,-8.0,13,12,1,6,1,1
4.0,-8.0,13,12,1,5,1,1
2.0,-8.0,13,12,1,4,1,1
0.0,-8.0,13,12,1,3,1,3
0.0,-6.0,12,1,30,3,3,3
0.0,-4.0,11,1,30,3,3,3
0.0,-2.0,10,1,30,3,3,3
-16.0,28.0,9,1,30,3,3,2
-14.0,28.0,9,16,29,1,2,2
-12.0,28.0,9,16,28,1,2,2
-10.0,28.0,9,16,27,1,2,4
-10.0,26.0,1,15,27,6,4,2
-8.0,26.0,10,15,26,1,2,4
-8.0,24.0,1,14,26,7,4,2
-6.0,24.0,11,14,25,1,2,4
-6.0,22.0,1,13,25,8,4,2
-4.0,22.0,12,13,24,1,2,4
-4.0,20.0,1,12,24,9,4,2
-2.0,20.0,13,12,23,1,2,4
-2.0,18.0,1,11,23,10,4,2
0.0,18.0,14,11,22,1,2,4
0.0,16.0,1,10,22,11,4,4
0.0,14.0,1,9,22,11,4,4
0.0,12.0,1,8,22,11,4,4
0.0,10.0,1,7,22,11,4,4
0.0,8.0,1,6,22,11,4,4
0.0,6.0,1,5,22,11,4,4
0.0,4.0,1,4,22,11,4,4
0.0,2.0,1,3,22,11,4,4
-14.0,-44.0,1,2,22,11,4,2
-12.0,-44.0,23,2,21,1,2,2
-10.0,-44.0,23,2,20,1,2,2
-8.0,-44.0,23,2,19,1,2,2
-6.0,-44.0,23,2,18,1,2,3
-6.0,-42.0,22,1,18,15,3,3
-6.0,-40.0,21,1,18,15,3,3
-6.0,-38.0,20,1,18,15,3,3
-6.0,-36.0,19,1,18,15,3,3
-6.0,-34.0,18,1,18,15,3,2
-4.0,-34.0,18,7,17,1,2,3
-4.0,-32.0,17,1,17,16,3,3
-4.0,-30.0,16,1,17,16,3,2
-2.0,-30.0,16,9,16,1,2,3
-2.0,-28.0,15,1,16,17,3,2
0.0,-28.0,15,10,15,1,2,2
2.0,-28.0,15,10,14,1,2,2
4.0,-28.0,15,10,13,1,2,2
6.0,-28.0,15,10,12,1,2,2
8.0,-28.0,15,10,11,1,2,3
8.0,-26.0,14,1,11,22,3,3
8.0,-24.0,13,1,11,22,3,3
8.0,-22.0,12,1,11,22,3,3
8.0,-20.0,11,1,11,22,3,1
6.0,-20.0,11,14,1,21,1,3
6.0,-18.0,10,1,12,21,3,3
6.0,-16.0,9,1,12,21,3,1
4.0,-16.0,9,16,1,20,1,1
2.0,-16.0,9,16,1,19,1,3
2.0,-14.0,8,1,14,19,3,3
2.0,-12.0,7,1,14,19,3,3
2.0,-10.0,6,1,14,19,3,3
2.0,-8.0,5,1,14,19,3,3
2.0,-6.0,4,1,14,19,3,3
2.0,-4.0,3,1,14,19,3,3
2.0,-2.0,2,1,14,19,3,1
0.0,-2.0,2,23,1,18,1,1
-2.0,-2.0,2,23,1,17,1,1
-4.0,-2.0,2,23,1,16,1,1
-6.0,-2.0,2,23,1,15,1,1
-8.0,-2.0,2,23,1,14,1,1
-10.0,-2.0,2,23,1,13,1,1
-12.0,-2.0,2,23,1,12,1,1
-14.0,-2.0,2,23,1,11,1,3
-14.0,0.0,1,1,22,11,3,2
-12.0,0.0,1,1,21,1,2,2
-10.0,0.0,1,24,20,1,2,2
-8.0,0.0,1,24,19,1,2,2
