foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
-16.0,-16.0,0,0,0,1,1
-18.0,-16.0,13,15,12,1,1
-20.0,-16.0,13,14,12,1,1
-22.0,-16.0,13,13,12,1,3
-22.0,-14.0,20,12,13,3,3
-22.0,-12.0,20,11,13,3,3
-22.0,-10.0,20,10,13,3,3
-22.0,-8.0,20,9,13,3,3
-22.0,-6.0,20,8,13,3,3
-22.0,-4.0,20,7,13,3,3
-22.0,-2.0,20,6,13,3,3
-22.0,0.0,20,5,13,3,2
-20.0,0.0,20,19,5,2,2
-18.0,0.0,20,18,5,2,2
-16.0,0.0,20,17,5,2,2
-14.0,0.0,20,16,5,2,2
-12.0,0.0,20,15,5,2,2
-10.0,0.0,20,14,5,2,2
-8.0,0.0,20,13,5,2,2
-6.0,0.0,20,12,5,2,2
-4.0,0.0,20,11,5,2,2
-2.0,0.0,20,10,5,2,2
-14.0,22.0,20,9,5,2,2
-12.0,22.0,20,8,5,2,4
-12.0,20.0,25,19,8,4,4
-12.0,18.0,25,18,8,4,4
-12.0,16.0,25,17,8,4,2
-10.0,16.0,17,7,8,2,2
-8.0,16.0,17,6,8,2,2
-6.0,16.0,17,5,8,2,2
-4.0,16.0,17,4,8,2,2
-2.0,16.0,17,3,8,2,2
0.0,16.0,17,2,8,2,4
0.0,14.0,31,16,2,4,4
0.0,12.0,31,15,2,4,4
0.0,10.0,31,14,2,4,4
0.0,8.0,31,13,2,4,4
0.0,6.0,31,12,2,4,4
0.0,4.0,31,11,2,4,4
0.0,2.0,31,10,2,4,4
58.0,6.0,31,9,2,4,4
58.0,4.0,31,8,2,4,1
56.0,4.0,17,30,8,1,1
54.0,4.0,17,29,8,1,4
54.0,2.0,29,7,4,4,4
54.0,0.0,29,6,4,4,1
52.0,0.0,19,28,6,1,1
50.0,0.0,19,27,6,1,1
48.0,0.0,19,26,6,1,1
46.0,0.0,19,25,6,1,1
44.0,0.0,19,24,6,1,1
42.0,0.0,19,23,6,1,1
40.0,0.0,19,22,6,1,1
38.0,0.0,19,21,6,1,1
36.0,0.0,19,20,6,1,1
34.0,0.0,19,19,6,1,1
32.0,0.0,19,18,6,1,1
30.0,0.0,19,17,6,1,1
28.0,0.0,19,16,6,1,1
26.0,0.0,19,15,6,1,1
24.0,0.0,19,14,6,1,1
22.0,0.0,19,13,6,1,1
20.0,0.0,19,12,6,1,1
18.0,0.0,19,11,6,1,1
16.0,0.0,19,10,6,1,1
14.0,0.0,19,9,6,1,1
12.0,0.0,19,8,6,1,1
10.0,0.0,19,7,6,1,1
8.0,0.0,19,6,6,1,1
6.0,0.0,19,5,6,1,1
4.0,0.0,19,4,6,1,1
2.0,0.0,19,3,6,1,1
-20.0,-8.0,19,2,6,1,3
-20.0,-6.0,31,18,2,3,3
