foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
12.0,12.0,13,15,12,1,1
10.0,12.0,13,14,12,1,1
8.0,12.0,13,13,12,1,1
6.0,12.0,13,12,12,1,1
4.0,12.0,13,11,12,1,1
2.0,12.0,13,10,12,1,1
0.0,12.0,13,9,12,1,4
0.0,10.0,9,11,24,4,4
0.0,8.0,9,10,24,4,4
0.0,6.0,9,9,24,4,4
0.0,4.0,9,8,24,4,4
0.0,2.0,9,7,24,4,4
-42.0,-30.0,9,6,24,4,2
-40.0,-30.0,6,23,19,2,2
-38.0,-30.0,6,22,19,2,2
-36.0,-30.0,6,21,19,2,2
-34.0,-30.0,6,20,19,2,2
-32.0,-30.0,6,19,19,2,2
-30.0,-30.0,6,18,19,2,2
-28.0,-30.0,6,17,19,2,2
-26.0,-30.0,6,16,19,2,2
-24.0,-30.0,6,15,19,2,2
-22.0,-30.0,6,14,19,2,2
-20.0,-30.0,6,13,19,2,2
-18.0,-30.0,6,12,19,2,2
-16.0,-30.0,6,11,19,2,2
-14.0,-30.0,6,10,19,2,2
-12.0,-30.0,6,9,19,2,2
-10.0,-30.0,6,8,19,2,2
-8.0,-30.0,6,7,19,2,2
-6.0,-30.0,6,6,19,2,2
-4.0,-30.0,6,5,19,2,2
-2.0,-30.0,6,4,19,2,2
0.0,-30.0,6,3,19,2,3
0.0,-28.0,3,18,30,3,3
0.0,-26.0,3,17,30,3,3
0.0,-24.0,3,16,30,3,3
0.0,-22.0,3,15,30,3,3
0.0,-20.0,3,14,30,3,3
0.0,-18.0,3,13,30,3,3
0.0,-16.0,3,12,30,3,3
0.0,-14.0,3,11,30,3,3
0.0,-12.0,3,10,30,3,3
0.0,-10.0,3,9,30,3,3
0.0,-8.0,3,8,30,3,3
0.0,-6.0,3,7,30,3,3
0.0,-4.0,3,6,30,3,3
0.0,-2.0,3,5,30,3,3
8.0,12.0,3,4,30,3,1
6.0,12.0,4,29,21,1,1
4.0,12.0,4,28,21,1,1
2.0,12.0,4,27,21,1,1
0.0,12.0,4,26,21,1,4
0.0,10.0,26,20,7,4,4
0.0,8.0,26,19,7,4,4
0.0,6.0,26,18,7,4,4
0.0,4.0,26,17,7,4,4
0.0,2.0,26,16,7,4,4
42.0,26.0,26,15,7,4,1
40.0,26.0,10,25,15,1,1
38.0,26.0,10,24,15,1,1
36.0,26.0,10,23,15,1,1
34.0,26.0,10,22,15,1,1
32.0,26.0,10,21,15,1,1
30.0,26.0,10,20,15,1,1
28.0,26.0,10,19,15,1,1
26.0,26.0,10,18,15,1,1
24.0,26.0,10,17,15,1,1
22.0,26.0,10,16,15,1,1
20.0,26.0,10,15,15,1,1
18.0,26.0,10,14,15,1,1
16.0,26.0,10,13,15,1,1
14.0,26.0,10,12,15,1,1
12.0,26.0,10,11,15,1,1
10.0,26.0,10,10,15,1,1
8.0,26.0,10,9,15,1,1
6.0,26.0,10,8,15,1,1
4.0,26.0,10,7,15,1,1
2.0,26.0,10,6,15,1,1
0.0,26.0,10,5,15,1,4
0.0,24.0,5,14,28,4,4
0.0,22.0,5,13,28,4,4
0.0,20.0,5,12,28,4,4
0.0,18.0,5,11,28,4,4
